k,arm,orders,capacity,N,V,PoR_pct,G_pct,cap_broken,wl_broken,c_bar
1,A_baseline,nominal,real,466526,130072,0.0,0.0,0,0,1.0
2,B_preproc,closures,real,481172,134513,3.139,-3.414,0,0,1.4875345430376625
2,C_v2full,closures,recal,477250,134123,2.299,-3.114,0,0,1.4875345430376625
2,D_caponly,nominal,recal,462887,129961,-0.78,0.085,0,0,1.4875345430376625
3,B_preproc,closures,real,481756,134826,3.265,-3.655,0,0,1.8187486465394314
3,C_v2full,closures,recal,467937,130442,0.302,-0.284,0,0,1.8187486465394314
3,D_caponly,nominal,recal,450709,125690,-3.39,3.369,0,0,1.8187486465394314
4,B_preproc,closures,real,478733,132874,2.617,-2.154,0,0,2.071667013969756
4,C_v2full,closures,recal,457122,127405,-2.016,2.05,0,0,2.071667013969756
4,D_caponly,nominal,recal,442113,123835,-5.233,4.795,0,0,2.071667013969756
6,B_preproc,closures,real,470386,131287,0.827,-0.934,0,0,2.4298291132603045
6,C_v2full,closures,recal,452062,125946,-3.1,3.172,0,0,2.4298291132603045
6,D_caponly,nominal,recal,439110,123032,-5.877,5.412,0,0,2.4298291132603045
10,B_preproc,closures,real,468042,129907,0.325,0.127,0,0,3.0217902044185125
10,C_v2full,closures,recal,446753,124143,-4.238,4.558,0,0,3.0217902044185125
10,D_caponly,nominal,recal,426672,119711,-8.543,7.966,0,0,3.0217902044185125
