tag,objective,K,num_patterns,n_size1,n_size2,n_size3,n_size4,n_size5,n_size6,n_size7,n_size8,n_size9,n_size10,total_hits,pi,c_bar,int_optimal
iscf10kt_r0f0,minmax,4,4102,3973,72,17,40,0,0,0,0,0,0,11272,15,1.388,True
iscf10kt_r0f0,minmax,6,3879,3711,74,22,9,11,52,0,0,0,0,11201,13,1.997,True
iscf10kt_r0f0,minmax,10,4245,4204,14,22,1,0,3,0,1,0,0,12150,41,1.0226,False
iscf10kt_r0f1,minmax,4,4110,3992,53,30,35,0,0,0,0,0,0,12860,14,1.4059,True
iscf10kt_r0f1,minmax,6,3879,3712,75,21,9,5,57,0,0,0,0,12734,13,1.9876,True
iscf10kt_r0f1,minmax,10,3729,3575,65,20,7,5,6,9,3,3,36,11866,11,2.727,True
iscf10kt_r0f2,minmax,4,4209,4139,41,9,20,0,0,0,0,0,0,14881,21,1.2296,True
iscf10kt_r0f2,minmax,6,3828,3632,85,34,17,4,56,0,0,0,0,14206,15,2.0137,False
iscf10kt_r0f2,minmax,10,3808,3683,43,15,10,6,9,5,6,3,28,13540,17,2.5983,False
iscf10kt_r0f3,minmax,4,3984,3816,70,20,78,0,0,0,0,0,0,15497,14,1.6779,True
iscf10kt_r0f3,minmax,6,3841,3673,70,15,10,8,65,0,0,0,0,15403,15,2.1172,False
iscf10kt_r0f3,minmax,10,3732,3578,65,14,15,7,3,8,4,3,35,14580,16,3.1202,False
iscf10kt_r0f4,minmax,4,4000,3841,63,23,73,0,0,0,0,0,0,17174,16,1.5652,True
iscf10kt_r0f4,minmax,6,3826,3674,43,15,15,11,68,0,0,0,0,16626,16,2.2612,False
iscf10kt_r0f4,minmax,10,3831,3702,52,14,11,8,5,5,3,3,28,16220,23,2.8976,False
