tag,objective,K,num_patterns,n_size1,n_size2,n_size3,n_size4,n_size5,n_size6,n_size7,n_size8,n_size9,n_size10,total_hits,pi,c_bar,int_optimal
iscf10kt_r0f0,minsum,4,3718,3437,91,51,139,0,0,0,0,0,0,10191,30,1.772,True
iscf10kt_r0f0,minsum,6,3542,3283,80,38,25,25,91,0,0,0,0,9878,29,2.1979,True
iscf10kt_r0f0,minsum,10,3376,3148,68,31,22,13,16,14,11,14,39,9541,28,3.0733,True
iscf10kt_r0f1,minsum,4,3670,3361,108,53,148,0,0,0,0,0,0,11433,28,1.8202,True
iscf10kt_r0f1,minsum,6,3492,3217,84,41,27,26,97,0,0,0,0,11059,27,2.2811,True
iscf10kt_r0f1,minsum,10,3329,3086,74,32,22,15,16,23,10,12,39,10699,26,3.0811,True
iscf10kt_r0f2,minsum,4,3646,3331,102,59,154,0,0,0,0,0,0,12823,28,1.8527,True
iscf10kt_r0f2,minsum,6,3482,3196,89,47,31,25,94,0,0,0,0,12388,28,2.313,True
iscf10kt_r0f2,minsum,10,3312,3064,68,40,25,16,17,18,14,12,38,11960,26,3.339,True
iscf10kt_r0f3,minsum,4,3652,3341,98,61,152,0,0,0,0,0,0,14202,30,1.89,True
iscf10kt_r0f3,minsum,6,3488,3210,83,42,33,26,94,0,0,0,0,13718,30,2.3745,True
iscf10kt_r0f3,minsum,10,3348,3107,63,38,26,19,22,16,10,12,35,13278,25,3.2203,True
iscf10kt_r0f4,minsum,4,3758,3493,87,51,127,0,0,0,0,0,0,15549,30,1.8652,True
iscf10kt_r0f4,minsum,6,3615,3385,68,33,21,24,84,0,0,0,0,15010,28,2.3556,True
iscf10kt_r0f4,minsum,10,3495,3284,63,32,15,17,22,13,13,10,26,14622,24,3.0219,True
