ORDER;PRODUCT;QTY;STATION
1856;PROD_2007249;1;1
3989;PROD_2004128;1;1
3989;PROD_2004154;1;1
614;PROD_2004204;1;1
4419;PROD_2004204;1;1
1637;PROD_2039186;1;1
3025;PROD_2039186;1;1
3652;PROD_2039186;1;1
1919;PROD_2076993;1;1
2472;PROD_2076993;1;1
2901;PROD_2076993;1;1
2983;PROD_2076993;1;1
3570;PROD_2076993;1;1
3697;PROD_2076993;1;1
3720;PROD_2076993;1;1
4202;PROD_2076993;1;1
4777;PROD_2076993;1;1
4997;PROD_2076993;1;1
1473;PROD_2076993;1;1
2812;PROD_2105719;1;1
1242;PROD_2105883;1;1
1372;PROD_2105900;1;1
1522;PROD_2123406;1;1
266;PROD_2123406;1;1
2658;PROD_2123406;1;1
3776;PROD_2123406;1;1
4421;PROD_2123406;1;1
27;PROD_2223889;1;1
1707;PROD_2223843;1;1
416;PROD_386427;1;1
3802;PROD_381403;1;1
1117;PROD_381403;1;1
1473;PROD_409182;1;1
526;PROD_256312;1;1
424;PROD_207322;1;1
1270;PROD_2233883;1;1
1172;PROD_2206960;1;1
27;PROD_2172045;1;1
4421;PROD_2172045;1;1
1379;PROD_2272058;1;1
3652;PROD_2021990;1;1
48;PROD_2232606;1;1
4964;PROD_2232606;1;1
4477;PROD_2216110;1;1
781;PROD_2216110;1;1
954;PROD_2198250;1;1
2219;PROD_2070390;1;1
3408;PROD_304175;1;1
475;PROD_2113242;1;1
526;PROD_377820;1;1
752;PROD_2172815;1;1
4772;PROD_2233713;1;1
1596;PROD_260351;1;1
4777;PROD_2131536;1;1
4997;PROD_2131536;1;1
1033;PROD_7743;1;1
140;PROD_2114714;1;1
2636;PROD_2149274;1;1
1395;PROD_2282197;1;1
1637;PROD_2162910;1;1
3025;PROD_2162910;1;1
4043;PROD_2162910;1;1
512;PROD_417613;1;1
337;PROD_371383;1;1
526;PROD_369055;1;1
1637;PROD_2044213;1;1
396;PROD_2044213;1;1
4673;PROD_2044213;1;1
4933;PROD_2044213;1;1
2423;PROD_409190;1;1
3335;PROD_409190;1;1
684;PROD_409190;1;1
48;PROD_378888;1;1
433;PROD_2224232;1;1
1454;PROD_2115933;1;1
4997;PROD_2069955;1;1
3335;PROD_409216;1;1
1458;PROD_2159210;1;1
4160;PROD_2224244;1;1
553;PROD_230529;1;1
2379;PROD_2007737;1;1
3989;PROD_2004150;1;1
4501;PROD_2004150;1;1
3031;PROD_2039265;1;1
4919;PROD_2041604;1;1
1172;PROD_2079911;1;1
1677;PROD_2079915;1;1
4772;PROD_2079915;1;1
3289;PROD_2053602;1;1
1819;PROD_2105712;1;1
896;PROD_2105712;1;1
1637;PROD_2121386;1;1
4293;PROD_2105864;1;1
1117;PROD_2119773;1;1
443;PROD_2122281;1;1
4926;PROD_2184507;1;1
1085;PROD_2172921;1;1
1085;PROD_2172926;1;1
448;PROD_2223929;1;1
266;PROD_2223865;1;1
27;PROD_2223888;1;1
4926;PROD_2223888;1;1
2236;PROD_2223826;1;1
2999;PROD_2223826;1;1
994;PROD_304023;1;1
2307;PROD_2173904;1;1
458;PROD_2223859;1;1
2770;PROD_332076;1;1
3439;PROD_401263;1;1
3520;PROD_256311;1;1
512;PROD_417625;1;1
1559;PROD_2159089;1;1
4695;PROD_2006301;1;1
1434;PROD_2159571;1;1
137;PROD_2103181;1;1
1347;PROD_2038976;1;1
781;PROD_2216107;1;1
2652;PROD_282311;1;1
3124;PROD_2168875;1;1
155;PROD_2072849;1;1
3866;PROD_2072849;1;1
4693;PROD_2076515;1;1
3332;PROD_2168876;1;1
3063;PROD_2200891;1;1
3652;PROD_2200891;1;1
1266;PROD_2216121;1;1
52;PROD_3513339;1;1
424;PROD_207323;1;1
672;PROD_412327;1;1
303;PROD_2163333;1;1
167;PROD_2259034;1;1
2278;PROD_2259038;1;1
2239;PROD_2068485;1;1
1949;PROD_260355;1;1
987;PROD_260355;1;1
655;PROD_2091381;1;1
2202;PROD_2022010;1;1
3124;PROD_2022010;1;1
4772;PROD_2022010;1;1
266;PROD_336552;1;1
189;PROD_2136280;1;1
1831;PROD_2022018;1;1
4013;PROD_2022018;1;1
4772;PROD_2022018;1;1
2653;PROD_2094675;1;1
920;PROD_2094675;1;1
2219;PROD_2070393;1;1
2202;PROD_2238591;1;1
665;PROD_423776;1;1
1457;PROD_2314168;1;1
1245;PROD_2004306;1;1
4213;PROD_2097382;1;1
1046;PROD_384258;1;1
4596;PROD_2133678;1;1
4930;PROD_2061288;1;1
3223;PROD_58235;1;1
1373;PROD_204741;1;1
3998;PROD_286800;1;1
710;PROD_286800;1;1
1379;PROD_2273254;1;1
1996;PROD_416474;1;1
2721;PROD_416474;1;1
968;PROD_416474;1;1
1500;PROD_416490;1;1
3902;PROD_416490;1;1
4220;PROD_416490;1;1
82;PROD_2005843;1;1
2697;PROD_2005843;1;1
3648;PROD_2007056;1;1
2549;PROD_2007059;1;1
2557;PROD_2007059;1;1
3688;PROD_2007059;1;1
3776;PROD_2007059;1;1
4566;PROD_2007059;1;1
2516;PROD_2004157;1;1
3598;PROD_2004157;1;1
373;PROD_2004164;1;1
2658;PROD_206499;1;1
4213;PROD_2045971;1;1
1036;PROD_2105852;1;1
1559;PROD_2139630;1;1
2800;PROD_2156216;1;1
2680;PROD_2156392;1;1
2800;PROD_2156392;1;1
2742;PROD_2092828;1;1
3214;PROD_216437;1;1
4984;PROD_216437;1;1
4926;PROD_2184514;1;1
476;PROD_2184521;1;1
1036;PROD_2184526;1;1
968;PROD_2173878;1;1
1558;PROD_2168634;1;1
458;PROD_2223821;1;1
614;PROD_304024;1;1
3281;PROD_2261189;1;1
3223;PROD_376957;1;1
3965;PROD_376957;1;1
1058;PROD_386219;1;1
4649;PROD_304495;1;1
4705;PROD_40351;1;1
2652;PROD_2262675;1;1
2687;PROD_2022008;1;1
3073;PROD_2022008;1;1
604;PROD_49147;1;1
1347;PROD_2039044;1;1
333;PROD_2159251;1;1
2551;PROD_2022002;1;1
433;PROD_2022002;1;1
1668;PROD_260347;1;1
266;PROD_2184547;1;1
870;PROD_219032;1;1
752;PROD_335684;1;1
1072;PROD_2071142;1;1
3426;PROD_2039199;1;1
4277;PROD_2160041;1;1
614;PROD_2184477;1;1
319;PROD_2159201;1;1
2450;PROD_2262683;1;1
1179;PROD_332023;1;1
1014;PROD_339130;1;1
2772;PROD_2004222;1;1
227;PROD_336554;1;1
1919;PROD_2077976;1;1
2472;PROD_2077976;1;1
2901;PROD_2077976;1;1
2955;PROD_2077976;1;1
2983;PROD_2077976;1;1
3570;PROD_2077976;1;1
3697;PROD_2077976;1;1
3720;PROD_2077976;1;1
4202;PROD_2077976;1;1
4777;PROD_2077976;1;1
4997;PROD_2077976;1;1
1473;PROD_2077976;1;1
1628;PROD_411279;1;1
1363;PROD_2007058;1;1
4772;PROD_2262137;1;1
2570;PROD_2039244;1;1
1994;PROD_2143137;1;1
2808;PROD_2296067;1;1
950;PROD_2215218;1;1
2808;PROD_2296064;1;1
988;PROD_413429;1;1
144;PROD_2158315;1;1
4271;PROD_2126539;1;1
245;PROD_416476;1;1
3439;PROD_416476;1;1
1295;PROD_2261213;1;1
1092;PROD_2315226;1;1
987;PROD_2004129;1;1
2516;PROD_2004158;1;1
