ORDER;PRODUCT;QTY;STATION
112;PROD_413432;1;1
2498;PROD_416475;1;1
434;PROD_416475;1;1
3310;PROD_416475;1;1
932;PROD_416475;1;1
2936;PROD_369670;1;1
755;PROD_369670;1;1
1391;PROD_385817;1;1
829;PROD_2237443;1;1
1183;PROD_2237443;1;1
164;PROD_2287626;1;1
2403;PROD_2287626;1;1
559;PROD_2006180;1;1
12;PROD_2006654;1;1
2460;PROD_2006654;1;1
4208;PROD_2006654;1;1
5348;PROD_2006654;1;1
5557;PROD_2006654;1;1
6184;PROD_2006654;1;1
6710;PROD_2006654;1;1
7897;PROD_2006654;1;1
1856;PROD_2007249;1;1
208;PROD_2007249;1;1
2708;PROD_2007249;1;1
2903;PROD_2007249;1;1
3106;PROD_2007249;1;1
4250;PROD_2007249;1;1
7361;PROD_2007249;1;1
7679;PROD_2007249;1;1
7933;PROD_2007249;1;1
2001;PROD_2007754;1;1
398;PROD_2007754;1;1
7956;PROD_2007754;1;1
2162;PROD_2004128;1;1
2309;PROD_2004128;1;1
3321;PROD_2004128;1;1
595;PROD_2004128;1;1
3989;PROD_2004128;1;1
4058;PROD_2004128;1;1
4397;PROD_2004128;1;1
4943;PROD_2004128;1;1
5042;PROD_2004128;1;1
5601;PROD_2004128;1;1
6673;PROD_2004128;1;1
6996;PROD_2004128;1;1
7742;PROD_2004128;1;1
7898;PROD_2004128;1;1
1489;PROD_2004154;1;1
85;PROD_2004154;1;1
3989;PROD_2004154;1;1
4325;PROD_2004154;1;1
4330;PROD_2004154;1;1
5130;PROD_2004154;1;1
5374;PROD_2004154;1;1
7640;PROD_2004154;1;1
7742;PROD_2004154;1;1
850;PROD_2004162;1;1
7764;PROD_2004162;1;1
7778;PROD_2004162;1;1
4365;PROD_2004177;1;1
1262;PROD_2004177;1;1
2496;PROD_2004204;1;1
3104;PROD_2004204;1;1
614;PROD_2004204;1;1
636;PROD_2004204;1;1
4419;PROD_2004204;1;1
4665;PROD_2004204;1;1
6656;PROD_2004204;1;1
1057;PROD_2004204;1;1
7069;PROD_2004204;1;1
496;PROD_2004206;1;1
3732;PROD_2004206;1;1
4912;PROD_2004223;1;1
811;PROD_2004223;1;1
11;PROD_2039186;1;1
1495;PROD_2039186;1;1
