tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscf10kt_r0f0,0,1,0.0,6924,7516,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.0,7191,7734,1.0,0,1,1.0
iscf10kt_r0f0,0,6,0.0,7695,8449,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.0,6980,7337,1.0,0,2,1.0
iscf10kt_r0f0,0,1,0.5,6924,8648,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.5,7191,8709,1.0,0,1,1.0
iscf10kt_r0f0,0,6,0.5,7695,9168,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.5,6980,8469,1.0,0,2,1.0
iscf10kt_r0f0,0,1,1.0,6924,8867,1.0,0,2,1.0
iscf10kt_r0f0,0,4,1.0,7191,8904,1.0,0,1,1.0
iscf10kt_r0f0,0,6,1.0,7695,9362,1.0,0,1,1.0
iscf10kt_r0f0,0,10,1.0,6980,8697,1.0,0,2,1.0
iscf10kt_r0f0,0,1,2.0,6924,8941,1.0,0,2,1.0
iscf10kt_r0f0,0,4,2.0,7191,9002,1.0,0,1,1.0
iscf10kt_r0f0,0,6,2.0,7695,9392,1.0,0,1,1.0
iscf10kt_r0f0,0,10,2.0,6980,8807,1.0,0,2,1.0
iscf10kt_r0f0,0,1,3.0,6924,8993,1.0,0,2,1.0
iscf10kt_r0f0,0,4,3.0,7191,8977,1.0,0,1,1.0
iscf10kt_r0f0,0,6,3.0,7695,9424,1.0,0,1,1.0
iscf10kt_r0f0,0,10,3.0,6980,8839,1.0,0,2,1.0
iscf10kt_r0f0,0,1,4.0,6924,8975,1.0,0,2,1.0
iscf10kt_r0f0,0,4,4.0,7191,8986,1.0,0,1,1.0
iscf10kt_r0f0,0,6,4.0,7695,9452,1.0,0,1,1.0
iscf10kt_r0f0,0,10,4.0,6980,8821,1.0,0,2,1.0
iscf10kt_r0f1,1,1,0.0,8315,5973,1.0,0,1,1.0
