tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscf10kt_r0f0,0,1,0.0,6924,7516,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.0,7191,7734,1.0,0,1,1.0
iscf10kt_r0f0,0,6,0.0,7695,8449,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.0,6980,7337,1.0,0,2,1.0
iscf10kt_r0f0,0,1,0.25,6924,8362,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.25,7191,8530,1.0,0,1,1.0
iscf10kt_r0f0,0,6,0.25,7695,8972,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.25,6980,8206,1.0,0,2,1.0
iscf10kt_r0f0,0,1,0.5,6924,8852,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.5,7191,8996,1.0,0,1,1.0
iscf10kt_r0f0,0,6,0.5,7695,9218,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.5,6980,8773,1.0,0,2,1.0
iscf10kt_r0f0,0,1,1.0,6924,9280,1.0,0,2,1.0
iscf10kt_r0f0,0,4,1.0,7191,9324,1.0,0,1,1.0
iscf10kt_r0f0,0,6,1.0,7695,9521,1.0,0,1,1.0
iscf10kt_r0f0,0,10,1.0,6980,9249,1.0,0,2,1.0
iscf10kt_r0f0,0,1,2.0,6924,9573,1.0,0,2,1.0
iscf10kt_r0f0,0,4,2.0,7191,9549,1.0,0,1,1.0
iscf10kt_r0f0,0,6,2.0,7695,9585,1.0,0,1,1.0
iscf10kt_r0f0,0,10,2.0,6980,9498,1.0,0,2,1.0
iscf10kt_r0f0,0,1,3.0,6924,9609,1.0,0,2,1.0
iscf10kt_r0f0,0,4,3.0,7191,9635,1.0,0,1,1.0
iscf10kt_r0f0,0,6,3.0,7695,9717,1.0,0,1,1.0
iscf10kt_r0f0,0,10,3.0,6980,9557,1.0,0,2,1.0
iscf10kt_r0f0,0,1,4.0,6924,9694,1.0,0,2,1.0
