rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,4493.8,0,3
0.0,4,5,1.0,0.05407,0.01494,0.09319,-0.05322,-0.11973,0.01329,0.125,10290.8,4668.0,0,2
0.0,6,5,1.0,0.10191,0.09123,0.11258,-0.10458,-0.12423,-0.08493,0.0625,10717.4,4974.0,0,1
0.0,10,5,1.0,0.08697,0.02589,0.14805,-0.09296,-0.18546,-0.00047,0.125,10641.6,4782.8,0,2
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5218.2,0,3
0.5,4,5,1.0,0.05407,0.01494,0.09319,-0.02208,-0.05999,0.01583,0.3125,10290.8,5314.2,0,2
0.5,6,5,1.0,0.10191,0.09123,0.11258,-0.04662,-0.06691,-0.02633,0.0625,10717.4,5493.6,0,1
0.5,10,5,1.0,0.08697,0.02589,0.14805,-0.03861,-0.08521,0.00798,0.3125,10641.6,5349.2,0,2
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5363.6,0,3
1.0,4,5,1.0,0.05407,0.01494,0.09319,-0.02107,-0.05016,0.00803,0.1875,10290.8,5448.2,0,2
1.0,6,5,1.0,0.10191,0.09123,0.11258,-0.03702,-0.06231,-0.01172,0.0625,10717.4,5603.2,0,1
1.0,10,5,1.0,0.08697,0.02589,0.14805,-0.03372,-0.07696,0.00953,0.3125,10641.6,5473.2,0,2
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5421.4,0,3
2.0,4,5,1.0,0.05407,0.01494,0.09319,-0.01704,-0.04177,0.00769,0.1875,10290.8,5507.2,0,2
2.0,6,5,1.0,0.10191,0.09123,0.11258,-0.03381,-0.0583,-0.00932,0.125,10717.4,5642.4,0,1
2.0,10,5,1.0,0.08697,0.02589,0.14805,-0.02945,-0.06464,0.00574,0.3125,10641.6,5527.0,0,2
3.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5446.8,0,3
3.0,4,5,1.0,0.05407,0.01494,0.09319,-0.01601,-0.04298,0.01095,0.3125,10290.8,5518.6,0,2
3.0,6,5,1.0,0.10191,0.09123,0.11258,-0.03448,-0.05574,-0.01322,0.0625,10717.4,5667.0,0,1
3.0,10,5,1.0,0.08697,0.02589,0.14805,-0.02935,-0.06851,0.00981,0.4375,10641.6,5539.8,0,2
4.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5439.2,0,3
4.0,4,5,1.0,0.05407,0.01494,0.09319,-0.0171,-0.05002,0.01583,0.3125,10290.8,5517.2,0,2
4.0,6,5,1.0,0.10191,0.09123,0.11258,-0.03647,-0.06284,-0.01009,0.0625,10717.4,5679.4,0,1
4.0,10,5,1.0,0.08697,0.02589,0.14805,-0.02733,-0.06316,0.0085,0.3125,10641.6,5531.0,0,2
