rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,4493.8,0,3
0.0,4,5,1.0,0.05407,0.01494,0.09319,-0.05322,-0.11973,0.01329,0.125,10290.8,4668.0,0,2
0.0,6,5,1.0,0.10191,0.09123,0.11258,-0.10458,-0.12423,-0.08493,0.0625,10717.4,4974.0,0,1
0.0,10,5,1.0,0.08697,0.02589,0.14805,-0.09296,-0.18546,-0.00047,0.125,10641.6,4782.8,0,2
0.25,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5040.8,0,3
0.25,4,5,1.0,0.05407,0.01494,0.09319,-0.03227,-0.06546,0.00093,0.125,10290.8,5177.0,0,2
0.25,6,5,1.0,0.10191,0.09123,0.11258,-0.06284,-0.07592,-0.04975,0.0625,10717.4,5374.0,0,1
0.25,10,5,1.0,0.08697,0.02589,0.14805,-0.05085,-0.10384,0.00214,0.1875,10641.6,5221.8,0,2
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5359.2,0,3
0.5,4,5,1.0,0.05407,0.01494,0.09319,-0.02113,-0.04637,0.00411,0.125,10290.8,5461.4,0,2
0.5,6,5,1.0,0.10191,0.09123,0.11258,-0.0386,-0.05129,-0.02592,0.0625,10717.4,5580.2,0,1
0.5,10,5,1.0,0.08697,0.02589,0.14805,-0.0324,-0.06541,0.0006,0.125,10641.6,5482.0,0,2
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5628.4,0,3
1.0,4,5,1.0,0.05407,0.01494,0.09319,-0.01425,-0.03179,0.0033,0.0625,10290.8,5701.2,0,2
1.0,6,5,1.0,0.10191,0.09123,0.11258,-0.02126,-0.03821,-0.00432,0.125,10717.4,5766.6,0,1
1.0,10,5,1.0,0.08697,0.02589,0.14805,-0.02104,-0.04229,0.00021,0.125,10641.6,5713.2,0,2
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5803.2,0,3
2.0,4,5,1.0,0.05407,0.01494,0.09319,-0.00364,-0.01925,0.01196,0.625,10290.8,5825.2,0,2
2.0,6,5,1.0,0.10191,0.09123,0.11258,-0.0084,-0.02167,0.00488,0.1875,10717.4,5860.2,0,1
2.0,10,5,1.0,0.08697,0.02589,0.14805,-0.01177,-0.02834,0.0048,0.3125,10641.6,5846.0,0,2
3.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5816.6,0,3
3.0,4,5,1.0,0.05407,0.01494,0.09319,-0.0071,-0.02074,0.00654,0.125,10290.8,5862.2,0,2
3.0,6,5,1.0,0.10191,0.09123,0.11258,-0.00948,-0.02189,0.00293,0.125,10717.4,5889.2,0,1
3.0,10,5,1.0,0.08697,0.02589,0.14805,-0.01279,-0.02749,0.0019,0.3125,10641.6,5868.8,0,2
4.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5870.2,0,3
4.0,4,5,1.0,0.05407,0.01494,0.09319,-0.00345,-0.02097,0.01407,0.8125,10290.8,5887.4,0,2
4.0,6,5,1.0,0.10191,0.09123,0.11258,-0.00676,-0.01753,0.00401,0.125,10717.4,5912.4,0,1
4.0,10,5,1.0,0.08697,0.02589,0.14805,-0.00386,-0.01796,0.01024,1.0,10641.6,5868.8,0,2
