tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscf10kt_r0f0,0,1,0.0,6924,7516,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.0,7394,8040,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.0,7421,7831,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.0,7700,8112,1.0,0,2,1.0
iscf10kt_r0f0,0,1,0.5,6924,8648,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.5,7394,8950,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.5,7421,8682,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.5,7700,8930,1.0,0,2,1.0
iscf10kt_r0f0,0,1,1.0,6924,8867,1.0,0,2,1.0
iscf10kt_r0f0,0,4,1.0,7394,9185,1.0,0,2,1.0
iscf10kt_r0f0,0,6,1.0,7421,8922,1.0,0,1,1.0
iscf10kt_r0f0,0,10,1.0,7700,9243,1.0,0,2,1.0
iscf10kt_r0f0,0,1,2.0,6924,8941,1.0,0,2,1.0
iscf10kt_r0f0,0,4,2.0,7394,9213,1.0,0,2,1.0
iscf10kt_r0f0,0,6,2.0,7421,8936,1.0,0,1,1.0
iscf10kt_r0f0,0,10,2.0,7700,9267,1.0,0,2,1.0
iscf10kt_r0f0,0,1,3.0,6924,8993,1.0,0,2,1.0
iscf10kt_r0f0,0,4,3.0,7394,9294,1.0,0,2,1.0
iscf10kt_r0f0,0,6,3.0,7421,8957,1.0,0,1,1.0
iscf10kt_r0f0,0,10,3.0,7700,9292,1.0,0,2,1.0
iscf10kt_r0f0,0,1,4.0,6924,8975,1.0,0,2,1.0
iscf10kt_r0f0,0,4,4.0,7394,9261,1.0,0,2,1.0
iscf10kt_r0f0,0,6,4.0,7421,8965,1.0,0,1,1.0
iscf10kt_r0f0,0,10,4.0,7700,9328,1.0,0,2,1.0
iscf10kt_r0f1,1,1,0.0,8315,5973,1.0,0,1,1.0
iscf10kt_r0f1,1,4,0.0,8804,6310,1.0,0,0,1.0
iscf10kt_r0f1,1,6,0.0,9029,6429,1.0,0,0,1.0
iscf10kt_r0f1,1,10,0.0,8951,6422,1.0,0,0,1.0
iscf10kt_r0f1,1,1,0.5,8315,6841,1.0,0,1,1.0
iscf10kt_r0f1,1,4,0.5,8804,7205,1.0,0,0,1.0
iscf10kt_r0f1,1,6,0.5,9029,7194,1.0,0,0,1.0
