tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscf10kt_r0f0,0,1,0.0,6924,7516,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.0,7394,8040,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.0,7421,7831,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.0,7700,8112,1.0,0,2,1.0
iscf10kt_r0f0,0,1,0.25,6924,8362,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.25,7394,8754,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.25,7421,8566,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.25,7700,8739,1.0,0,2,1.0
iscf10kt_r0f0,0,1,0.5,6924,8852,1.0,0,2,1.0
iscf10kt_r0f0,0,4,0.5,7394,9079,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.5,7421,9056,1.0,0,1,1.0
iscf10kt_r0f0,0,10,0.5,7700,9177,1.0,0,2,1.0
iscf10kt_r0f0,0,1,1.0,6924,9280,1.0,0,2,1.0
iscf10kt_r0f0,0,4,1.0,7394,9411,1.0,0,2,1.0
iscf10kt_r0f0,0,6,1.0,7421,9354,1.0,0,1,1.0
iscf10kt_r0f0,0,10,1.0,7700,9400,1.0,0,2,1.0
iscf10kt_r0f0,0,1,2.0,6924,9573,1.0,0,2,1.0
iscf10kt_r0f0,0,4,2.0,7394,9597,1.0,0,2,1.0
iscf10kt_r0f0,0,6,2.0,7421,9560,1.0,0,1,1.0
iscf10kt_r0f0,0,10,2.0,7700,9649,1.0,0,2,1.0
iscf10kt_r0f0,0,1,3.0,6924,9609,1.0,0,2,1.0
iscf10kt_r0f0,0,4,3.0,7394,9646,1.0,0,2,1.0
iscf10kt_r0f0,0,6,3.0,7421,9614,1.0,0,1,1.0
iscf10kt_r0f0,0,10,3.0,7700,9666,1.0,0,2,1.0
iscf10kt_r0f0,0,1,4.0,6924,9694,1.0,0,2,1.0
iscf10kt_r0f0,0,4,4.0,7394,9646,1.0,0,2,1.0
iscf10kt_r0f0,0,6,4.0,7421,9637,1.0,0,1,1.0
iscf10kt_r0f0,0,10,4.0,7700,9734,1.0,0,2,1.0
iscf10kt_r0f1,1,1,0.0,8315,5973,1.0,0,1,1.0
iscf10kt_r0f1,1,4,0.0,8804,6310,1.0,0,0,1.0
iscf10kt_r0f1,1,6,0.0,9029,6429,1.0,0,0,1.0
