rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,4493.8,0,3
0.0,4,5,1.0,0.0665,0.05576,0.07725,-0.06416,-0.1,-0.02833,0.0625,10380.4,4798.6,0,2
0.0,6,5,1.0,0.07781,0.06689,0.08873,-0.07284,-0.11407,-0.03162,0.0625,10486.6,4813.0,0,1
0.0,10,5,1.0,0.09986,0.07791,0.12181,-0.0962,-0.13922,-0.05319,0.0625,10702.8,4920.8,0,2
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5218.2,0,3
0.5,4,5,1.0,0.0665,0.05576,0.07725,-0.03531,-0.085,0.01438,0.125,10380.4,5442.8,0,2
0.5,6,5,1.0,0.07781,0.06689,0.08873,-0.03167,-0.0624,-0.00094,0.0625,10486.6,5377.0,0,1
0.5,10,5,1.0,0.09986,0.07791,0.12181,-0.04382,-0.07405,-0.01359,0.0625,10702.8,5461.2,0,2
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5363.6,0,3
1.0,4,5,1.0,0.0665,0.05576,0.07725,-0.02955,-0.0843,0.02519,0.125,10380.4,5575.2,0,2
1.0,6,5,1.0,0.07781,0.06689,0.08873,-0.02689,-0.0545,0.00073,0.0625,10486.6,5506.4,0,1
1.0,10,5,1.0,0.09986,0.07791,0.12181,-0.0404,-0.06865,-0.01215,0.0625,10702.8,5609.2,0,2
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5421.4,0,3
2.0,4,5,1.0,0.0665,0.05576,0.07725,-0.02766,-0.08713,0.03182,0.125,10380.4,5625.4,0,2
2.0,6,5,1.0,0.07781,0.06689,0.08873,-0.02133,-0.05131,0.00864,0.3125,10486.6,5537.0,0,1
2.0,10,5,1.0,0.09986,0.07791,0.12181,-0.03229,-0.06473,0.00014,0.125,10702.8,5637.2,0,2
3.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5446.8,0,3
3.0,4,5,1.0,0.0665,0.05576,0.07725,-0.02808,-0.08937,0.03321,0.125,10380.4,5657.6,0,2
3.0,6,5,1.0,0.07781,0.06689,0.08873,-0.01976,-0.04697,0.00744,0.3125,10486.6,5551.8,0,1
3.0,10,5,1.0,0.09986,0.07791,0.12181,-0.03254,-0.06022,-0.00485,0.125,10702.8,5652.6,0,2
4.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5439.2,0,3
4.0,4,5,1.0,0.0665,0.05576,0.07725,-0.02829,-0.08225,0.02567,0.125,10380.4,5638.4,0,2
4.0,6,5,1.0,0.07781,0.06689,0.08873,-0.02216,-0.05097,0.00665,0.1875,10486.6,5553.8,0,1
4.0,10,5,1.0,0.09986,0.07791,0.12181,-0.03295,-0.0632,-0.0027,0.125,10702.8,5656.6,0,2
