rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,4493.8,0,3
0.0,4,5,1.0,0.0665,0.05576,0.07725,-0.06416,-0.1,-0.02833,0.0625,10380.4,4798.6,0,2
0.0,6,5,1.0,0.07781,0.06689,0.08873,-0.07284,-0.11407,-0.03162,0.0625,10486.6,4813.0,0,1
0.0,10,5,1.0,0.09986,0.07791,0.12181,-0.0962,-0.13922,-0.05319,0.0625,10702.8,4920.8,0,2
0.25,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5040.8,0,3
0.25,4,5,1.0,0.0665,0.05576,0.07725,-0.03937,-0.08126,0.00252,0.125,10380.4,5272.2,0,2
0.25,6,5,1.0,0.07781,0.06689,0.08873,-0.0429,-0.08269,-0.00312,0.125,10486.6,5264.4,0,1
0.25,10,5,1.0,0.09986,0.07791,0.12181,-0.05556,-0.09202,-0.0191,0.0625,10702.8,5333.4,0,2
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5359.2,0,3
0.5,4,5,1.0,0.0665,0.05576,0.07725,-0.02269,-0.06168,0.0163,0.125,10380.4,5511.2,0,2
0.5,6,5,1.0,0.07781,0.06689,0.08873,-0.02954,-0.05822,-0.00086,0.125,10486.6,5529.0,0,1
0.5,10,5,1.0,0.09986,0.07791,0.12181,-0.02905,-0.05656,-0.00153,0.125,10702.8,5544.0,0,2
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5628.4,0,3
1.0,4,5,1.0,0.0665,0.05576,0.07725,-0.01144,-0.04785,0.02497,0.125,10380.4,5722.2,0,2
1.0,6,5,1.0,0.07781,0.06689,0.08873,-0.01312,-0.04439,0.01815,0.125,10486.6,5718.6,0,1
1.0,10,5,1.0,0.09986,0.07791,0.12181,-0.017,-0.04078,0.00678,0.125,10702.8,5741.6,0,2
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5803.2,0,3
2.0,4,5,1.0,0.0665,0.05576,0.07725,-0.00367,-0.04347,0.03614,0.3125,10380.4,5860.4,0,2
2.0,6,5,1.0,0.07781,0.06689,0.08873,-0.00343,-0.03506,0.0282,0.4375,10486.6,5840.6,0,1
2.0,10,5,1.0,0.09986,0.07791,0.12181,-0.00393,-0.0336,0.02574,0.3125,10702.8,5861.4,0,2
3.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5816.6,0,3
3.0,4,5,1.0,0.0665,0.05576,0.07725,-0.00457,-0.04285,0.03372,0.4375,10380.4,5882.0,0,2
3.0,6,5,1.0,0.07781,0.06689,0.08873,-0.00527,-0.03378,0.02323,0.3125,10486.6,5867.2,0,1
3.0,10,5,1.0,0.09986,0.07791,0.12181,-0.00979,-0.03121,0.01162,0.125,10702.8,5896.8,0,2
4.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9733.0,5870.2,0,3
4.0,4,5,1.0,0.0665,0.05576,0.07725,-0.00077,-0.03785,0.03632,0.4375,10380.4,5902.6,0,2
4.0,6,5,1.0,0.07781,0.06689,0.08873,-6e-05,-0.02716,0.02705,1.0,10486.6,5881.4,0,1
4.0,10,5,1.0,0.09986,0.07791,0.12181,-0.0033,-0.03015,0.02354,0.3125,10702.8,5913.8,0,2
