tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscf10kt_r0f0,0,1,0.0,6841,7497,1.0,0,2,1.0
iscf10kt_r0f0,0,2,0.0,6855,7479,1.0,0,2,1.0
iscf10kt_r0f0,0,3,0.0,6994,7715,1.0,0,1,1.0
iscf10kt_r0f0,0,4,0.0,7118,7838,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.0,7576,8163,1.0,0,1,1.0
iscf10kt_r0f0,0,1,0.5,6841,8616,1.0,0,2,1.0
iscf10kt_r0f0,0,2,0.5,6855,8569,1.0,0,2,1.0
iscf10kt_r0f0,0,3,0.5,6994,8754,1.0,0,1,1.0
iscf10kt_r0f0,0,4,0.5,7118,8868,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.5,7576,8945,1.0,0,1,1.0
iscf10kt_r0f0,0,1,1.0,6841,8868,1.0,0,2,1.0
iscf10kt_r0f0,0,2,1.0,6855,8810,1.0,0,2,1.0
iscf10kt_r0f0,0,3,1.0,6994,9019,1.0,0,1,1.0
iscf10kt_r0f0,0,4,1.0,7118,9092,1.0,0,2,1.0
iscf10kt_r0f0,0,6,1.0,7576,9150,1.0,0,1,1.0
iscf10kt_r0f0,0,1,2.0,6841,8978,1.0,0,2,1.0
iscf10kt_r0f0,0,2,2.0,6855,8891,1.0,0,2,1.0
iscf10kt_r0f0,0,3,2.0,6994,9094,1.0,0,1,1.0
iscf10kt_r0f0,0,4,2.0,7118,9185,1.0,0,2,1.0
iscf10kt_r0f0,0,6,2.0,7576,9210,1.0,0,1,1.0
iscf10kt_r0f1,1,1,0.0,8126,5932,1.0,0,1,1.0
iscf10kt_r0f1,1,2,0.0,8287,6057,1.0,0,0,1.0
iscf10kt_r0f1,1,3,0.0,8514,6193,1.0,0,0,1.0
iscf10kt_r0f1,1,4,0.0,8677,6291,1.0,0,1,1.0
iscf10kt_r0f1,1,6,0.0,8987,6552,1.0,0,0,1.0
iscf10kt_r0f1,1,1,0.5,8126,6796,1.0,0,1,1.0
iscf10kt_r0f1,1,2,0.5,8287,6929,1.0,0,0,1.0
iscf10kt_r0f1,1,3,0.5,8514,7089,1.0,0,0,1.0
iscf10kt_r0f1,1,4,0.5,8677,7021,1.0,0,1,1.0
iscf10kt_r0f1,1,6,0.5,8987,7268,1.0,0,0,1.0
iscf10kt_r0f1,1,1,1.0,8126,7026,1.0,0,1,1.0
iscf10kt_r0f1,1,2,1.0,8287,7179,1.0,0,0,1.0
iscf10kt_r0f1,1,3,1.0,8514,7293,1.0,0,0,1.0
iscf10kt_r0f1,1,4,1.0,8677,7200,1.0,0,1,1.0
iscf10kt_r0f1,1,6,1.0,8987,7439,1.0,0,0,1.0
iscf10kt_r0f1,1,1,2.0,8126,7108,1.0,0,1,1.0
iscf10kt_r0f1,1,2,2.0,8287,7264,1.0,0,0,1.0
iscf10kt_r0f1,1,3,2.0,8514,7367,1.0,0,0,1.0
iscf10kt_r0f1,1,4,2.0,8677,7367,1.0,0,1,1.0
iscf10kt_r0f1,1,6,2.0,8987,7458,1.0,0,0,1.0
iscf10kt_r0f2,2,1,0.0,9533,4340,1.0,0,0,1.0
iscf10kt_r0f2,2,2,0.0,9986,4599,1.0,0,0,1.0
iscf10kt_r0f2,2,3,0.0,9686,4487,1.0,0,0,1.0
iscf10kt_r0f2,2,4,0.0,10235,4669,1.0,0,0,1.0
iscf10kt_r0f2,2,6,0.0,10735,5210,1.0,0,0,1.0
iscf10kt_r0f2,2,1,0.5,9533,5155,1.0,0,0,1.0
iscf10kt_r0f2,2,2,0.5,9986,5370,1.0,0,0,1.0
iscf10kt_r0f2,2,3,0.5,9686,5106,1.0,0,0,1.0
iscf10kt_r0f2,2,4,0.5,10235,5312,1.0,0,0,1.0
iscf10kt_r0f2,2,6,0.5,10735,5548,1.0,0,0,1.0
iscf10kt_r0f2,2,1,1.0,9533,5331,1.0,0,0,1.0
iscf10kt_r0f2,2,2,1.0,9986,5530,1.0,0,0,1.0
iscf10kt_r0f2,2,3,1.0,9686,5214,1.0,0,0,1.0
iscf10kt_r0f2,2,4,1.0,10235,5476,1.0,0,0,1.0
iscf10kt_r0f2,2,6,1.0,10735,5647,1.0,0,0,1.0
iscf10kt_r0f2,2,1,2.0,9533,5384,1.0,0,0,1.0
iscf10kt_r0f2,2,2,2.0,9986,5610,1.0,0,0,1.0
iscf10kt_r0f2,2,3,2.0,9686,5291,1.0,0,0,1.0
iscf10kt_r0f2,2,4,2.0,10235,5547,1.0,0,0,1.0
iscf10kt_r0f2,2,6,2.0,10735,5658,1.0,0,0,1.0
iscf10kt_r0f3,3,1,0.0,10965,2975,1.0,0,0,1.0
iscf10kt_r0f3,3,2,0.0,11426,2990,1.0,0,0,1.0
iscf10kt_r0f3,3,3,0.0,11513,3079,1.0,0,0,1.0
iscf10kt_r0f3,3,4,0.0,11817,3255,1.0,0,0,1.0
iscf10kt_r0f3,3,6,0.0,12516,3436,1.0,0,0,1.0
iscf10kt_r0f3,3,1,0.5,10965,3499,1.0,0,0,1.0
iscf10kt_r0f3,3,2,0.5,11426,3506,1.0,0,0,1.0
iscf10kt_r0f3,3,3,0.5,11513,3481,1.0,0,0,1.0
iscf10kt_r0f3,3,4,0.5,11817,3631,1.0,0,0,1.0
iscf10kt_r0f3,3,6,0.5,12516,3708,1.0,0,0,1.0
iscf10kt_r0f3,3,1,1.0,10965,3608,1.0,0,0,1.0
iscf10kt_r0f3,3,2,1.0,11426,3629,1.0,0,0,1.0
iscf10kt_r0f3,3,3,1.0,11513,3557,1.0,0,0,1.0
iscf10kt_r0f3,3,4,1.0,11817,3685,1.0,0,0,1.0
iscf10kt_r0f3,3,6,1.0,12516,3710,1.0,0,0,1.0
iscf10kt_r0f3,3,1,2.0,10965,3646,1.0,0,0,1.0
iscf10kt_r0f3,3,2,2.0,11426,3690,1.0,0,0,1.0
iscf10kt_r0f3,3,3,2.0,11513,3553,1.0,0,0,1.0
iscf10kt_r0f3,3,4,2.0,11817,3727,1.0,0,0,1.0
iscf10kt_r0f3,3,6,2.0,12516,3758,1.0,0,0,1.0
iscf10kt_r0f4,4,1,0.0,12309,1622,1.0,0,0,1.0
iscf10kt_r0f4,4,2,0.0,12789,1627,1.0,0,0,1.0
iscf10kt_r0f4,4,3,0.0,12595,1650,1.0,0,0,1.0
iscf10kt_r0f4,4,4,0.0,13332,1703,1.0,0,0,1.0
iscf10kt_r0f4,4,6,0.0,14268,1945,1.0,0,0,1.0
iscf10kt_r0f4,4,1,0.5,12309,1927,1.0,0,0,1.0
iscf10kt_r0f4,4,2,0.5,12789,1868,1.0,0,0,1.0
iscf10kt_r0f4,4,3,0.5,12595,1943,1.0,0,0,1.0
iscf10kt_r0f4,4,4,0.5,13332,1943,1.0,0,0,1.0
iscf10kt_r0f4,4,6,0.5,14268,2096,1.0,0,0,1.0
iscf10kt_r0f4,4,1,1.0,12309,1957,1.0,0,0,1.0
iscf10kt_r0f4,4,2,1.0,12789,1896,1.0,0,0,1.0
iscf10kt_r0f4,4,3,1.0,12595,2003,1.0,0,0,1.0
iscf10kt_r0f4,4,4,1.0,13332,1957,1.0,0,0,1.0
iscf10kt_r0f4,4,6,1.0,14268,2107,1.0,0,0,1.0
iscf10kt_r0f4,4,1,2.0,12309,1987,1.0,0,0,1.0
iscf10kt_r0f4,4,2,2.0,12789,1893,1.0,0,0,1.0
iscf10kt_r0f4,4,3,2.0,12595,2008,1.0,0,0,1.0
iscf10kt_r0f4,4,4,2.0,13332,1957,1.0,0,0,1.0
iscf10kt_r0f4,4,6,2.0,14268,2141,1.0,0,0,1.0
