tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscf10kt_r0f0,0,1,0.0,6841,7497,1.0,0,2,1.0
iscf10kt_r0f0,0,2,0.0,6855,7479,1.0,0,2,1.0
iscf10kt_r0f0,0,3,0.0,6994,7715,1.0,0,1,1.0
iscf10kt_r0f0,0,4,0.0,7118,7838,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.0,7576,8163,1.0,0,1,1.0
iscf10kt_r0f0,0,1,0.25,6841,8303,1.0,0,2,1.0
iscf10kt_r0f0,0,2,0.25,6855,8347,1.0,0,2,1.0
iscf10kt_r0f0,0,3,0.25,6994,8493,1.0,0,1,1.0
iscf10kt_r0f0,0,4,0.25,7118,8639,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.25,7576,8830,1.0,0,1,1.0
iscf10kt_r0f0,0,1,0.5,6841,8855,1.0,0,2,1.0
iscf10kt_r0f0,0,2,0.5,6855,8831,1.0,0,2,1.0
iscf10kt_r0f0,0,3,0.5,6994,8967,1.0,0,1,1.0
iscf10kt_r0f0,0,4,0.5,7118,9013,1.0,0,2,1.0
iscf10kt_r0f0,0,6,0.5,7576,9172,1.0,0,1,1.0
iscf10kt_r0f0,0,1,1.0,6841,9274,1.0,0,2,1.0
iscf10kt_r0f0,0,2,1.0,6855,9199,1.0,0,2,1.0
iscf10kt_r0f0,0,3,1.0,6994,9307,1.0,0,1,1.0
iscf10kt_r0f0,0,4,1.0,7118,9365,1.0,0,2,1.0
iscf10kt_r0f0,0,6,1.0,7576,9417,1.0,0,1,1.0
iscf10kt_r0f0,0,1,2.0,6841,9517,1.0,0,2,1.0
iscf10kt_r0f0,0,2,2.0,6855,9492,1.0,0,2,1.0
iscf10kt_r0f0,0,3,2.0,6994,9542,1.0,0,1,1.0
iscf10kt_r0f0,0,4,2.0,7118,9603,1.0,0,2,1.0
iscf10kt_r0f0,0,6,2.0,7576,9661,1.0,0,1,1.0
iscf10kt_r0f1,1,1,0.0,8126,5932,1.0,0,1,1.0
iscf10kt_r0f1,1,2,0.0,8287,6057,1.0,0,0,1.0
iscf10kt_r0f1,1,3,0.0,8514,6193,1.0,0,0,1.0
iscf10kt_r0f1,1,4,0.0,8677,6291,1.0,0,1,1.0
iscf10kt_r0f1,1,6,0.0,8987,6552,1.0,0,0,1.0
iscf10kt_r0f1,1,1,0.25,8126,6648,1.0,0,1,1.0
iscf10kt_r0f1,1,2,0.25,8287,6755,1.0,0,0,1.0
iscf10kt_r0f1,1,3,0.25,8514,6887,1.0,0,0,1.0
iscf10kt_r0f1,1,4,0.25,8677,6901,1.0,0,1,1.0
iscf10kt_r0f1,1,6,0.25,8987,7098,1.0,0,0,1.0
iscf10kt_r0f1,1,1,0.5,8126,7028,1.0,0,1,1.0
iscf10kt_r0f1,1,2,0.5,8287,7126,1.0,0,0,1.0
iscf10kt_r0f1,1,3,0.5,8514,7230,1.0,0,0,1.0
iscf10kt_r0f1,1,4,0.5,8677,7202,1.0,0,1,1.0
iscf10kt_r0f1,1,6,0.5,8987,7346,1.0,0,0,1.0
iscf10kt_r0f1,1,1,1.0,8126,7369,1.0,0,1,1.0
iscf10kt_r0f1,1,2,1.0,8287,7489,1.0,0,0,1.0
iscf10kt_r0f1,1,3,1.0,8514,7596,1.0,0,0,1.0
iscf10kt_r0f1,1,4,1.0,8677,7478,1.0,0,1,1.0
iscf10kt_r0f1,1,6,1.0,8987,7579,1.0,0,0,1.0
iscf10kt_r0f1,1,1,2.0,8126,7582,1.0,0,1,1.0
iscf10kt_r0f1,1,2,2.0,8287,7662,1.0,0,0,1.0
iscf10kt_r0f1,1,3,2.0,8514,7750,1.0,0,0,1.0
iscf10kt_r0f1,1,4,2.0,8677,7658,1.0,0,1,1.0
iscf10kt_r0f1,1,6,2.0,8987,7758,1.0,0,0,1.0
iscf10kt_r0f2,2,1,0.0,9533,4340,1.0,0,0,1.0
iscf10kt_r0f2,2,2,0.0,9986,4599,1.0,0,0,1.0
iscf10kt_r0f2,2,3,0.0,9686,4487,1.0,0,0,1.0
iscf10kt_r0f2,2,4,0.0,10235,4669,1.0,0,0,1.0
iscf10kt_r0f2,2,6,0.0,10735,5210,1.0,0,0,1.0
iscf10kt_r0f2,2,1,0.25,9533,4924,1.0,0,0,1.0
iscf10kt_r0f2,2,2,0.25,9986,5153,1.0,0,0,1.0
iscf10kt_r0f2,2,3,0.25,9686,5037,1.0,0,0,1.0
iscf10kt_r0f2,2,4,0.25,10235,5167,1.0,0,0,1.0
iscf10kt_r0f2,2,6,0.25,10735,5492,1.0,0,0,1.0
iscf10kt_r0f2,2,1,0.5,9533,5292,1.0,0,0,1.0
iscf10kt_r0f2,2,2,0.5,9986,5432,1.0,0,0,1.0
iscf10kt_r0f2,2,3,0.5,9686,5325,1.0,0,0,1.0
iscf10kt_r0f2,2,4,0.5,10235,5446,1.0,0,0,1.0
iscf10kt_r0f2,2,6,0.5,10735,5672,1.0,0,0,1.0
iscf10kt_r0f2,2,1,1.0,9533,5600,1.0,0,0,1.0
iscf10kt_r0f2,2,2,1.0,9986,5737,1.0,0,0,1.0
iscf10kt_r0f2,2,3,1.0,9686,5612,1.0,0,0,1.0
iscf10kt_r0f2,2,4,1.0,10235,5732,1.0,0,0,1.0
iscf10kt_r0f2,2,6,1.0,10735,5785,1.0,0,0,1.0
iscf10kt_r0f2,2,1,2.0,9533,5798,1.0,0,0,1.0
iscf10kt_r0f2,2,2,2.0,9986,5853,1.0,0,0,1.0
iscf10kt_r0f2,2,3,2.0,9686,5811,1.0,0,0,1.0
iscf10kt_r0f2,2,4,2.0,10235,5855,1.0,0,0,1.0
iscf10kt_r0f2,2,6,2.0,10735,5877,1.0,0,0,1.0
iscf10kt_r0f3,3,1,0.0,10965,2975,1.0,0,0,1.0
iscf10kt_r0f3,3,2,0.0,11426,2990,1.0,0,0,1.0
iscf10kt_r0f3,3,3,0.0,11513,3079,1.0,0,0,1.0
iscf10kt_r0f3,3,4,0.0,11817,3255,1.0,0,0,1.0
iscf10kt_r0f3,3,6,0.0,12516,3436,1.0,0,0,1.0
iscf10kt_r0f3,3,1,0.25,10965,3353,1.0,0,0,1.0
iscf10kt_r0f3,3,2,0.25,11426,3376,1.0,0,0,1.0
iscf10kt_r0f3,3,3,0.25,11513,3427,1.0,0,0,1.0
iscf10kt_r0f3,3,4,0.25,11817,3553,1.0,0,0,1.0
iscf10kt_r0f3,3,6,0.25,12516,3672,1.0,0,0,1.0
iscf10kt_r0f3,3,1,0.5,10965,3595,1.0,0,0,1.0
iscf10kt_r0f3,3,2,0.5,11426,3629,1.0,0,0,1.0
iscf10kt_r0f3,3,3,0.5,11513,3607,1.0,0,0,1.0
iscf10kt_r0f3,3,4,0.5,11817,3725,1.0,0,0,1.0
iscf10kt_r0f3,3,6,0.5,12516,3825,1.0,0,0,1.0
iscf10kt_r0f3,3,1,1.0,10965,3761,1.0,0,0,1.0
iscf10kt_r0f3,3,2,1.0,11426,3829,1.0,0,0,1.0
iscf10kt_r0f3,3,3,1.0,11513,3774,1.0,0,0,1.0
iscf10kt_r0f3,3,4,1.0,11817,3889,1.0,0,0,1.0
iscf10kt_r0f3,3,6,1.0,12516,3927,1.0,0,0,1.0
iscf10kt_r0f3,3,1,2.0,10965,3911,1.0,0,0,1.0
iscf10kt_r0f3,3,2,2.0,11426,3906,1.0,0,0,1.0
iscf10kt_r0f3,3,3,2.0,11513,3862,1.0,0,0,1.0
iscf10kt_r0f3,3,4,2.0,11817,3919,1.0,0,0,1.0
iscf10kt_r0f3,3,6,2.0,12516,3975,1.0,0,0,1.0
iscf10kt_r0f4,4,1,0.0,12309,1622,1.0,0,0,1.0
iscf10kt_r0f4,4,2,0.0,12789,1627,1.0,0,0,1.0
iscf10kt_r0f4,4,3,0.0,12595,1650,1.0,0,0,1.0
iscf10kt_r0f4,4,4,0.0,13332,1703,1.0,0,0,1.0
iscf10kt_r0f4,4,6,0.0,14268,1945,1.0,0,0,1.0
iscf10kt_r0f4,4,1,0.25,12309,1875,1.0,0,0,1.0
iscf10kt_r0f4,4,2,0.25,12789,1805,1.0,0,0,1.0
iscf10kt_r0f4,4,3,0.25,12595,1867,1.0,0,0,1.0
iscf10kt_r0f4,4,4,0.25,13332,1870,1.0,0,0,1.0
iscf10kt_r0f4,4,6,0.25,14268,2057,1.0,0,0,1.0
iscf10kt_r0f4,4,1,0.5,12309,2000,1.0,0,0,1.0
iscf10kt_r0f4,4,2,0.5,12789,1925,1.0,0,0,1.0
iscf10kt_r0f4,4,3,0.5,12595,2001,1.0,0,0,1.0
iscf10kt_r0f4,4,4,0.5,13332,1977,1.0,0,0,1.0
iscf10kt_r0f4,4,6,0.5,14268,2129,1.0,0,0,1.0
iscf10kt_r0f4,4,1,1.0,12309,2097,1.0,0,0,1.0
iscf10kt_r0f4,4,2,1.0,12789,2014,1.0,0,0,1.0
iscf10kt_r0f4,4,3,1.0,12595,2090,1.0,0,0,1.0
iscf10kt_r0f4,4,4,1.0,13332,2047,1.0,0,0,1.0
iscf10kt_r0f4,4,6,1.0,14268,2168,1.0,0,0,1.0
iscf10kt_r0f4,4,1,2.0,12309,2142,1.0,0,0,1.0
iscf10kt_r0f4,4,2,2.0,12789,2050,1.0,0,0,1.0
iscf10kt_r0f4,4,3,2.0,12595,2132,1.0,0,0,1.0
iscf10kt_r0f4,4,4,2.0,13332,2083,1.0,0,0,1.0
iscf10kt_r0f4,4,6,2.0,14268,2183,1.0,0,0,1.0
