rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,4473.2,0,3
0.0,2,5,1.0,0.03008,0.00671,0.05346,-0.01729,-0.04865,0.01406,0.3125,9868.6,4550.4,0,2
0.0,3,5,1.0,0.03187,0.01229,0.05146,-0.03183,-0.04396,-0.0197,0.0625,9860.4,4624.8,0,1
0.0,4,5,1.0,0.06855,0.04787,0.08923,-0.06517,-0.08995,-0.0404,0.0625,10235.8,4751.2,0,3
0.0,6,5,1.0,0.12802,0.09981,0.15622,-0.14958,-0.21408,-0.08508,0.0625,10816.4,5061.2,0,1
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,5198.6,0,3
0.5,2,5,1.0,0.03008,0.00671,0.05346,-0.00544,-0.03914,0.02825,0.625,9868.6,5248.4,0,2
0.5,3,5,1.0,0.03187,0.01229,0.05146,-0.01056,-0.03648,0.01537,0.625,9860.4,5274.6,0,1
0.5,4,5,1.0,0.06855,0.04787,0.08923,-0.02777,-0.04187,-0.01367,0.0625,10235.8,5355.0,0,3
0.5,6,5,1.0,0.12802,0.09981,0.15622,-0.06626,-0.08949,-0.04303,0.0625,10816.4,5513.0,0,1
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,5358.0,0,3
1.0,2,5,1.0,0.03008,0.00671,0.05346,-0.00544,-0.0381,0.02722,0.625,9868.6,5408.8,0,2
1.0,3,5,1.0,0.03187,0.01229,0.05146,-0.00849,-0.04019,0.02321,0.625,9860.4,5417.2,0,1
1.0,4,5,1.0,0.06855,0.04787,0.08923,-0.01971,-0.03365,-0.00578,0.125,10235.8,5482.0,0,3
1.0,6,5,1.0,0.12802,0.09981,0.15622,-0.05096,-0.07634,-0.02557,0.0625,10816.4,5610.6,0,1
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,5420.6,0,3
2.0,2,5,1.0,0.03008,0.00671,0.05346,-0.0038,-0.04613,0.03853,0.625,9868.6,5469.6,0,2
2.0,3,5,1.0,0.03187,0.01229,0.05146,-0.00343,-0.03445,0.02759,0.625,9860.4,5462.6,0,1
2.0,4,5,1.0,0.06855,0.04787,0.08923,-0.01938,-0.04437,0.00561,0.125,10235.8,5556.6,0,3
2.0,6,5,1.0,0.12802,0.09981,0.15622,-0.04684,-0.07216,-0.02152,0.0625,10816.4,5645.0,0,1
