rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,4473.2,0,3
0.0,2,5,1.0,0.03008,0.00671,0.05346,-0.01729,-0.04865,0.01406,0.3125,9868.6,4550.4,0,2
0.0,3,5,1.0,0.03187,0.01229,0.05146,-0.03183,-0.04396,-0.0197,0.0625,9860.4,4624.8,0,1
0.0,4,5,1.0,0.06855,0.04787,0.08923,-0.06517,-0.08995,-0.0404,0.0625,10235.8,4751.2,0,3
0.0,6,5,1.0,0.12802,0.09981,0.15622,-0.14958,-0.21408,-0.08508,0.0625,10816.4,5061.2,0,1
0.25,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,5020.6,0,3
0.25,2,5,1.0,0.03008,0.00671,0.05346,-0.00749,-0.04479,0.02982,0.3125,9868.6,5087.2,0,2
0.25,3,5,1.0,0.03187,0.01229,0.05146,-0.01992,-0.03817,-0.00166,0.125,9860.4,5142.2,0,1
0.25,4,5,1.0,0.06855,0.04787,0.08923,-0.03697,-0.06643,-0.00751,0.125,10235.8,5226.0,0,3
0.25,6,5,1.0,0.12802,0.09981,0.15622,-0.08774,-0.11477,-0.06072,0.0625,10816.4,5429.8,0,1
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,5354.0,0,3
0.5,2,5,1.0,0.03008,0.00671,0.05346,-0.00193,-0.03221,0.02835,0.4375,9868.6,5388.6,0,2
0.5,3,5,1.0,0.03187,0.01229,0.05146,-0.01029,-0.02427,0.00368,0.0625,9860.4,5426.0,0,1
0.5,4,5,1.0,0.06855,0.04787,0.08923,-0.01927,-0.04218,0.00363,0.125,10235.8,5472.6,0,3
0.5,6,5,1.0,0.12802,0.09981,0.15622,-0.05627,-0.07498,-0.03755,0.0625,10816.4,5628.8,0,1
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,5620.2,0,3
1.0,2,5,1.0,0.03008,0.00671,0.05346,-0.00223,-0.03507,0.03061,0.625,9868.6,5653.6,0,2
1.0,3,5,1.0,0.03187,0.01229,0.05146,-0.00732,-0.024,0.00935,0.125,9860.4,5675.8,0,1
1.0,4,5,1.0,0.06855,0.04787,0.08923,-0.01167,-0.03885,0.0155,0.125,10235.8,5702.2,0,3
1.0,6,5,1.0,0.12802,0.09981,0.15622,-0.03099,-0.04392,-0.01806,0.0625,10816.4,5775.2,0,1
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,9554.8,5790.0,0,3
2.0,2,5,1.0,0.03008,0.00671,0.05346,0.00536,-0.02177,0.0325,1.0,9868.6,5792.6,0,2
2.0,3,5,1.0,0.03187,0.01229,0.05146,-0.00197,-0.01794,0.01401,0.625,9860.4,5819.4,0,1
2.0,4,5,1.0,0.06855,0.04787,0.08923,-0.00068,-0.02069,0.01934,0.3125,10235.8,5823.6,0,3
2.0,6,5,1.0,0.12802,0.09981,0.15622,-0.01749,-0.02219,-0.0128,0.0625,10816.4,5890.8,0,1
