tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscf10kt_r0f0,0,1,0.0,1187,8128,1.0,0,8,1.0
iscf10kt_r0f0,0,2,0.0,1209,8206,1.0,0,8,1.0
iscf10kt_r0f0,0,3,0.0,1211,8287,1.0,0,8,1.0
iscf10kt_r0f0,0,4,0.0,1204,8159,1.0,0,8,1.0
iscf10kt_r0f0,0,6,0.0,1224,8177,1.0,0,8,1.0
iscf10kt_r0f0,0,1,0.5,1187,8947,1.0,0,8,1.0
iscf10kt_r0f0,0,2,0.5,1209,8991,1.0,0,8,1.0
iscf10kt_r0f0,0,3,0.5,1211,9004,1.0,0,8,1.0
iscf10kt_r0f0,0,4,0.5,1204,8910,1.0,0,8,1.0
iscf10kt_r0f0,0,6,0.5,1224,9047,1.0,0,8,1.0
iscf10kt_r0f0,0,1,1.0,1187,9135,1.0,0,8,1.0
iscf10kt_r0f0,0,2,1.0,1209,9196,1.0,0,8,1.0
iscf10kt_r0f0,0,3,1.0,1211,9227,1.0,0,8,1.0
iscf10kt_r0f0,0,4,1.0,1204,9042,1.0,0,8,1.0
iscf10kt_r0f0,0,6,1.0,1224,9203,1.0,0,8,1.0
iscf10kt_r0f0,0,1,2.0,1187,9169,1.0,0,8,1.0
iscf10kt_r0f0,0,2,2.0,1209,9292,1.0,0,8,1.0
iscf10kt_r0f0,0,3,2.0,1211,9228,1.0,0,8,1.0
iscf10kt_r0f0,0,4,2.0,1204,9195,1.0,0,8,1.0
iscf10kt_r0f0,0,6,2.0,1224,9301,1.0,0,8,1.0
iscf10kt_r0f1,1,1,0.0,1177,6319,1.0,0,8,1.0
iscf10kt_r0f1,1,2,0.0,1195,6408,1.0,0,8,1.0
iscf10kt_r0f1,1,3,0.0,1205,6477,1.0,0,8,1.0
iscf10kt_r0f1,1,4,0.0,1210,6436,1.0,0,8,1.0
iscf10kt_r0f1,1,6,0.0,1255,6746,1.0,0,8,1.0
iscf10kt_r0f1,1,1,0.5,1177,7052,1.0,0,8,1.0
