tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscf10kt_r0f0,0,1,0.0,1187,8128,1.0,0,8,1.0
iscf10kt_r0f0,0,2,0.0,1209,8206,1.0,0,8,1.0
iscf10kt_r0f0,0,3,0.0,1211,8287,1.0,0,8,1.0
iscf10kt_r0f0,0,4,0.0,1204,8159,1.0,0,8,1.0
iscf10kt_r0f0,0,6,0.0,1224,8177,1.0,0,8,1.0
iscf10kt_r0f0,0,1,0.25,1187,8726,1.0,0,8,1.0
iscf10kt_r0f0,0,2,0.25,1209,8799,1.0,0,8,1.0
iscf10kt_r0f0,0,3,0.25,1211,8853,1.0,0,8,1.0
iscf10kt_r0f0,0,4,0.25,1204,8745,1.0,0,8,1.0
iscf10kt_r0f0,0,6,0.25,1224,8778,1.0,0,8,1.0
iscf10kt_r0f0,0,1,0.5,1187,9095,1.0,0,8,1.0
iscf10kt_r0f0,0,2,0.5,1209,9126,1.0,0,8,1.0
iscf10kt_r0f0,0,3,0.5,1211,9158,1.0,0,8,1.0
iscf10kt_r0f0,0,4,0.5,1204,9086,1.0,0,8,1.0
iscf10kt_r0f0,0,6,0.5,1224,9162,1.0,0,8,1.0
iscf10kt_r0f0,0,1,1.0,1187,9375,1.0,0,8,1.0
iscf10kt_r0f0,0,2,1.0,1209,9402,1.0,0,8,1.0
iscf10kt_r0f0,0,3,1.0,1211,9360,1.0,0,8,1.0
iscf10kt_r0f0,0,4,1.0,1204,9332,1.0,0,8,1.0
iscf10kt_r0f0,0,6,1.0,1224,9398,1.0,0,8,1.0
iscf10kt_r0f0,0,1,2.0,1187,9574,1.0,0,8,1.0
iscf10kt_r0f0,0,2,2.0,1209,9601,1.0,0,8,1.0
iscf10kt_r0f0,0,3,2.0,1211,9521,1.0,0,8,1.0
iscf10kt_r0f0,0,4,2.0,1204,9512,1.0,0,8,1.0
iscf10kt_r0f0,0,6,2.0,1224,9621,1.0,0,8,1.0
iscf10kt_r0f1,1,1,0.0,1177,6319,1.0,0,8,1.0
