rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,4825.8,0,32
0.0,2,5,1.0,0.02357,0.00152,0.04563,-0.04495,-0.13406,0.04416,0.125,1208.0,4945.0,0,33
0.0,3,5,1.0,0.01967,-0.00238,0.04171,-0.02795,-0.11727,0.06138,0.3125,1203.4,4895.8,0,33
0.0,4,5,1.0,0.01745,-0.01923,0.05413,-0.03037,-0.14594,0.0852,0.8125,1200.6,4867.4,0,32
0.0,6,5,1.0,0.05185,0.03106,0.07265,-0.05895,-0.12846,0.01057,0.125,1241.6,5047.6,0,32
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,5380.0,0,32
0.5,2,5,1.0,0.02357,0.00152,0.04563,-0.02636,-0.08942,0.03669,0.1875,1208.0,5456.4,0,33
0.5,3,5,1.0,0.01967,-0.00238,0.04171,-0.01216,-0.06011,0.03579,0.625,1203.4,5408.8,0,33
0.5,4,5,1.0,0.01745,-0.01923,0.05413,-0.01451,-0.08772,0.05869,1.0,1200.6,5391.0,0,32
0.5,6,5,1.0,0.05185,0.03106,0.07265,-0.03377,-0.08167,0.01414,0.125,1241.6,5538.2,0,32
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,5507.8,0,32
1.0,2,5,1.0,0.02357,0.00152,0.04563,-0.02619,-0.10423,0.05185,0.4375,1208.0,5573.2,0,33
1.0,3,5,1.0,0.01967,-0.00238,0.04171,-0.01113,-0.05847,0.03621,0.625,1203.4,5534.2,0,33
1.0,4,5,1.0,0.01745,-0.01923,0.05413,-0.00901,-0.08393,0.06591,0.8125,1200.6,5485.2,0,32
1.0,6,5,1.0,0.05185,0.03106,0.07265,-0.02946,-0.08517,0.02626,0.1875,1241.6,5641.2,0,32
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,5549.6,0,32
2.0,2,5,1.0,0.02357,0.00152,0.04563,-0.0262,-0.09932,0.04692,0.4375,1208.0,5624.8,0,33
2.0,3,5,1.0,0.01967,-0.00238,0.04171,-0.01259,-0.05795,0.03277,0.625,1203.4,5576.6,0,33
2.0,4,5,1.0,0.01745,-0.01923,0.05413,-0.01128,-0.08854,0.06598,1.0,1200.6,5543.2,0,32
2.0,6,5,1.0,0.05185,0.03106,0.07265,-0.02777,-0.07662,0.02109,0.125,1241.6,5679.4,0,32
