rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,4825.8,0,32
0.0,2,5,1.0,0.02357,0.00152,0.04563,-0.04495,-0.13406,0.04416,0.125,1208.0,4945.0,0,33
0.0,3,5,1.0,0.01967,-0.00238,0.04171,-0.02795,-0.11727,0.06138,0.3125,1203.4,4895.8,0,33
0.0,4,5,1.0,0.01745,-0.01923,0.05413,-0.03037,-0.14594,0.0852,0.8125,1200.6,4867.4,0,32
0.0,6,5,1.0,0.05185,0.03106,0.07265,-0.05895,-0.12846,0.01057,0.125,1241.6,5047.6,0,32
0.25,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,5240.0,0,32
0.25,2,5,1.0,0.02357,0.00152,0.04563,-0.03265,-0.09325,0.02795,0.0625,1208.0,5337.6,0,33
0.25,3,5,1.0,0.01967,-0.00238,0.04171,-0.01982,-0.06833,0.02869,0.3125,1203.4,5304.0,0,33
0.25,4,5,1.0,0.01745,-0.01923,0.05413,-0.02123,-0.09851,0.05605,0.625,1200.6,5276.2,0,32
0.25,6,5,1.0,0.05185,0.03106,0.07265,-0.04055,-0.08228,0.00118,0.0625,1241.6,5409.0,0,32
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,5480.4,0,32
0.5,2,5,1.0,0.02357,0.00152,0.04563,-0.02337,-0.07892,0.03219,0.375,1208.0,5540.6,0,33
0.5,3,5,1.0,0.01967,-0.00238,0.04171,-0.01532,-0.04882,0.01818,0.1875,1203.4,5526.0,0,33
0.5,4,5,1.0,0.01745,-0.01923,0.05413,-0.01624,-0.08017,0.04769,1.0,1200.6,5501.6,0,32
0.5,6,5,1.0,0.05185,0.03106,0.07265,-0.02824,-0.06464,0.00817,0.125,1241.6,5605.4,0,32
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,5692.2,0,32
1.0,2,5,1.0,0.02357,0.00152,0.04563,-0.01754,-0.05128,0.01619,0.0625,1208.0,5744.2,0,33
1.0,3,5,1.0,0.01967,-0.00238,0.04171,-0.00956,-0.03652,0.0174,0.4375,1203.4,5713.6,0,33
1.0,4,5,1.0,0.01745,-0.01923,0.05413,-0.01043,-0.06731,0.04645,0.625,1200.6,5687.6,0,32
1.0,6,5,1.0,0.05185,0.03106,0.07265,-0.0125,-0.03743,0.01243,0.1875,1241.6,5750.6,0,32
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1180.4,5803.6,0,32
2.0,2,5,1.0,0.02357,0.00152,0.04563,-0.01846,-0.06711,0.03018,0.3125,1208.0,5846.8,0,33
2.0,3,5,1.0,0.01967,-0.00238,0.04171,-0.0105,-0.03951,0.01851,0.625,1203.4,5820.6,0,33
2.0,4,5,1.0,0.01745,-0.01923,0.05413,-0.01371,-0.07072,0.04329,0.5625,1200.6,5809.8,0,32
2.0,6,5,1.0,0.05185,0.03106,0.07265,-0.01793,-0.05209,0.01623,0.1875,1241.6,5873.2,0,32
