tag,repeat,fold,k,N_train_visits,V_test_visits,test_mean_per_order,coverage_kappa,cap_broken,wl_broken,max_workload,workload_std,c_bar
iscf10kt_r0f0,0,0,1,6841,7497,1.4994,1.0,0,2,2464.0,520.1100845013486,1.0
iscf10kt_r0f0,0,0,2,6855,7479,1.4958,1.0,0,2,2417.0,555.9368219501205,1.0473919953763906
iscf10kt_r0f0,0,0,3,6994,7715,1.543,1.0,0,1,2566.0,501.34369448513064,1.2592833405577228
iscf10kt_r0f0,0,0,4,7118,7838,1.5676,1.0,0,2,2179.0,431.2974611564506,1.385637913596301
iscf10kt_r0f0,0,0,6,7576,8163,1.6326,1.0,0,1,2458.0,402.28223923012064,2.0428406299667676
iscf10kt_r0f1,0,1,1,8126,5932,1.483,1.0,0,1,2263.0,559.7213592494037,1.0
iscf10kt_r0f1,0,1,2,8287,6057,1.51425,1.0,0,0,2051.0,448.9529485369263,1.1171826432923038
iscf10kt_r0f1,0,1,3,8514,6193,1.54825,1.0,0,0,2090.0,369.04877726392755,1.3075966679099837
iscf10kt_r0f1,0,1,4,8677,6291,1.57275,1.0,0,1,2213.0,467.0789547817371,1.491296779808529
iscf10kt_r0f1,0,1,6,8987,6552,1.638,1.0,0,0,1922.0,400.4915729450496,2.244249658087778
iscf10kt_r0f2,0,2,1,9533,4340,1.4466666666666668,1.0,0,0,2195.0,501.6604304706521,1.0
iscf10kt_r0f2,0,2,2,9986,4599,1.533,1.0,0,0,1696.0,386.9030078714819,1.2043279686820356
iscf10kt_r0f2,0,2,3,9686,4487,1.4956666666666667,1.0,0,0,2104.0,516.9474707356638,1.1161918225315355
iscf10kt_r0f2,0,2,4,10235,4669,1.5563333333333333,1.0,0,0,1939.0,422.5727008456651,1.5333297085689432
iscf10kt_r0f2,0,2,6,10735,5210,1.7366666666666666,1.0,0,0,1784.0,397.1881638468095,2.3024684645498046
iscf10kt_r0f3,0,3,1,10965,2975,1.4875,1.0,0,0,1353.0,402.6868937214123,1.0
iscf10kt_r0f3,0,3,2,11426,2990,1.495,1.0,0,0,1658.0,400.1746298492697,1.2092843700236453
iscf10kt_r0f3,0,3,3,11513,3079,1.5395,1.0,0,0,1516.0,433.2464476195968,1.2371760845437438
iscf10kt_r0f3,0,3,4,11817,3255,1.6275,1.0,0,0,1249.0,367.17091983843164,1.6415094339622645
iscf10kt_r0f3,0,3,6,12516,3436,1.718,1.0,0,0,1182.0,335.7897174944462,2.3998938377648025
iscf10kt_r0f4,0,4,1,12309,1622,1.622,1.0,0,0,931.0,267.99242060177744,1.0
iscf10kt_r0f4,0,4,2,12789,1627,1.627,1.0,0,0,1043.0,341.2809509773436,1.22293410041841
iscf10kt_r0f4,0,4,3,12595,1650,1.65,1.0,0,0,895.0,275.21343989710965,1.2014034170153418
iscf10kt_r0f4,0,4,4,13332,1703,1.703,1.0,0,0,1010.0,294.47272793927795,1.7472541841004186
iscf10kt_r0f4,0,4,6,14268,1945,1.945,1.0,0,0,803.0,230.54215991874457,2.5617154811715483
