ORDER;PRODUCT;QTY;STATION
1;PROD_315;1;1
1;PROD_573;1;1
1;PROD_578;1;1
2;PROD_290;1;1
2;PROD_301;1;1
2;PROD_578;1;1
3;PROD_34;1;1
3;PROD_359;1;1
3;PROD_44;1;1
4;PROD_170;1;1
4;PROD_172;1;1
4;PROD_315;1;1
5;PROD_452;1;1
5;PROD_572;1;1
5;PROD_578;1;1
6;PROD_351;1;1
6;PROD_353;1;1
6;PROD_355;1;1
6;PROD_701;1;1
7;PROD_540;1;1
7;PROD_543;1;1
7;PROD_544;1;1
7;PROD_545;1;1
7;PROD_548;1;1
8;PROD_472;1;1
8;PROD_476;1;1
8;PROD_479;1;1
9;PROD_578;1;1
9;PROD_622;1;1
9;PROD_626;1;1
9;PROD_628;1;1
10;PROD_622;1;1
10;PROD_626;1;1
10;PROD_628;1;1
11;PROD_204;1;1
11;PROD_530;1;1
11;PROD_536;1;1
11;PROD_537;1;1
11;PROD_539;1;1
12;PROD_270;1;1
12;PROD_273;1;1
12;PROD_277;1;1
12;PROD_359;1;1
12;PROD_578;1;1
13;PROD_44;1;1
13;PROD_49;1;1
14;PROD_44;1;1
14;PROD_578;1;1
15;PROD_340;1;1
15;PROD_346;1;1
15;PROD_349;1;1
15;PROD_675;1;1
16;PROD_340;1;1
16;PROD_40;1;1
16;PROD_44;1;1
17;PROD_330;1;1
17;PROD_331;1;1
17;PROD_338;1;1
17;PROD_339;1;1
18;PROD_172;1;1
18;PROD_578;1;1
19;PROD_315;1;1
19;PROD_44;1;1
19;PROD_578;1;1
19;PROD_782;1;1
20;PROD_402;1;1
20;PROD_404;1;1
20;PROD_408;1;1
21;PROD_103;1;1
21;PROD_570;1;1
21;PROD_578;1;1
22;PROD_232;1;1
22;PROD_622;1;1
22;PROD_628;1;1
23;PROD_315;1;1
23;PROD_316;1;1
23;PROD_317;1;1
23;PROD_707;1;1
24;PROD_44;1;1
24;PROD_548;1;1
24;PROD_622;1;1
25;PROD_40;1;1
25;PROD_44;1;1
26;PROD_353;1;1
26;PROD_355;1;1
26;PROD_356;1;1
27;PROD_241;1;1
27;PROD_242;1;1
27;PROD_244;1;1
27;PROD_248;1;1
28;PROD_578;1;1
28;PROD_701;1;1
28;PROD_702;1;1
28;PROD_707;1;1
29;PROD_102;1;1
29;PROD_103;1;1
29;PROD_106;1;1
30;PROD_113;1;1
30;PROD_172;1;1
30;PROD_340;1;1
30;PROD_578;1;1
30;PROD_647;1;1
31;PROD_552;1;1
31;PROD_578;1;1
32;PROD_340;1;1
32;PROD_43;1;1
32;PROD_44;1;1
33;PROD_713;1;1
33;PROD_717;1;1
33;PROD_719;1;1
34;PROD_44;1;1
34;PROD_578;1;1
35;PROD_180;1;1
