tag,objective,K,num_patterns,n_size1,n_size2,n_size3,n_size4,n_size5,n_size6,n_size7,n_size8,n_size9,n_size10,total_hits,pi,c_bar,int_optimal
aff_combine_a0.0_r0,minsum,10,411,288,47,10,12,22,14,8,5,0,5,2865,5,4.0209,True
aff_combine_a0.5_r0,minsum,10,411,288,47,10,12,22,14,8,5,0,5,2865,5,4.0209,True
aff_combine_a1.0_r0,minsum,10,411,288,47,10,12,22,14,8,5,0,5,2865,5,4.021,True
aff_reassign_a0.0_r0,minsum,10,411,288,47,10,12,22,14,8,5,0,5,2865,5,4.021,True
aff_reassign_a0.5_r0,minsum,10,411,288,47,10,12,22,14,8,5,0,5,2865,5,4.021,True
aff_reassign_a1.0_r0,minsum,10,411,288,47,10,12,22,14,8,5,0,5,2865,5,4.021,True
aff_combine_a0.0_r1,minsum,10,404,290,40,8,9,22,14,6,7,2,6,2668,5,3.7932,True
aff_combine_a0.5_r1,minsum,10,400,286,39,8,9,22,15,6,7,2,6,2668,5,3.8337,True
aff_combine_a1.0_r1,minsum,10,404,290,40,8,9,22,14,6,7,2,6,2668,5,3.7932,True
aff_reassign_a0.0_r1,minsum,10,400,286,39,8,9,22,15,6,7,2,6,2668,5,3.8337,True
aff_reassign_a0.5_r1,minsum,10,403,288,41,8,9,22,14,6,7,2,6,2668,5,3.7995,True
aff_reassign_a1.0_r1,minsum,10,403,288,41,8,9,22,14,6,7,2,6,2668,5,3.7995,True
aff_combine_a0.0_r2,minsum,10,366,247,42,10,12,10,14,13,6,2,10,2742,5,4.3557,True
aff_combine_a0.5_r2,minsum,10,366,247,42,10,12,10,14,13,6,2,10,2742,5,4.3557,True
aff_combine_a1.0_r2,minsum,10,366,247,42,10,12,10,14,13,6,2,10,2742,5,4.3557,True
aff_reassign_a0.0_r2,minsum,10,366,247,42,10,12,10,14,13,6,2,10,2742,5,4.3557,True
aff_reassign_a0.5_r2,minsum,10,366,247,42,10,12,10,14,13,6,2,10,2742,5,4.3557,True
aff_reassign_a1.0_r2,minsum,10,366,247,42,10,12,10,14,13,6,2,10,2742,5,4.3557,True
