tag,repeat,fold,k,N_train_visits,V_test_visits,test_mean_per_order,coverage_kappa,cap_broken,wl_broken,max_workload,workload_std,c_bar
aff_combine_a0.0_r0,0,0,1,3555,7497,2.05679012345679,0.9995868451495621,0,8,1784.0,234.98267888293384,1.0
aff_combine_a0.0_r0,0,0,10,3892,7982,2.189849108367627,0.9995868451495621,0,8,1773.0,269.7681585639788,4.020884722907416
aff_combine_a0.5_r0,0,1,1,3555,11908,3.0478628103404146,0.9998122330188236,0,8,3075.0,382.3823144118985,1.0
aff_combine_a0.5_r0,0,1,10,3892,12436,3.1830048630662913,0.9998122330188236,0,8,3082.0,514.3989058843341,4.020884722907416
aff_combine_a1.0_r0,0,2,1,3555,15528,3.895634721525339,0.9995926680244399,0,8,4306.0,525.4750231933008,1.0
aff_combine_a1.0_r0,0,2,10,4007,16281,4.084545910687406,0.9995926680244399,0,8,4274.0,618.170890611973,4.021049169544483
aff_reassign_a0.0_r0,0,3,1,3555,7575,2.0736381056665754,0.9997538360548125,0,8,1830.0,259.2513259368214,1.0
aff_reassign_a0.0_r0,0,3,10,4007,8243,2.256501505611826,0.9997538360548125,0,8,1832.0,269.6423557232802,4.021049169544483
aff_reassign_a0.5_r0,0,4,1,3555,10611,2.773392577104025,0.999845009299442,0,8,2077.0,298.11354799807407,1.0
aff_reassign_a0.5_r0,0,4,10,4007,10526,2.7511761630946157,0.999845009299442,0,8,2094.0,336.53965219569596,4.021049169544483
aff_reassign_a1.0_r0,0,5,1,3555,10528,2.8835935360175293,0.9998330411553552,0,8,1920.0,184.37152539098872,1.0
aff_reassign_a1.0_r0,0,5,10,4007,10488,2.8726376335250614,0.9998330411553552,0,8,1971.0,251.45249924190455,4.021049169544483
aff_combine_a0.0_r1,1,6,1,0,0,0.0,0.0,0,0,0.0,0.0,1.0
aff_combine_a0.0_r1,1,6,10,0,0,0.0,0.0,0,0,0.0,0.0,3.7932444713723115
aff_combine_a0.5_r1,1,7,1,0,0,0.0,0.0,0,0,0.0,0.0,1.0
aff_combine_a0.5_r1,1,7,10,0,0,0.0,0.0,0,0,0.0,0.0,3.8336867615873977
aff_combine_a1.0_r1,1,8,1,0,0,0.0,0.0,0,0,0.0,0.0,1.0
aff_combine_a1.0_r1,1,8,10,0,0,0.0,0.0,0,0,0.0,0.0,3.7932444713723115
aff_reassign_a0.0_r1,1,9,1,0,0,0.0,0.0,0,0,0.0,0.0,1.0
aff_reassign_a0.0_r1,1,9,10,0,0,0.0,0.0,0,0,0.0,0.0,3.8336867615873977
aff_reassign_a0.5_r1,1,10,1,0,0,0.0,0.0,0,0,0.0,0.0,1.0
aff_reassign_a0.5_r1,1,10,10,0,0,0.0,0.0,0,0,0.0,0.0,3.799454710693729
aff_reassign_a1.0_r1,1,11,1,0,0,0.0,0.0,0,0,0.0,0.0,1.0
aff_reassign_a1.0_r1,1,11,10,0,0,0.0,0.0,0,0,0.0,0.0,3.799454710693729
aff_combine_a0.0_r2,2,12,1,3601,7705,2.109802847754655,0.9999173075332837,0,8,1879.0,281.3365422407832,1.0
aff_combine_a0.0_r2,2,12,10,3984,8419,2.3053121577217963,0.9999173075332837,0,7,1878.0,342.2586741048355,4.355731892621982
aff_combine_a0.5_r2,2,13,1,3602,12003,3.0666836995401123,0.9995766498894586,0,8,3039.0,355.6559960130013,1.0
aff_combine_a0.5_r2,2,13,10,4003,12712,3.247828308635667,0.9995766498894586,0,8,3131.0,623.3587951573315,4.355731892621982
aff_combine_a1.0_r2,2,14,1,3602,15731,3.9515197186636524,0.9997947805862435,0,8,4280.0,550.6499426813735,1.0
aff_combine_a1.0_r2,2,14,10,3984,16304,4.09545340366742,0.9997947805862435,0,8,4160.0,818.8037673185194,4.355731892621982
aff_reassign_a0.0_r2,2,15,1,3602,7697,2.1070353134410076,0.9992501874531368,0,8,1863.0,264.3897454516722,1.0
aff_reassign_a0.0_r2,2,15,10,4002,8345,2.284423761292089,0.9992501874531368,0,8,1855.0,272.4062912269098,4.355731892621982
aff_reassign_a0.5_r2,2,16,1,3602,10172,2.750676041103299,0.9997557798762619,0,8,2022.0,293.9495864514866,1.0
aff_reassign_a0.5_r2,2,16,10,3997,10176,2.7517577068685775,0.9997557798762619,0,7,2103.0,431.00389716915555,4.355731892621982
aff_reassign_a1.0_r2,2,17,1,3602,10806,2.911883589329022,0.9998382138812489,0,8,1955.0,251.12646216597724,1.0
aff_reassign_a1.0_r2,2,17,10,3984,10459,2.8183777957423874,0.9998382138812489,0,8,1969.0,382.3672972418013,4.355731892621982
