PRODUCT_ID;REAL_LINES;VOLUME;FREQUENCY
40643;540;5100000;2.638461538
60579;3902;2193750;18.18461538
202341;338;1463000;1.546153846
202928;444;26366250;4.015384615
203857;387;10350000;1.830769231
203859;427;10080000;1.996153846
213950;3569;176000;31.97307692
216703;603;531250;2.85
220929;342;1666000;1.742307692
225386;1168;1102500;5.861538462
226976;307;156000;1.95
229138;3602;384420;16.56153846
236120;4057;24000;19.89230769
237311;333;2140000;1.611538462
251834;156;1440000;1.592307692
259768;2905;3176250;14.40769231
260347;394;1392020;1.865384615
260349;401;1377585;1.915384615
260350;561;1846845;2.673076923
260352;344;1846845;1.607692308
260354;336;1423520;1.565384615
282299;3029;434600;15.10384615
282301;2492;424000;12.39230769
282302;923;274176;4.938461538
282306;357;400000;2.030769231
282309;347;600000;1.688461538
282311;1186;1080000;5.684615385
282341;554;312500;2.676923077
283507;2435;15834000;12.03846154
285709;590;1904000;2.911538462
286800;499;4244520;2.330769231
288312;706;1320000;3.365384615
302754;312;512000;1.626923077
304938;327;654500;1.596153846
304983;411;126000;2.057692308
304984;582;344250;2.934615385
305542;1563;96148;7.692307692
312361;2024;2204000;9.803846154
312363;877;2850000;4.2
312371;727;1144800;3.473076923
312373;430;3180000;2.046153846
315673;405;263670;1.996153846
332073;334;1522384;1.630769231
336548;2692;80500;12.28076923
336549;3424;90625;15.62307692
336550;472;82500;2.180769231
336551;3004;93750;13.73076923
337111;1445;225000;7.080769231
339782;355;600600;1.688461538
340230;412;3131100;1.996153846
340232;1023;3360000;5.007692308
360486;416;1193500;1.957692308
365814;474;3390660;2.265384615
365944;178;14742000;1.830769231
369639;344;7482000;1.623076923
369658;670;2620800;3.134615385
369659;476;5398830;2.273076923
369675;739;2382600;3.673076923
369676;366;3582000;1.792307692
369685;1875;1625000;18.05384615
370598;752;1920000;3.542307692
373105;272;31600000;1.707692308
375956;604;1009470;3.015384615
375982;1051;1638000;5.015384615
376894;347;923000;1.738461538
376957;1135;777600;5.396153846
376959;365;807300;1.869230769
378544;347;1827000;1.642307692
380919;790;266800;3.669230769
382390;391;1312500;2.003846154
382520;434;25935000;3.719230769
382941;486;1552500;2.338461538
386052;390;39105000;4.992307692
386229;326;3028125;1.538461538
386231;1085;13167000;5.015384615
386232;519;12996000;2.453846154
405032;1639;24122340;16.99615385
405033;304;7032375;2.657692308
408428;545;1270500;2.796153846
409176;744;250000;3.534615385
409177;572;300000;2.773076923
409178;463;350000;2.173076923
409179;341;400000;1.634615385
409188;698;250000;3.326923077
409189;732;300000;3.55
409190;695;350000;3.276923077
409191;452;400000;2.134615385
409192;405;550000;1.988461538
409197;592;275625;2.792307692
409198;658;337500;3.207692308
409199;687;393750;3.323076923
409200;384;356000;1.784615385
409201;488;618750;2.407692308
409205;444;281250;2.065384615
409206;691;337500;3.369230769
409207;855;371250;4.05
409209;634;618750;3.069230769
409214;323;281250;1.557692308
409215;532;337500;2.55
409216;715;393750;3.423076923
409217;655;618750;3.126923077
409279;298;22572000;1.603846154
410338;362;1592500;1.796153846
411214;4215;323575;22.23076923
411215;305;906500;1.557692308
411216;577;906500;2.85
411287;1547;8352000;26.41153846
413430;464;2099500;2.296153846
414475;457;439470;2.196153846
416472;966;4260750;4.607692308
416473;2816;4260750;13.35769231
416474;1342;4260750;6.569230769
