tag,repeat,fold,k,N_train_visits,V_test_visits,test_mean_per_order,coverage_kappa,cap_broken,wl_broken,max_workload,workload_std,c_bar
iscf480_r0f0,0,0,1,349951,87793,1.4232932898853816,1.0,0,0,19466.0,2312.612686443625,1.0
iscf480_r0f0,0,0,2,368280,92308,1.4964901188333901,1.0,0,0,19436.0,2120.8685573368284,1.5719738296623564
iscf480_r0f1,0,1,1,351926,87998,1.426616733946144,1.0,0,0,19060.0,1814.9702476900275,1.0
iscf480_r0f1,0,1,2,380193,94961,1.5395003485563283,1.0,0,0,18975.0,2004.9922693117796,1.6364864281551932
iscf480_r0f2,0,2,1,351073,87605,1.420245448502829,1.0,0,0,19182.0,2515.0732096700485,1.0
iscf480_r0f2,0,2,2,380104,95049,1.540926997714119,1.0,0,0,19198.0,2024.3678025497245,1.6197176258992807
iscf480_r0f3,0,3,1,352905,88162,1.429275489194754,1.0,0,0,19323.0,2959.6155578047633,1.0
iscf480_r0f3,0,3,2,379997,95043,1.5408297261806332,1.0,0,0,19170.0,2223.2823145070893,1.6822087853586947
iscf480_r0f4,0,4,1,351704,87911,1.425206296710601,1.0,0,0,19122.0,1727.6965698582608,1.0
iscf480_r0f4,0,4,2,368804,92163,1.494139390107485,1.0,0,0,19090.0,1916.6059682417772,1.6617913240612463
