tag,repeat,fold,k,N_train_visits,V_test_visits,test_mean_per_order,coverage_kappa,cap_broken,wl_broken,max_workload,workload_std,c_bar
iscf480_r0f0,0,0,1,208184,220053,1.4269882236978626,1.0,0,4,86019.0,17941.8363608634,1.0
iscf480_r0f0,0,0,2,214806,226282,1.4673817181987965,1.0,0,2,77336.0,17294.518098229855,1.3273551163918524
iscf480_r0f1,0,1,1,246383,173170,1.4037092878102557,1.0,0,2,78774.0,20455.609876938404,1.0
iscf480_r0f1,0,1,2,266576,190516,1.5443152894638716,1.0,0,1,70691.0,16750.66523865545,1.6344390951658643
iscf480_r0f2,0,2,1,291950,132151,1.428273439610916,1.0,0,1,72077.0,20564.314682463286,1.0
iscf480_r0f2,0,2,2,298907,141517,1.529500135098622,1.0,0,0,63340.0,16994.17247498021,1.3358381190313962
iscf480_r0f3,0,3,1,334286,92616,1.5014833908856573,1.0,0,0,56848.0,16291.42062894992,1.0
iscf480_r0f3,0,3,2,358178,100171,1.6239644634664332,1.0,0,0,49404.0,14780.898268013856,1.6704185911532976
iscf480_r0f4,0,4,1,385388,47950,1.554698138901498,1.0,0,0,27503.0,8533.896471388378,1.0
iscf480_r0f4,0,4,2,403393,51331,1.6643213799364502,1.0,0,0,21777.0,7755.153736991614,1.5714330163481802
