tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscfco_r0f0,0,1,0.0,12833,12998,1.0,0,3,1.0
iscfco_r0f0,0,10,0.0,14672,14969,1.0,0,2,1.0
iscfco_r0f0,0,1,0.5,12833,13005,1.0,0,3,1.0
iscfco_r0f0,0,10,0.5,14672,14875,1.0,0,4,1.0
iscfco_r0f0,0,1,1.0,12833,12428,1.0,0,2,1.0
iscfco_r0f0,0,10,1.0,14672,14430,1.0,0,2,1.0
iscfco_r0f0,0,1,2.0,12833,10707,1.0,0,2,1.0
iscfco_r0f0,0,10,2.0,14672,11802,1.0,0,2,1.0
iscfco_r0f1,1,1,0.0,15412,10330,1.0,0,3,1.0
iscfco_r0f1,1,10,0.0,15294,10200,1.0,0,1,1.0
iscfco_r0f1,1,1,0.5,15412,10190,1.0,0,2,1.0
iscfco_r0f1,1,10,0.5,15294,10027,1.0,0,2,1.0
iscfco_r0f1,1,1,1.0,15412,9791,1.0,0,2,1.0
iscfco_r0f1,1,10,1.0,15294,9625,1.0,0,2,1.0
iscfco_r0f1,1,1,2.0,15412,8312,1.0,0,1,1.0
iscfco_r0f1,1,10,2.0,15294,8287,1.0,0,3,1.0
iscfco_r0f2,2,1,0.0,18046,7940,1.0,0,2,1.0
iscfco_r0f2,2,10,0.0,18171,7943,1.0,0,2,1.0
iscfco_r0f2,2,1,0.5,18046,7742,1.0,0,3,1.0
iscfco_r0f2,2,10,0.5,18171,7816,1.0,0,4,1.0
iscfco_r0f2,2,1,1.0,18046,7422,1.0,0,2,1.0
iscfco_r0f2,2,10,1.0,18171,7435,1.0,0,2,1.0
iscfco_r0f2,2,1,2.0,18046,6455,1.0,0,3,1.0
iscfco_r0f2,2,10,2.0,18171,6520,1.0,0,3,1.0
iscfco_r0f3,3,1,0.0,20506,5131,1.0,0,2,1.0
iscfco_r0f3,3,10,0.0,20553,5246,1.0,0,1,1.0
iscfco_r0f3,3,1,0.5,20506,5020,1.0,0,1,1.0
iscfco_r0f3,3,10,0.5,20553,5133,1.0,0,2,1.0
iscfco_r0f3,3,1,1.0,20506,4782,1.0,0,2,1.0
iscfco_r0f3,3,10,1.0,20553,4840,1.0,0,1,1.0
iscfco_r0f3,3,1,2.0,20506,4204,1.0,0,4,1.0
iscfco_r0f3,3,10,2.0,20553,4266,1.0,0,4,1.0
iscfco_r0f4,4,1,0.0,23401,2709,1.0,0,3,1.0
iscfco_r0f4,4,10,0.0,23315,2690,1.0,0,3,1.0
iscfco_r0f4,4,1,0.5,23401,2564,1.0,0,2,1.0
iscfco_r0f4,4,10,0.5,23315,2565,1.0,0,2,1.0
iscfco_r0f4,4,1,1.0,23401,2440,1.0,0,3,1.0
iscfco_r0f4,4,10,1.0,23315,2416,1.0,0,4,1.0
iscfco_r0f4,4,1,2.0,23401,2213,1.0,0,3,1.0
iscfco_r0f4,4,10,2.0,23315,2248,1.0,0,4,1.0
