tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscfco_r0f0,0,1,0.0,12833,13032,1.0,0,0,1.0
iscfco_r0f0,0,10,0.0,14672,15004,1.0,0,0,1.0
iscfco_r0f0,0,1,0.5,12833,16921,1.0,0,0,1.0
iscfco_r0f0,0,10,0.5,14672,17703,1.0,0,0,1.0
iscfco_r0f0,0,1,1.0,12833,17637,1.0,0,0,1.0
iscfco_r0f0,0,10,1.0,14672,18314,1.0,0,0,1.0
iscfco_r0f0,0,1,2.0,12833,17950,1.0,0,0,1.0
iscfco_r0f0,0,10,2.0,14672,18533,1.0,0,0,1.0
iscfco_r0f1,1,1,0.0,15412,10415,1.0,0,0,1.0
iscfco_r0f1,1,10,0.0,15294,10250,1.0,0,0,1.0
iscfco_r0f1,1,1,0.5,15412,13454,1.0,0,0,1.0
iscfco_r0f1,1,10,0.5,15294,13144,1.0,0,0,1.0
iscfco_r0f1,1,1,1.0,15412,14041,1.0,0,0,1.0
iscfco_r0f1,1,10,1.0,15294,13700,1.0,0,0,1.0
iscfco_r0f1,1,1,2.0,15412,14278,1.0,0,0,1.0
iscfco_r0f1,1,10,2.0,15294,13977,1.0,0,0,1.0
iscfco_r0f2,2,1,0.0,18046,7893,1.0,0,0,1.0
iscfco_r0f2,2,10,0.0,18171,7931,1.0,0,0,1.0
iscfco_r0f2,2,1,0.5,18046,9931,1.0,0,0,1.0
iscfco_r0f2,2,10,0.5,18171,10016,1.0,0,0,1.0
iscfco_r0f2,2,1,1.0,18046,10436,1.0,0,0,1.0
iscfco_r0f2,2,10,1.0,18171,10482,1.0,0,0,1.0
iscfco_r0f2,2,1,2.0,18046,10538,1.0,0,0,1.0
iscfco_r0f2,2,10,2.0,18171,10608,1.0,0,0,1.0
iscfco_r0f3,3,1,0.0,20506,5161,1.0,0,0,1.0
iscfco_r0f3,3,10,0.0,20553,5247,1.0,0,0,1.0
iscfco_r0f3,3,1,0.5,20506,6604,1.0,0,0,1.0
iscfco_r0f3,3,10,0.5,20553,6738,1.0,0,0,1.0
iscfco_r0f3,3,1,1.0,20506,6900,1.0,0,0,1.0
iscfco_r0f3,3,10,1.0,20553,7073,1.0,0,0,1.0
iscfco_r0f3,3,1,2.0,20506,6984,1.0,0,0,1.0
iscfco_r0f3,3,10,2.0,20553,7079,1.0,0,0,1.0
iscfco_r0f4,4,1,0.0,23401,2617,1.0,0,0,1.0
iscfco_r0f4,4,10,0.0,23315,2618,1.0,0,0,1.0
iscfco_r0f4,4,1,0.5,23401,3305,1.0,0,0,1.0
iscfco_r0f4,4,10,0.5,23315,3333,1.0,0,0,1.0
iscfco_r0f4,4,1,1.0,23401,3431,1.0,0,0,1.0
iscfco_r0f4,4,10,1.0,23315,3459,1.0,0,0,1.0
iscfco_r0f4,4,1,2.0,23401,3463,1.0,0,0,1.0
iscfco_r0f4,4,10,2.0,23315,3494,1.0,0,0,1.0
