tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscfco_r0f0,0,1,0.0,12833,12998,1.0,0,3,1.0
iscfco_r0f0,0,10,0.0,14170,14352,1.0,0,1,1.0
iscfco_r0f0,0,1,0.5,12833,13005,1.0,0,3,1.0
iscfco_r0f0,0,10,0.5,14170,14079,1.0,0,3,1.0
iscfco_r0f0,0,1,1.0,12833,12428,1.0,0,2,1.0
iscfco_r0f0,0,10,1.0,14170,13600,1.0,0,2,1.0
iscfco_r0f0,0,1,2.0,12833,10707,1.0,0,2,1.0
iscfco_r0f0,0,10,2.0,14170,11691,1.0,0,3,1.0
iscfco_r0f1,1,1,0.0,15412,10330,1.0,0,3,1.0
iscfco_r0f1,1,10,0.0,17837,11854,1.0,0,3,1.0
iscfco_r0f1,1,1,0.5,15412,10190,1.0,0,2,1.0
iscfco_r0f1,1,10,0.5,17837,11554,1.0,0,2,1.0
iscfco_r0f1,1,1,1.0,15412,9791,1.0,0,2,1.0
iscfco_r0f1,1,10,1.0,17837,11060,1.0,0,1,1.0
iscfco_r0f1,1,1,2.0,15412,8312,1.0,0,1,1.0
iscfco_r0f1,1,10,2.0,17837,9181,1.0,0,3,1.0
iscfco_r0f2,2,1,0.0,18046,7940,1.0,0,2,1.0
iscfco_r0f2,2,10,0.0,20585,9027,1.0,0,2,1.0
iscfco_r0f2,2,1,0.5,18046,7742,1.0,0,3,1.0
iscfco_r0f2,2,10,0.5,20585,8925,1.0,0,2,1.0
iscfco_r0f2,2,1,1.0,18046,7422,1.0,0,2,1.0
iscfco_r0f2,2,10,1.0,20585,8381,1.0,0,1,1.0
iscfco_r0f2,2,1,2.0,18046,6455,1.0,0,3,1.0
iscfco_r0f2,2,10,2.0,20585,7285,1.0,0,2,1.0
iscfco_r0f3,3,1,0.0,20506,5131,1.0,0,2,1.0
iscfco_r0f3,3,10,0.0,24347,6088,1.0,0,4,1.0
iscfco_r0f3,3,1,0.5,20506,5020,1.0,0,1,1.0
iscfco_r0f3,3,10,0.5,24347,5931,1.0,0,3,1.0
iscfco_r0f3,3,1,1.0,20506,4782,1.0,0,2,1.0
iscfco_r0f3,3,10,1.0,24347,5561,1.0,0,1,1.0
iscfco_r0f3,3,1,2.0,20506,4204,1.0,0,4,1.0
iscfco_r0f3,3,10,2.0,24347,4756,1.0,0,2,1.0
iscfco_r0f4,4,1,0.0,23401,2709,1.0,0,3,1.0
iscfco_r0f4,4,10,0.0,26042,3020,1.0,0,1,1.0
iscfco_r0f4,4,1,0.5,23401,2564,1.0,0,2,1.0
iscfco_r0f4,4,10,0.5,26042,2852,1.0,0,2,1.0
iscfco_r0f4,4,1,1.0,23401,2440,1.0,0,3,1.0
iscfco_r0f4,4,10,1.0,26042,2686,1.0,0,2,1.0
iscfco_r0f4,4,1,2.0,23401,2213,1.0,0,3,1.0
iscfco_r0f4,4,10,2.0,26042,2375,1.0,0,3,1.0
