tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscfco_r0f0,0,1,0.0,12833,13032,1.0,0,0,1.0
iscfco_r0f0,0,10,0.0,14170,14349,1.0,0,1,1.0
iscfco_r0f0,0,1,0.5,12833,16921,1.0,0,0,1.0
iscfco_r0f0,0,10,0.5,14170,17624,1.0,0,1,1.0
iscfco_r0f0,0,1,1.0,12833,17637,1.0,0,0,1.0
iscfco_r0f0,0,10,1.0,14170,18241,1.0,0,1,1.0
iscfco_r0f0,0,1,2.0,12833,17950,1.0,0,0,1.0
iscfco_r0f0,0,10,2.0,14170,18525,1.0,0,1,1.0
iscfco_r0f1,1,1,0.0,15412,10415,1.0,0,0,1.0
iscfco_r0f1,1,10,0.0,17837,11926,1.0,0,0,1.0
iscfco_r0f1,1,1,0.5,15412,13454,1.0,0,0,1.0
iscfco_r0f1,1,10,0.5,17837,14189,1.0,0,0,1.0
iscfco_r0f1,1,1,1.0,15412,14041,1.0,0,0,1.0
iscfco_r0f1,1,10,1.0,17837,14615,1.0,0,0,1.0
iscfco_r0f1,1,1,2.0,15412,14278,1.0,0,0,1.0
iscfco_r0f1,1,10,2.0,17837,14880,1.0,0,0,1.0
iscfco_r0f2,2,1,0.0,18046,7893,1.0,0,0,1.0
iscfco_r0f2,2,10,0.0,20585,9003,1.0,0,0,1.0
iscfco_r0f2,2,1,0.5,18046,9931,1.0,0,0,1.0
iscfco_r0f2,2,10,0.5,20585,10491,1.0,0,0,1.0
iscfco_r0f2,2,1,1.0,18046,10436,1.0,0,0,1.0
iscfco_r0f2,2,10,1.0,20585,10842,1.0,0,0,1.0
iscfco_r0f2,2,1,2.0,18046,10538,1.0,0,0,1.0
iscfco_r0f2,2,10,2.0,20585,10973,1.0,0,0,1.0
iscfco_r0f3,3,1,0.0,20506,5161,1.0,0,0,1.0
iscfco_r0f3,3,10,0.0,24347,6155,1.0,0,0,1.0
iscfco_r0f3,3,1,0.5,20506,6604,1.0,0,0,1.0
iscfco_r0f3,3,10,0.5,24347,7124,1.0,0,0,1.0
iscfco_r0f3,3,1,1.0,20506,6900,1.0,0,0,1.0
iscfco_r0f3,3,10,1.0,24347,7255,1.0,0,0,1.0
iscfco_r0f3,3,1,2.0,20506,6984,1.0,0,0,1.0
iscfco_r0f3,3,10,2.0,24347,7305,1.0,0,0,1.0
iscfco_r0f4,4,1,0.0,23401,2617,1.0,0,0,1.0
iscfco_r0f4,4,10,0.0,26042,2903,1.0,0,0,1.0
iscfco_r0f4,4,1,0.5,23401,3305,1.0,0,0,1.0
iscfco_r0f4,4,10,0.5,26042,3471,1.0,0,0,1.0
iscfco_r0f4,4,1,1.0,23401,3431,1.0,0,0,1.0
iscfco_r0f4,4,10,1.0,26042,3584,1.0,0,0,1.0
iscfco_r0f4,4,1,2.0,23401,3463,1.0,0,0,1.0
iscfco_r0f4,4,10,2.0,26042,3641,1.0,0,0,1.0
