tag,fold,k,rho,N_train_visits,V_test_visits,coverage_kappa,cap_broken,wl_broken,c_bar
iscfco_r0f0,0,1,0.0,12833,13032,1.0,0,0,1.0
iscfco_r0f0,0,10,0.0,14170,14349,1.0,0,1,1.0
iscfco_r0f0,0,1,0.5,12833,17667,1.0,0,0,1.0
iscfco_r0f0,0,10,0.5,14170,18178,1.0,0,1,1.0
iscfco_r0f0,0,1,1.0,12833,18777,1.0,0,0,1.0
iscfco_r0f0,0,10,1.0,14170,19034,1.0,0,1,1.0
iscfco_r0f0,0,1,2.0,12833,19285,1.0,0,0,1.0
iscfco_r0f0,0,10,2.0,14170,19455,1.0,0,1,1.0
iscfco_r0f1,1,1,0.0,15412,10415,1.0,0,0,1.0
iscfco_r0f1,1,10,0.0,17837,11926,1.0,0,0,1.0
iscfco_r0f1,1,1,0.5,15412,14241,1.0,0,0,1.0
iscfco_r0f1,1,10,0.5,17837,14623,1.0,0,0,1.0
iscfco_r0f1,1,1,1.0,15412,15038,1.0,0,0,1.0
iscfco_r0f1,1,10,1.0,17837,15259,1.0,0,0,1.0
iscfco_r0f1,1,1,2.0,15412,15380,1.0,0,0,1.0
iscfco_r0f1,1,10,2.0,17837,15552,1.0,0,0,1.0
iscfco_r0f2,2,1,0.0,18046,7893,1.0,0,0,1.0
iscfco_r0f2,2,10,0.0,20585,9003,1.0,0,0,1.0
iscfco_r0f2,2,1,0.5,18046,10695,1.0,0,0,1.0
iscfco_r0f2,2,10,0.5,20585,11043,1.0,0,0,1.0
iscfco_r0f2,2,1,1.0,18046,11371,1.0,0,0,1.0
iscfco_r0f2,2,10,1.0,20585,11438,1.0,0,0,1.0
iscfco_r0f2,2,1,2.0,18046,11635,1.0,0,0,1.0
iscfco_r0f2,2,10,2.0,20585,11668,1.0,0,0,1.0
iscfco_r0f3,3,1,0.0,20506,5161,1.0,0,0,1.0
iscfco_r0f3,3,10,0.0,24347,6155,1.0,0,0,1.0
iscfco_r0f3,3,1,0.5,20506,7130,1.0,0,0,1.0
iscfco_r0f3,3,10,0.5,24347,7402,1.0,0,0,1.0
iscfco_r0f3,3,1,1.0,20506,7586,1.0,0,0,1.0
iscfco_r0f3,3,10,1.0,24347,7654,1.0,0,0,1.0
iscfco_r0f3,3,1,2.0,20506,7753,1.0,0,0,1.0
iscfco_r0f3,3,10,2.0,24347,7789,1.0,0,0,1.0
iscfco_r0f4,4,1,0.0,23401,2617,1.0,0,0,1.0
iscfco_r0f4,4,10,0.0,26042,2903,1.0,0,0,1.0
iscfco_r0f4,4,1,0.5,23401,3543,1.0,0,0,1.0
iscfco_r0f4,4,10,0.5,26042,3668,1.0,0,0,1.0
iscfco_r0f4,4,1,1.0,23401,3782,1.0,0,0,1.0
iscfco_r0f4,4,10,1.0,26042,3808,1.0,0,0,1.0
iscfco_r0f4,4,1,2.0,23401,3835,1.0,0,0,1.0
iscfco_r0f4,4,10,2.0,26042,3853,1.0,0,0,1.0
