instance,solver,k,variant,nominal_visits,mean_test_visits,PoR,G,n_test_cells,c_bar,degenerate
syn_20sku,heuristic,1,exact,3700,3603.75,0.0,0.0,4,1.0,False
syn_20sku,heuristic,2,exact,3754,3605.5,0.0145945945945945,-0.0004856052722858,4,1.327,False
syn_20sku,sa,1,exact,3923,3664.25,0.0,0.0,4,1.0,False
syn_20sku,sa,2,exact,3981,3611.0,0.0147846036196788,0.0145323053830934,4,1.327,False
syn_50sku,heuristic,4,exact,8888,9361.422222222222,-0.0315972978862497,-0.0029689274481745,45,1.0,True
syn_50sku,sa,4,exact,9656,9322.8,0.0064623723160308,-0.0003481329581763,45,1.0,True
syn_50sku,ga,4,exact,9899,9269.288888888888,-0.0042249270697112,0.0052323806616552,45,1.0,True
syn_500sku,heuristic,1,exact,62511,86661.86666666667,0.0,0.0,45,1.0,False
syn_500sku,heuristic,2,exact,63741,86681.93333333333,0.0196765369295004,-0.0002315512859173,45,1.84,False
syn_500sku,sa,1,exact,71247,86612.75555555556,0.0,0.0,45,1.0,False
syn_500sku,sa,2,exact,71065,86768.44444444444,-0.0025544935225342,-0.0017975284112628,45,1.84,False
syn_500sku,ga,1,exact,70775,86767.13333333333,0.0,0.0,45,1.0,False
syn_500sku,ga,2,exact,71035,86568.46666666666,0.0036736135641116,0.0022896534555711,45,1.84,False
syn_50sku,heuristic,1,exact,9178,9333.711111111112,0.0,0.0,45,1.0,False
syn_50sku,heuristic,2,exact,9193,9274.644444444444,0.0016343429941163652,0.006328315282476752,45,1.7078,False
syn_50sku,heuristic,3,exact,9455,9325.933333333332,0.03018086729134888,0.0008332996045399678,45,2.1772,False
syn_50sku,heuristic,1T,exact,8888,9361.422222222222,-0.03159729788624973,-0.002968927448174582,45,1.0,False
syn_50sku,sa,1,exact,9715,9222.111111111111,0.0,0.0,45,1.0,False
syn_50sku,sa,2,exact,9720,9250.933333333332,0.000514668039114771,-0.0031253388595042174,45,1.7078,False
syn_50sku,sa,3,exact,9830,9305.577777777778,0.011837364899639732,-0.009050711454354925,45,2.1772,False
syn_50sku,sa,1T,exact,9671,9295.355555555556,-0.004529078744209984,-0.007942264364630908,45,1.0,False
syn_50sku,ga,1,exact,9855,9347.866666666667,0.0,0.0,45,1.0,False
syn_50sku,ga,2,exact,10010,9283.022222222222,0.015728056823947234,0.0069368174319037025,45,1.7078,False
syn_50sku,ga,3,exact,9993,9286.422222222222,0.014003044140030441,0.006573098080607902,45,2.1772,False
syn_50sku,ga,1T,exact,9805,9332.2,-0.0050735667174023336,0.0016759617167552733,45,1.0,False
syn_50sku_s142,heuristic,1,exact,9293,9253.755555555555,0.0,0.0,45,1.0,False
syn_50sku_s142,heuristic,2,exact,9839,9310.466666666667,0.0587539007855375,-0.006128442746368503,45,1.7641,False
syn_50sku_s142,heuristic,3,exact,9892,9286.444444444445,0.06445711826105671,-0.0035324997178323757,45,2.2343,False
syn_50sku_s142,sa,1,exact,10014,9288.177777777777,0.0,0.0,45,1.0,False
syn_50sku_s142,sa,2,exact,10160,9369.866666666667,0.01457958857599361,-0.008794931669410195,45,1.7641,False
syn_50sku_s142,sa,3,exact,10234,9275.822222222223,0.021969243059716398,0.0013302453776364003,45,2.2343,False
syn_50sku_s142,ga,1,exact,10002,9201.955555555556,0.0,0.0,45,1.0,False
syn_50sku_s142,ga,2,exact,10123,9201.68888888889,0.01209758048390322,2.897934738507053e-05,45,1.7641,False
syn_50sku_s142,ga,3,exact,10276,9259.888888888889,0.027394521095780843,-0.0062957632194122065,45,2.2343,False
syn_50sku_s242,heuristic,1,exact,7571,9249.08888888889,0.0,0.0,45,1.0,False
syn_50sku_s242,heuristic,2,exact,8098,9217.644444444444,0.06960771364416854,0.0033997342681201903,45,1.7511,False
syn_50sku_s242,heuristic,3,exact,7960,9238.2,0.05138026680755514,0.001177293138783618,45,2.1848,False
syn_50sku_s242,sa,1,exact,8295,9318.733333333334,0.0,0.0,45,1.0,False
syn_50sku_s242,sa,2,exact,8421,9310.6,0.015189873417721518,0.0008727938704115593,45,1.7511,False
syn_50sku_s242,sa,3,exact,8481,9271.466666666667,0.022423146473779385,0.005072220115752472,45,2.1848,False
syn_50sku_s242,ga,1,exact,8341,9296.08888888889,0.0,0.0,45,1.0,False
syn_50sku_s242,ga,2,exact,8581,9274.422222222222,0.028773528353914397,0.002330729291171567,45,1.7511,False
syn_50sku_s242,ga,3,exact,8447,9365.91111111111,0.012708308356312193,-0.007510924546523634,45,2.1848,False
berner_10w3w,heuristic,1,exact,578111,164140,0.0,0.0,1,1.0,False
berner_10w3w,heuristic,2,exact,572765,163607,-0.009247359071181831,0.0032472279761179483,1,1.3304,False
berner_10w3w,heuristic,3,exact,563947,160888,-0.02450048520093892,0.019812355306445716,1,1.5694,False
berner_10w3w,sa,1,exact,578337,166712,0.0,0.0,1,1.0,False
berner_10w3w,ga,1,exact,757771,214899,0.0,0.0,1,1.0,False
berner_10w3w,ga,2,exact,757771,214899,0.0,0.0,1,1.3304,False
berner_10w3w,ga,3,exact,757771,214899,0.0,0.0,1,1.5694,False
