,p1,p2,cnt_left,cnt,freq_ratio
17065971,1003635,1000260,350,154,0.44
17986036,1003635,1000260,350,154,0.44
17906776,1003635,1000260,350,154,0.44
17906796,1003635,1000260,350,154,0.44
17906816,1003635,1000260,350,154,0.44
17906836,1003635,1000260,350,154,0.44
17906856,1003635,1000260,350,154,0.44
17906876,1003635,1000260,350,154,0.44
17906896,1003635,1000260,350,154,0.44
17986056,1003635,1000260,350,154,0.44
17175653,1003635,1000260,350,154,0.44
17986076,1003635,1000260,350,154,0.44
17986096,1003635,1000260,350,154,0.44
17986116,1003635,1000260,350,154,0.44
17986136,1003635,1000260,350,154,0.44
17986156,1003635,1000260,350,154,0.44
17986176,1003635,1000260,350,154,0.44
18003704,1003635,1000260,350,154,0.44
17175729,1003635,1000260,350,154,0.44
17175645,1003635,1000260,350,154,0.44
17107461,1003635,1000260,350,154,0.44
17158111,1003635,1000260,350,154,0.44
17108979,1003635,1000260,350,154,0.44
17128235,1003635,1000260,350,154,0.44
17129717,1003635,1000260,350,154,0.44
17130543,1003635,1000260,350,154,0.44
17157199,1003635,1000260,350,154,0.44
17157623,1003635,1000260,350,154,0.44
17157647,1003635,1000260,350,154,0.44
17158467,1003635,1000260,350,154,0.44
17175607,1003635,1000260,350,154,0.44
17158747,1003635,1000260,350,154,0.44
17174461,1003635,1000260,350,154,0.44
17175109,1003635,1000260,350,154,0.44
17175281,1003635,1000260,350,154,0.44
17175301,1003635,1000260,350,154,0.44
17175361,1003635,1000260,350,154,0.44
17175375,1003635,1000260,350,154,0.44
18003724,1003635,1000260,350,154,0.44
18003744,1003635,1000260,350,154,0.44
18003764,1003635,1000260,350,154,0.44
18228282,1003635,1000260,350,154,0.44
18205463,1003635,1000260,350,154,0.44
18205465,1003635,1000260,350,154,0.44
18205467,1003635,1000260,350,154,0.44
18205469,1003635,1000260,350,154,0.44
18205471,1003635,1000260,350,154,0.44
18205473,1003635,1000260,350,154,0.44
18205475,1003635,1000260,350,154,0.44
18228302,1003635,1000260,350,154,0.44
18003784,1003635,1000260,350,154,0.44
18228322,1003635,1000260,350,154,0.44
18228342,1003635,1000260,350,154,0.44
18228544,1003635,1000260,350,154,0.44
18228576,1003635,1000260,350,154,0.44
18228596,1003635,1000260,350,154,0.44
18228616,1003635,1000260,350,154,0.44
18251078,1003635,1000260,350,154,0.44
18205461,1003635,1000260,350,154,0.44
18205459,1003635,1000260,350,154,0.44
18205457,1003635,1000260,350,154,0.44
18205455,1003635,1000260,350,154,0.44
18003806,1003635,1000260,350,154,0.44
18003838,1003635,1000260,350,154,0.44
18003858,1003635,1000260,350,154,0.44
18003878,1003635,1000260,350,154,0.44
18003898,1003635,1000260,350,154,0.44
18003918,1003635,1000260,350,154,0.44
18003938,1003635,1000260,350,154,0.44
18018106,1003635,1000260,350,154,0.44
18018146,1003635,1000260,350,154,0.44
18018166,1003635,1000260,350,154,0.44
18018186,1003635,1000260,350,154,0.44
18018206,1003635,1000260,350,154,0.44
18018226,1003635,1000260,350,154,0.44
18018246,1003635,1000260,350,154,0.44
18018266,1003635,1000260,350,154,0.44
17108891,1003635,1000260,350,154,0.44
18018126,1003635,1000260,350,154,0.44
17106793,1003635,1000260,350,154,0.44
17089367,1003635,1000260,350,154,0.44
18251098,1003635,1000260,350,154,0.44
17081483,1003635,1000260,350,154,0.44
17082883,1003635,1000260,350,154,0.44
17084165,1003635,1000260,350,154,0.44
17087683,1003635,1000260,350,154,0.44
17087849,1003635,1000260,350,154,0.44
17089339,1003635,1000260,350,154,0.44
17089513,1003635,1000260,350,154,0.44
18291196,1003635,1000260,350,154,0.44
16975977,1003635,1000260,350,154,0.44
16975975,1003635,1000260,350,154,0.44
16975973,1003635,1000260,350,154,0.44
16975971,1003635,1000260,350,154,0.44
16972835,1003635,1000260,350,154,0.44
16972759,1003635,1000260,350,154,0.44
16943909,1003635,1000260,350,154,0.44
17078971,1003635,1000260,350,154,0.44
17067401,1003635,1000260,350,154,0.44
16943887,1003635,1000260,350,154,0.44
18291315,1003635,1000260,350,154,0.44
17065615,1003635,1000260,350,154,0.44
18291319,1003635,1000260,350,154,0.44
17065961,1003635,1000260,350,154,0.44
17106735,1003635,1000260,350,154,0.44
17065613,1003635,1000260,350,154,0.44
18291317,1003635,1000260,350,154,0.44
17065549,1003635,1000260,350,154,0.44
17065437,1003635,1000260,350,154,0.44
18291216,1003635,1000260,350,154,0.44
18291296,1003635,1000260,350,154,0.44
17065309,1003635,1000260,350,154,0.44
18291276,1003635,1000260,350,154,0.44
17065089,1003635,1000260,350,154,0.44
18291256,1003635,1000260,350,154,0.44
17065045,1003635,1000260,350,154,0.44
17067319,1003635,1000260,350,154,0.44
16943889,1003635,1000260,350,154,0.44
18291236,1003635,1000260,350,154,0.44
16943825,1003635,1000260,350,154,0.44
16877503,1003635,1000260,350,154,0.44
16876419,1003635,1000260,350,154,0.44
16855939,1003635,1000260,350,154,0.44
16853255,1003635,1000260,350,154,0.44
16852507,1003635,1000260,350,154,0.44
16851729,1003635,1000260,350,154,0.44
16644491,1003635,1000260,350,154,0.44
17090561,1003635,1000260,350,154,0.44
17104665,1003635,1000260,350,154,0.44
17104917,1003635,1000260,350,154,0.44
17105103,1003635,1000260,350,154,0.44
17105721,1003635,1000260,350,154,0.44
17105111,1003635,1000260,350,154,0.44
17106709,1003635,1000260,350,154,0.44
17105727,1003635,1000260,350,154,0.44
16943823,1003635,1000260,350,154,0.44
16876423,1003635,1000260,350,154,0.44
16858877,1003635,1000260,350,154,0.44
16900467,1003635,1000260,350,154,0.44
16904711,1003635,1000260,350,154,0.44
16943821,1003635,1000260,350,154,0.44
16943721,1003635,1000260,350,154,0.44
16943695,1003635,1000260,350,154,0.44
16929341,1003635,1000260,350,154,0.44
16929213,1003635,1000260,350,154,0.44
16929181,1003635,1000260,350,154,0.44
16905477,1003635,1000260,350,154,0.44
16902505,1003635,1000260,350,154,0.44
16905017,1003635,1000260,350,154,0.44
16904461,1003635,1000260,350,154,0.44
16904445,1003635,1000260,350,154,0.44
16904333,1003635,1000260,350,154,0.44
16903931,1003635,1000260,350,154,0.44
16903321,1003635,1000260,350,154,0.44
11997316,1002395,1002396,495,173,0.34949494949494947
11975836,1002395,1002396,495,173,0.34949494949494947
11996354,1002395,1002396,495,173,0.34949494949494947
12000328,1002395,1002396,495,173,0.34949494949494947
12010350,1002395,1002396,495,173,0.34949494949494947
11976176,1002395,1002396,495,173,0.34949494949494947
12031170,1002395,1002396,495,173,0.34949494949494947
12010428,1002395,1002396,495,173,0.34949494949494947
12010592,1002395,1002396,495,173,0.34949494949494947
12010772,1002395,1002396,495,173,0.34949494949494947
12053320,1002395,1002396,495,173,0.34949494949494947
12033164,1002395,1002396,495,173,0.34949494949494947
12034278,1002395,1002396,495,173,0.34949494949494947
12051718,1002395,1002396,495,173,0.34949494949494947
12052902,1002395,1002396,495,173,0.34949494949494947
12053038,1002395,1002396,495,173,0.34949494949494947
12053044,1002395,1002396,495,173,0.34949494949494947
12053050,1002395,1002396,495,173,0.34949494949494947
12053074,1002395,1002396,495,173,0.34949494949494947
11957850,1002395,1002396,495,173,0.34949494949494947
12053398,1002395,1002396,495,173,0.34949494949494947
12055000,1002395,1002396,495,173,0.34949494949494947
12059604,1002395,1002396,495,173,0.34949494949494947
11958188,1002395,1002396,495,173,0.34949494949494947
10794378,1002395,1002396,495,173,0.34949494949494947
11957446,1002395,1002396,495,173,0.34949494949494947
11956216,1002395,1002396,495,173,0.34949494949494947
10793572,1002395,1002396,495,173,0.34949494949494947
12060508,1002395,1002396,495,173,0.34949494949494947
10792364,1002395,1002396,495,173,0.34949494949494947
10792346,1002395,1002396,495,173,0.34949494949494947
10793692,1002395,1002396,495,173,0.34949494949494947
10793768,1002395,1002396,495,173,0.34949494949494947
10793800,1002395,1002396,495,173,0.34949494949494947
10793920,1002395,1002396,495,173,0.34949494949494947
10793936,1002395,1002396,495,173,0.34949494949494947
10794168,1002395,1002396,495,173,0.34949494949494947
10794192,1002395,1002396,495,173,0.34949494949494947
10794288,1002395,1002396,495,173,0.34949494949494947
10794724,1002395,1002396,495,173,0.34949494949494947
10794736,1002395,1002396,495,173,0.34949494949494947
10794840,1002395,1002396,495,173,0.34949494949494947
10794860,1002395,1002396,495,173,0.34949494949494947
10794874,1002395,1002396,495,173,0.34949494949494947
11060750,1002395,1002396,495,173,0.34949494949494947
11908876,1002395,1002396,495,173,0.34949494949494947
11908906,1002395,1002396,495,173,0.34949494949494947
11909158,1002395,1002396,495,173,0.34949494949494947
11938984,1002395,1002396,495,173,0.34949494949494947
11939632,1002395,1002396,495,173,0.34949494949494947
12060506,1002395,1002396,495,173,0.34949494949494947
13427536,1002395,1002396,495,173,0.34949494949494947
12146098,1002395,1002396,495,173,0.34949494949494947
13427048,1002395,1002396,495,173,0.34949494949494947
13427526,1002395,1002396,495,173,0.34949494949494947
13427528,1002395,1002396,495,173,0.34949494949494947
13427530,1002395,1002396,495,173,0.34949494949494947
13427532,1002395,1002396,495,173,0.34949494949494947
13427534,1002395,1002396,495,173,0.34949494949494947
13427538,1002395,1002396,495,173,0.34949494949494947
13427540,1002395,1002396,495,173,0.34949494949494947
13427542,1002395,1002396,495,173,0.34949494949494947
13457726,1002395,1002396,495,173,0.34949494949494947
13457728,1002395,1002396,495,173,0.34949494949494947
13457730,1002395,1002396,495,173,0.34949494949494947
13457732,1002395,1002396,495,173,0.34949494949494947
13457740,1002395,1002396,495,173,0.34949494949494947
13457742,1002395,1002396,495,173,0.34949494949494947
13457744,1002395,1002396,495,173,0.34949494949494947
13457746,1002395,1002396,495,173,0.34949494949494947
13457750,1002395,1002396,495,173,0.34949494949494947
13726366,1002395,1002396,495,173,0.34949494949494947
15560250,1002395,1002396,495,173,0.34949494949494947
15810324,1002395,1002396,495,173,0.34949494949494947
10791778,1002395,1002396,495,173,0.34949494949494947
16724556,1002395,1002396,495,173,0.34949494949494947
16724554,1002395,1002396,495,173,0.34949494949494947
13427050,1002395,1002396,495,173,0.34949494949494947
13427046,1002395,1002396,495,173,0.34949494949494947
12148512,1002395,1002396,495,173,0.34949494949494947
13427044,1002395,1002396,495,173,0.34949494949494947
12335580,1002395,1002396,495,173,0.34949494949494947
12353222,1002395,1002396,495,173,0.34949494949494947
12355354,1002395,1002396,495,173,0.34949494949494947
12356560,1002395,1002396,495,173,0.34949494949494947
12357642,1002395,1002396,495,173,0.34949494949494947
12358626,1002395,1002396,495,173,0.34949494949494947
12376978,1002395,1002396,495,173,0.34949494949494947
12473698,1002395,1002396,495,173,0.34949494949494947
12892697,1002395,1002396,495,173,0.34949494949494947
12897278,1002395,1002396,495,173,0.34949494949494947
12958962,1002395,1002396,495,173,0.34949494949494947
13410362,1002395,1002396,495,173,0.34949494949494947
13410364,1002395,1002396,495,173,0.34949494949494947
13410366,1002395,1002396,495,173,0.34949494949494947
13410368,1002395,1002396,495,173,0.34949494949494947
13410370,1002395,1002396,495,173,0.34949494949494947
13410372,1002395,1002396,495,173,0.34949494949494947
13410374,1002395,1002396,495,173,0.34949494949494947
13410376,1002395,1002396,495,173,0.34949494949494947
