,Product,Community
0,201071,0.0
0,367176,0.0
0,412564,0.0
0,335506,0.0
0,341709,0.0
0,1000381,0.0
0,412559,0.0
0,369964-100,1.0
0,369974-100,1.0
0,369954-100,1.0
0,369945-100,1.0
0,369943-100,1.0
0,369959-100,1.0
0,369986-100,1.0
0,59621-10,2.0
0,59622-10,2.0
0,198891-2,2.0
0,198628-2,2.0
0,103480-12,3.0
0,409516-2,3.0
0,405732,4.0
0,857386-10,4.0
0,147092-10,4.0
0,368546-10,4.0
0,38278,4.0
0,38280,4.0
0,142454,4.0
0,40876-6,5.0
0,40877-6,5.0
0,40875-6,5.0
0,152825-6,6.0
0,152826-6,6.0
0,152824-6,6.0
0,180558,7.0
0,180559,7.0
0,183920,7.0
0,560855-1000,8.0
0,560863-1000,8.0
0,1000362,9.0
0,1000363,9.0
0,1000293-50,9.0
0,1000280,9.0
0,1000295,9.0
0,1000296,9.0
0,1000270,9.0
0,6467-100,10.0
0,6475-100,10.0
0,6440-100,10.0
0,6483-100,10.0
0,6505-50,10.0
0,4375-100,10.0
0,4359-100,10.0
0,131279-10,11.0
0,131289-10,11.0
0,131309-5,11.0
0,131269-10,11.0
0,131339-5,11.0
0,131259-10,11.0
0,131274-10,11.0
0,410011-100,12.0
0,410013-100,12.0
0,410015-100,12.0
0,410009-100,12.0
0,410017-100,12.0
0,409994-200,12.0
0,409996-200,12.0
0,48007-100,13.0
0,48008-100,13.0
0,48006-100,13.0
0,111731-100,14.0
0,111733-100,14.0
0,111734-100,14.0
0,7463-100,14.0
0,7471-100,14.0
0,7447-500,14.0
0,632937-100,14.0
0,199790,15.0
0,244882,15.0
0,23948,15.0
0,367186,16.0
0,367187,16.0
0,367233,16.0
0,144394-100,17.0
0,144395-100,17.0
0,144393-100,17.0
0,430285-100,17.0
0,142327-100,17.0
0,242700,18.0
0,362813,18.0
0,420473,18.0
0,367169,19.0
0,367177,19.0
0,339157,20.0
0,339158,20.0
0,339159,20.0
0,154118-10,21.0
0,154148-10,21.0
0,154172-10,21.0
0,98188-10,21.0
0,242606,22.0
0,242607,22.0
0,30682-100,23.0
0,30683-100,23.0
0,4391-100,24.0
0,4448-100,24.0
0,4405-100,24.0
0,4413-100,24.0
0,97608-100,24.0
0,97497-100,24.0
0,97330-100,24.0
0,411555-25,25.0
0,411556-10,25.0
0,411557-10,25.0
0,411554-50,25.0
0,411553-50,25.0
0,411552-50,25.0
0,367137-25,26.0
0,367147-25,26.0
0,87065-100,27.0
0,87067-100,27.0
0,87069-100,27.0
0,87063-100,27.0
0,408138-12,28.0
0,408139-12,28.0
0,328920-100,29.0
0,328925-100,29.0
0,328922-100,29.0
0,328926-100,29.0
0,328923-100,29.0
0,328924-100,29.0
0,328921-100,29.0
0,82767-100,30.0
0,82768-100,30.0
0,82769-100,30.0
0,82771-100,30.0
0,209335,30.0
0,368809-100,30.0
0,104784-100,30.0
0,169893-100,31.0
0,169894-100,31.0
0,169896-100,31.0
0,169892-100,31.0
0,169897-100,31.0
0,332673-10,32.0
0,332674-10,32.0
0,372352-5,33.0
0,372361-5,33.0
0,372367-5,33.0
0,372375-5,33.0
0,372370-5,33.0
0,102544,34.0
0,370906,34.0
0,370470,34.0
0,155685,35.0
0,155686,35.0
0,102545,36.0
0,104057,36.0
0,102581,36.0
0,6473-100,37.0
0,6474-100,37.0
0,6472-100,37.0
0,6471-100,37.0
0,6476-100,37.0
0,372073,38.0
0,372074,38.0
0,372076,38.0
0,421256-10,39.0
0,421259-10,39.0
0,54262-10,40.0
0,54266-10,40.0
0,54268-5,40.0
0,240264-100,41.0
0,240265-75,41.0
0,240266-50,41.0
0,243190,42.0
0,243193,42.0
0,329060,43.0
0,329068,43.0
0,329067,43.0
0,329071,43.0
0,207076-100,44.0
0,207077-100,44.0
0,207079-100,44.0
0,207078-100,44.0
0,200743,45.0
0,200744,45.0
0,60786-100,46.0
0,60787-100,46.0
0,60788-100,46.0
0,60789-100,46.0
0,60790-100,46.0
0,104386,47.0
0,104390,47.0
0,55119-25,48.0
0,55129-25,48.0
0,55122-25,48.0
0,55134-25,48.0
0,421177-12,49.0
0,421181-12,49.0
0,17753-100,50.0
0,17754-100,50.0
0,20714-100,51.0
0,822868-100,51.0
0,409967-500,52.0
0,409969-500,52.0
0,409971-400,52.0
0,329060-5,53.0
0,329071-5,53.0
0,180025-10,54.0
0,181650-10,54.0
0,86593-1000,55.0
0,86595-500,55.0
0,86594-500,55.0
0,12254-100,56.0
0,12378-100,56.0
0,146762-6,57.0
0,45520-6,57.0
0,131284-10,58.0
0,131294-10,58.0
0,131314-5,58.0
0,131299-10,58.0
0,131326-5,58.0
0,20718-50,59.0
0,31148-50,59.0
0,20719-50,59.0
0,339349-6,60.0
0,339350-6,60.0
0,86782-500,61.0
0,86784-500,61.0
0,86780-1000,61.0
0,86781-500,61.0
0,371174,62.0
0,371177,62.0
0,198706,63.0
0,198707,63.0
0,21036-100,64.0
0,21037-100,64.0
0,131344,65.0
0,131346,65.0
0,131342,65.0
0,157147,66.0
0,157154,66.0
0,87057-200,67.0
