instance,size_n,n_stations,zeta,instance_seed,split,beta_max,alpha_max,n_feasible_levels,n_levels,feasibility_nested,visits_at_beta_max,visits_at_nominal,nominal_feasible
1000_s10_seed2001,1000,10,100,2001,tuning,,,0,15,False,,241448.0,False
1000_s10_seed2002,1000,10,100,2002,tuning,,,0,15,False,,241337.0,False
1000_s10_seed2003,1000,10,100,2003,tuning,5.0,0.05,1,15,False,230609.0,221381.0,False
1000_s10_seed2004,1000,10,100,2004,tuning,,,0,15,False,,216512.0,False
1000_s10_seed2005,1000,10,100,2005,tuning,,,0,15,False,,179361.0,False
1000_s10_seed2006,1000,10,100,2006,test,,,0,15,False,,250132.0,False
1000_s10_seed2007,1000,10,100,2007,test,,,0,15,False,,222673.0,False
1000_s10_seed2008,1000,10,100,2008,test,,,0,15,False,,193928.0,False
1000_s10_seed2009,1000,10,100,2009,test,,,0,15,False,,169608.0,False
1000_s10_seed2010,1000,10,100,2010,test,,,0,15,False,,173098.0,False
1000_s20_seed2001,1000,20,50,2001,tuning,,,0,13,False,,290725.0,False
1000_s20_seed2002,1000,20,50,2002,tuning,,,0,13,False,,290859.0,False
1000_s20_seed2003,1000,20,50,2003,tuning,,,0,13,False,,264382.0,False
1000_s20_seed2004,1000,20,50,2004,tuning,,,0,13,False,,261407.0,False
1000_s20_seed2005,1000,20,50,2005,tuning,,,0,13,False,,214955.0,False
1000_s20_seed2006,1000,20,50,2006,test,,,0,13,False,,300766.0,False
1000_s20_seed2007,1000,20,50,2007,test,,,0,13,False,,269353.0,False
1000_s20_seed2008,1000,20,50,2008,test,,,0,13,False,,232271.0,False
1000_s20_seed2009,1000,20,50,2009,test,,,0,13,False,,201801.0,False
1000_s20_seed2010,1000,20,50,2010,test,,,0,13,False,,207009.0,False
1000_s40_seed2001,1000,40,25,2001,tuning,,,0,10,False,,319356.0,False
1000_s40_seed2002,1000,40,25,2002,tuning,,,0,10,False,,322002.0,False
1000_s40_seed2003,1000,40,25,2003,tuning,,,0,10,False,,293365.0,False
1000_s40_seed2004,1000,40,25,2004,tuning,,,0,10,False,,288974.0,False
1000_s40_seed2005,1000,40,25,2005,tuning,,,0,10,False,,236332.0,False
1000_s40_seed2006,1000,40,25,2006,test,,,0,10,False,,330924.0,False
1000_s40_seed2007,1000,40,25,2007,test,,,0,10,False,,297519.0,False
1000_s40_seed2008,1000,40,25,2008,test,,,0,10,False,,257253.0,False
1000_s40_seed2009,1000,40,25,2009,test,,,0,10,False,,223584.0,False
1000_s40_seed2010,1000,40,25,2010,test,,,0,10,False,,226956.0,False
1000_s50_seed2001,1000,50,20,2001,tuning,,,0,9,False,,325492.0,False
1000_s50_seed2002,1000,50,20,2002,tuning,,,0,9,False,,329006.0,False
1000_s50_seed2003,1000,50,20,2003,tuning,,,0,9,False,,299351.0,False
1000_s50_seed2004,1000,50,20,2004,tuning,,,0,9,False,,296018.0,False
1000_s50_seed2005,1000,50,20,2005,tuning,,,0,9,False,,241054.0,False
1000_s50_seed2006,1000,50,20,2006,test,,,0,9,False,,337729.0,False
1000_s50_seed2007,1000,50,20,2007,test,,,0,9,False,,304088.0,False
1000_s50_seed2008,1000,50,20,2008,test,,,0,9,False,,261458.0,False
1000_s50_seed2009,1000,50,20,2009,test,,,0,9,False,,227982.0,False
