size_n,n_stations,zeta,instance_seed,split,config_id,beta,alpha,hash_seed,min_freq_preproc,min_freq,ratio_to_keep,mnoppc,visits,time_s,cap_broken,wl_broken,max_wl,time_capacity,max_overload_ratio,n_pstar,n_pairs_kept,n_corr_communities,n_assigned,community_size_max,status
500,5,100,2001,tuning,beta2,2,0.02,0,5,10,0.1,2,63316.0,18.805551528930664,0.0,0.0,34401.0,34515.0,0.9966970882225119,500.0,379.0,96.0,500.0,2.0,OK
500,5,100,2001,tuning,beta3,3,0.03,0,5,10,0.1,3,62139.0,21.553102731704712,0.0,1.0,38519.0,34515.0,1.1160075329566854,500.0,379.0,72.0,500.0,3.0,OK
500,5,100,2001,tuning,beta5,5,0.05,0,5,10,0.1,5,59846.0,18.821500301361084,0.0,1.0,37787.0,34515.0,1.0947993625959727,500.0,379.0,55.0,500.0,5.0,OK
500,5,100,2001,tuning,beta8,8,0.08,0,5,10,0.1,8,58536.0,18.866858959197998,0.0,2.0,36090.0,34515.0,1.045632333767927,500.0,379.0,45.0,500.0,8.0,OK
500,5,100,2001,tuning,beta10,10,0.1,0,5,10,0.1,10,58328.0,20.837366580963135,0.0,1.0,42345.0,34515.0,1.226857887874837,500.0,379.0,43.0,500.0,10.0,OK
500,5,100,2001,tuning,beta12,12,0.12,0,5,10,0.1,12,58085.0,20.09337592124939,0.0,1.0,44302.0,34515.0,1.283557873388382,500.0,379.0,40.0,500.0,12.0,OK
500,5,100,2001,tuning,beta15,15,0.15,0,5,10,0.1,15,57573.0,18.847611665725708,0.0,2.0,39963.0,34515.0,1.1578444154715342,500.0,379.0,35.0,500.0,15.0,OK
500,5,100,2001,tuning,beta18,18,0.18,0,5,10,0.1,18,57319.0,17.80466604232788,0.0,1.0,44082.0,34515.0,1.2771838331160366,500.0,379.0,33.0,500.0,18.0,OK
500,5,100,2001,tuning,beta20,20,0.2,0,5,10,0.1,20,56972.0,16.652824640274048,0.0,2.0,47062.0,34515.0,1.3635231058959874,500.0,379.0,34.0,500.0,20.0,OK
500,5,100,2001,tuning,beta25,25,0.25,0,5,10,0.1,25,56388.0,19.103351354599,0.0,2.0,42942.0,34515.0,1.244154715341156,500.0,379.0,28.0,500.0,25.0,OK
500,5,100,2001,tuning,beta30,30,0.3,0,5,10,0.1,30,56387.0,21.4519259929657,0.0,1.0,49492.0,34515.0,1.4339272779950747,500.0,379.0,30.0,500.0,30.0,OK
500,5,100,2001,tuning,beta40,40,0.4,0,5,10,0.1,40,56379.0,21.604467153549194,0.0,2.0,49693.0,34515.0,1.439750832971172,500.0,379.0,31.0,500.0,40.0,OK
500,5,100,2001,tuning,beta50,50,0.5,0,5,10,0.1,50,56135.0,21.04460620880127,0.0,2.0,53026.0,34515.0,1.536317543097204,500.0,379.0,32.0,500.0,50.0,OK
500,5,100,2001,tuning,beta75,75,0.75,0,5,10,0.1,75,56522.0,17.75064468383789,0.0,1.0,53067.0,34515.0,1.5375054324206867,500.0,379.0,30.0,500.0,75.0,OK
500,5,100,2001,tuning,beta100,100,1.0,0,5,10,0.1,100,55081.0,24.062644004821777,0.0,2.0,52521.0,34515.0,1.5216862233811386,500.0,379.0,23.0,500.0,100.0,OK
500,5,100,2001,tuning,beta15,15,0.15,1,5,10,0.1,15,57580.0,20.239879369735718,0.0,2.0,39963.0,34515.0,1.1578444154715342,500.0,379.0,35.0,500.0,15.0,OK
500,5,100,2001,tuning,beta15,15,0.15,2,5,10,0.1,15,57582.0,22.353686332702637,0.0,2.0,39963.0,34515.0,1.1578444154715342,500.0,379.0,35.0,500.0,15.0,OK
500,5,100,2006,test,beta2,2,0.02,0,5,10,0.1,2,86203.0,32.690510749816895,0.0,0.0,45020.0,46197.0,0.9745221551182978,500.0,508.0,103.0,500.0,2.0,OK
500,5,100,2006,test,beta3,3,0.03,0,5,10,0.1,3,82656.0,35.69810342788696,0.0,1.0,51570.0,46197.0,1.1163062536528345,500.0,508.0,83.0,500.0,3.0,OK
500,5,100,2006,test,beta5,5,0.05,0,5,10,0.1,5,80812.0,18.8854398727417,0.0,1.0,47633.0,46197.0,1.0310842695413123,500.0,508.0,61.0,500.0,5.0,OK
500,5,100,2006,test,beta8,8,0.08,0,5,10,0.1,8,79198.0,18.126164436340332,0.0,1.0,50228.0,46197.0,1.0872567482736974,500.0,508.0,46.0,500.0,8.0,OK
500,5,100,2006,test,beta10,10,0.1,0,5,10,0.1,10,77901.0,20.02829337120056,0.0,2.0,53070.0,46197.0,1.1487758945386064,500.0,508.0,39.0,500.0,10.0,OK
500,5,100,2006,test,beta12,12,0.12,0,5,10,0.1,12,77636.0,21.511261224746704,0.0,1.0,52400.0,46197.0,1.134272788276295,500.0,508.0,34.0,500.0,12.0,OK
500,5,100,2006,test,beta15,15,0.15,0,5,10,0.1,15,77818.0,19.215113401412964,0.0,1.0,53606.0,46197.0,1.1603783795484555,500.0,508.0,32.0,500.0,15.0,OK
500,5,100,2006,test,beta18,18,0.18,0,5,10,0.1,18,77232.0,17.749173164367676,0.0,2.0,58442.0,46197.0,1.2650605017641838,500.0,508.0,32.0,500.0,18.0,OK
500,5,100,2006,test,beta20,20,0.2,0,5,10,0.1,20,77527.0,16.392141580581665,0.0,2.0,55391.0,46197.0,1.199017252202524,500.0,508.0,30.0,500.0,20.0,OK
500,5,100,2006,test,beta25,25,0.25,0,5,10,0.1,25,76822.0,14.976643562316895,0.0,1.0,53964.0,46197.0,1.1681278005065263,500.0,508.0,26.0,500.0,25.0,OK
500,5,100,2006,test,beta30,30,0.3,0,5,10,0.1,30,76342.0,15.206582069396973,0.0,1.0,65554.0,46197.0,1.4190098924172565,500.0,508.0,26.0,500.0,30.0,OK
500,5,100,2006,test,beta40,40,0.4,0,5,10,0.1,40,76988.0,13.417261123657227,0.0,1.0,48913.0,46197.0,1.0587916964305042,500.0,508.0,23.0,500.0,40.0,OK
500,5,100,2006,test,beta50,50,0.5,0,5,10,0.1,50,75519.0,14.111257076263428,0.0,2.0,60706.0,46197.0,1.314068013074442,500.0,508.0,22.0,500.0,50.0,OK
500,5,100,2006,test,beta75,75,0.75,0,5,10,0.1,75,74463.0,14.60546350479126,0.0,2.0,63579.0,46197.0,1.3762581985843236,500.0,508.0,19.0,500.0,75.0,OK
500,5,100,2006,test,beta100,100,1.0,0,5,10,0.1,100,74007.0,15.074716329574585,0.0,2.0,68667.0,46197.0,1.4863952204688615,500.0,508.0,22.0,500.0,100.0,OK
500,5,100,2006,test,beta15,15,0.15,1,5,10,0.1,15,77818.0,14.918779611587524,0.0,1.0,53606.0,46197.0,1.1603783795484555,500.0,508.0,32.0,500.0,15.0,OK
500,5,100,2006,test,beta15,15,0.15,2,5,10,0.1,15,77818.0,26.792717218399048,0.0,1.0,53606.0,46197.0,1.1603783795484555,500.0,508.0,32.0,500.0,15.0,OK
500,10,50,2001,tuning,beta2,2,0.04,0,5,10,0.1,2,88488.0,14.633033037185669,0.0,3.0,21804.0,17258.0,1.2634140688376405,500.0,379.0,96.0,500.0,2.0,OK
500,10,50,2001,tuning,beta3,3,0.06,0,5,10,0.1,3,85267.0,15.277112245559692,0.0,3.0,23511.0,17258.0,1.362324718970912,500.0,379.0,72.0,500.0,3.0,OK
500,10,50,2001,tuning,beta5,5,0.1,0,5,10,0.1,5,82850.0,10.66423511505127,0.0,2.0,18858.0,17258.0,1.0927106269556148,500.0,379.0,55.0,500.0,5.0,OK
500,10,50,2001,tuning,beta8,8,0.16,0,5,10,0.1,8,80698.0,11.601914644241333,0.0,4.0,23075.0,17258.0,1.337061073125507,500.0,379.0,45.0,500.0,8.0,OK
500,10,50,2001,tuning,beta10,10,0.2,0,5,10,0.1,10,80886.0,10.757280111312866,0.0,2.0,22930.0,17258.0,1.3286591725576544,500.0,379.0,43.0,500.0,10.0,OK
500,10,50,2001,tuning,beta12,12,0.24,0,5,10,0.1,12,79539.0,10.032944440841675,0.0,2.0,23036.0,17258.0,1.334801251593464,500.0,379.0,40.0,500.0,12.0,OK
500,10,50,2001,tuning,beta15,15,0.3,0,5,10,0.1,15,78785.0,10.539910078048706,0.0,2.0,25832.0,17258.0,1.4968130721984008,500.0,379.0,35.0,500.0,15.0,OK
500,10,50,2001,tuning,beta18,18,0.36,0,5,10,0.1,18,78593.0,11.962877035140991,0.0,4.0,24593.0,17258.0,1.4250202804496466,500.0,379.0,33.0,500.0,18.0,OK
