instance,size_n,n_stations,zeta,instance_seed,split,beta_max,alpha_max,n_feasible_levels,n_levels,feasibility_nested,visits_at_beta_max,visits_at_nominal,nominal_feasible
1000_s10_seed2001,1000,10,100,2001,tuning,100.0,1.0,15,15,True,250215.0,240969.0,True
1000_s10_seed2002,1000,10,100,2002,tuning,100.0,1.0,15,15,True,243610.0,240831.0,True
1000_s10_seed2003,1000,10,100,2003,tuning,100.0,1.0,15,15,True,225954.0,221132.0,True
1000_s10_seed2004,1000,10,100,2004,tuning,100.0,1.0,15,15,True,222755.0,217790.0,True
1000_s10_seed2005,1000,10,100,2005,tuning,100.0,1.0,15,15,True,183830.0,179902.0,True
1000_s10_seed2006,1000,10,100,2006,test,100.0,1.0,15,15,True,259535.0,251832.0,True
1000_s10_seed2007,1000,10,100,2007,test,100.0,1.0,15,15,True,225140.0,223697.0,True
1000_s10_seed2008,1000,10,100,2008,test,100.0,1.0,15,15,True,201784.0,196682.0,True
1000_s10_seed2009,1000,10,100,2009,test,100.0,1.0,15,15,True,175123.0,172063.0,True
1000_s10_seed2010,1000,10,100,2010,test,100.0,1.0,15,15,True,175782.0,174487.0,True
1000_s20_seed2001,1000,20,50,2001,tuning,50.0,1.0,13,13,True,295541.0,290944.0,True
1000_s20_seed2002,1000,20,50,2002,tuning,50.0,1.0,13,13,True,291912.0,290732.0,True
1000_s20_seed2003,1000,20,50,2003,tuning,50.0,1.0,13,13,True,270711.0,263156.0,True
1000_s20_seed2004,1000,20,50,2004,tuning,50.0,1.0,13,13,True,262094.0,259064.0,True
1000_s20_seed2005,1000,20,50,2005,tuning,50.0,1.0,13,13,True,219819.0,215053.0,True
1000_s20_seed2006,1000,20,50,2006,test,50.0,1.0,13,13,True,308666.0,300130.0,True
1000_s20_seed2007,1000,20,50,2007,test,50.0,1.0,13,13,True,268425.0,269085.0,True
1000_s20_seed2008,1000,20,50,2008,test,50.0,1.0,13,13,True,237020.0,232947.0,True
1000_s20_seed2009,1000,20,50,2009,test,50.0,1.0,13,13,True,207265.0,207112.0,True
1000_s20_seed2010,1000,20,50,2010,test,50.0,1.0,13,13,True,212657.0,209106.0,True
1000_s40_seed2001,1000,40,25,2001,tuning,25.0,1.0,10,10,True,328237.0,325592.0,True
1000_s40_seed2002,1000,40,25,2002,tuning,25.0,1.0,10,10,True,326490.0,321060.0,True
1000_s40_seed2003,1000,40,25,2003,tuning,25.0,1.0,10,10,True,303156.0,291506.0,True
1000_s40_seed2004,1000,40,25,2004,tuning,25.0,1.0,10,10,True,296275.0,288639.0,True
1000_s40_seed2005,1000,40,25,2005,tuning,25.0,1.0,10,10,True,248672.0,241194.0,True
1000_s40_seed2006,1000,40,25,2006,test,25.0,1.0,10,10,True,343362.0,335042.0,True
1000_s40_seed2007,1000,40,25,2007,test,25.0,1.0,10,10,True,301136.0,297375.0,True
1000_s40_seed2008,1000,40,25,2008,test,25.0,1.0,10,10,True,266975.0,257583.0,True
1000_s40_seed2009,1000,40,25,2009,test,25.0,1.0,10,10,True,233414.0,228931.0,True
1000_s40_seed2010,1000,40,25,2010,test,25.0,1.0,10,10,True,243264.0,235566.0,True
1000_s50_seed2001,1000,50,20,2001,tuning,20.0,1.0,9,9,True,337664.0,340147.0,True
1000_s50_seed2002,1000,50,20,2002,tuning,20.0,1.0,9,9,True,335280.0,328756.0,True
1000_s50_seed2003,1000,50,20,2003,tuning,20.0,1.0,9,9,True,310340.0,301403.0,True
1000_s50_seed2004,1000,50,20,2004,tuning,20.0,1.0,9,9,True,302572.0,296990.0,True
1000_s50_seed2005,1000,50,20,2005,tuning,20.0,1.0,9,9,True,252340.0,251825.0,True
1000_s50_seed2006,1000,50,20,2006,test,20.0,1.0,9,9,True,354750.0,348299.0,True
1000_s50_seed2007,1000,50,20,2007,test,20.0,1.0,9,9,True,310857.0,303455.0,True
1000_s50_seed2008,1000,50,20,2008,test,20.0,1.0,9,9,True,272996.0,269890.0,True
1000_s50_seed2009,1000,50,20,2009,test,20.0,1.0,9,9,True,240239.0,239319.0,True
1000_s50_seed2010,1000,50,20,2010,test,20.0,1.0,9,9,True,245799.0,243875.0,True
500_s10_seed2001,500,10,50,2001,tuning,50.0,1.0,13,13,True,80982.0,79333.0,True
500_s10_seed2002,500,10,50,2002,tuning,50.0,1.0,13,13,True,124926.0,124349.0,True
500_s10_seed2003,500,10,50,2003,tuning,50.0,1.0,13,13,True,82008.0,80525.0,True
500_s10_seed2004,500,10,50,2004,tuning,50.0,1.0,13,13,True,93276.0,93644.0,True
500_s10_seed2005,500,10,50,2005,tuning,50.0,1.0,13,13,True,126130.0,125585.0,True
500_s10_seed2006,500,10,50,2006,test,50.0,1.0,13,13,True,110319.0,106324.0,True
500_s10_seed2007,500,10,50,2007,test,50.0,1.0,13,13,True,89326.0,88279.0,True
500_s10_seed2008,500,10,50,2008,test,50.0,1.0,13,13,True,94603.0,93295.0,True
500_s10_seed2009,500,10,50,2009,test,50.0,1.0,13,13,True,92255.0,92476.0,True
500_s10_seed2010,500,10,50,2010,test,50.0,1.0,13,13,True,113061.0,113700.0,True
500_s20_seed2001,500,20,25,2001,tuning,25.0,1.0,10,10,True,98390.0,95851.0,True
500_s20_seed2002,500,20,25,2002,tuning,25.0,1.0,10,10,True,153941.0,151191.0,True
500_s20_seed2003,500,20,25,2003,tuning,25.0,1.0,10,10,True,100302.0,97693.0,True
500_s20_seed2004,500,20,25,2004,tuning,25.0,1.0,10,10,True,116134.0,113256.0,True
500_s20_seed2005,500,20,25,2005,tuning,25.0,1.0,10,10,True,154382.0,149149.0,True
