PRODUCT_ID;CATEGORY;POPULARITY
1;19;420
2;8;236
3;10;390
4;1;471
5;0;433
6;9;231
7;9;407
8;10;600
9;13;416
10;5;797
11;10;425
12;14;661
13;14;434
14;16;210
15;9;445
16;16;800
17;10;440
18;2;402
19;3;411
20;18;262
21;12;433
22;6;445
23;17;254
24;18;405
25;17;250
26;0;415
27;10;720
28;19;558
29;17;236
30;7;614
31;9;573
32;16;428
33;9;465
34;16;267
35;17;224
36;14;247
37;17;260
38;17;400
39;4;409
40;2;1147
41;12;608
42;19;453
43;6;417
44;11;566
45;5;618
46;14;436
47;9;635
48;4;257
49;16;255
50;15;247
51;11;269
52;16;229
53;7;437
54;0;612
55;9;432
56;13;279
57;18;413
58;8;261
59;11;235
60;5;227
61;14;584
62;12;757
63;14;432
64;1;248
65;12;254
66;11;413
67;9;248
68;10;233
69;2;506
70;6;636
71;2;265
72;12;455
73;0;608
74;2;1003
75;6;577
76;16;743
77;8;436
78;5;261
79;18;438
80;9;264
81;8;796
82;6;421
83;9;244
84;5;580
85;16;365
86;2;425
87;5;455
88;9;619
89;1;600
90;10;598
91;3;239
92;14;413
93;15;440
94;18;252
95;0;763
96;8;426
97;15;477
98;15;396
99;2;410
100;1;237
101;15;248
102;1;755
103;19;552
104;14;278
105;11;269
106;4;803
107;5;267
108;4;625
109;12;252
110;18;266
111;15;415
112;19;236
113;11;403
114;11;622
115;0;271
116;18;249
117;2;644
118;16;1150
119;18;622
120;13;412
121;18;428
122;10;789
123;16;254
124;15;411
125;15;604
126;17;260
127;17;251
128;5;247
129;8;420
130;5;228
131;18;276
132;15;281
133;3;253
134;9;417
135;15;826
136;18;242
137;10;782
138;0;605
139;0;241
140;4;430
141;2;789
142;8;427
143;17;458
144;14;259
145;18;448
146;15;234
147;11;448
148;18;458
149;16;384
150;16;223
151;19;257
152;11;441
153;10;384
154;17;257
155;16;606
156;7;237
157;16;447
158;7;254
159;15;588
160;1;575
161;10;436
162;19;781
163;16;618
164;0;434
165;3;606
166;5;452
167;10;233
168;17;228
169;3;622
170;18;562
171;8;448
172;15;973
173;9;260
174;4;616
175;11;250
176;15;805
177;6;285
178;4;601
179;12;242
180;18;356
181;18;263
182;14;437
183;6;253
184;15;559
185;6;591
186;19;238
187;7;213
188;8;233
189;7;432
190;11;575
191;13;551
192;16;604
193;12;432
194;3;477
195;6;263
196;1;445
197;7;277
198;10;589
199;18;224
200;3;592
201;15;623
202;18;424
203;3;459
204;2;263
205;14;408
206;10;771
207;0;256
208;15;431
209;8;402
210;7;467
211;0;251
212;15;580
213;3;252
214;5;1241
215;7;429
216;10;251
217;0;412
218;11;592
219;6;760
220;10;553
221;3;463
222;16;419
223;7;228
224;12;253
225;13;408
226;17;389
227;11;430
228;9;288
229;14;834
230;8;418
231;6;417
232;3;405
233;14;443
234;5;217
235;18;576
236;15;676
237;2;815
238;0;252
239;7;255
240;12;248
241;15;445
242;4;728
243;15;778
244;18;535
245;1;595
246;19;951
247;2;468
248;7;447
249;10;222
250;17;442
251;0;422
252;13;261
253;1;416
254;2;639
255;14;439
256;7;410
257;11;237
258;3;1119
259;0;568
260;13;446
261;13;447
262;16;616
263;9;240
264;17;435
265;15;772
266;14;412
267;10;572
268;18;590
269;15;585
270;9;218
271;3;392
272;15;444
273;6;610
274;19;237
275;11;257
276;13;568
277;17;237
278;1;643
279;4;455
280;3;261
281;13;237
282;13;448
283;3;387
284;17;422
285;17;413
286;11;391
287;9;276
288;18;270
289;11;260
290;12;724
291;5;226
292;5;253
293;5;263
294;14;212
295;8;467
296;11;424
297;17;246
298;15;603
299;6;232
300;3;781
301;7;255
302;17;270
303;10;253
304;10;249
305;1;255
306;19;457
307;3;776
308;8;240
309;0;938
310;15;246
311;13;609
312;8;474
313;11;385
314;13;413
315;3;260
316;18;424
317;17;389
318;13;901
319;15;424
320;9;640
321;15;218
322;4;261
323;6;452
324;15;792
325;17;625
326;18;416
327;1;778
328;18;248
329;11;260
330;15;605
331;1;449
332;6;471
333;0;635
334;13;229
335;16;282
336;19;247
337;13;728
338;18;608
339;3;259
340;10;421
341;14;256
342;1;397
343;5;439
344;8;251
345;9;426
346;18;258
347;14;260
348;18;415
349;10;725
350;8;822
351;12;423
352;2;225
353;16;263
354;15;241
355;13;271
356;12;259
357;11;579
358;16;570
359;4;245
360;8;391
361;15;383
362;16;250
363;4;388
364;13;609
365;8;252
366;13;459
367;0;595
368;0;594
369;12;610
370;19;615
371;2;224
372;0;246
373;16;416
374;0;429
375;16;418
376;19;221
377;9;604
378;15;252
379;3;239
380;1;706
381;6;416
382;15;252
383;16;407
384;11;230
385;18;628
386;16;246
387;5;465
388;16;230
389;1;259
390;11;227
391;5;231
392;16;592
393;1;281
394;5;443
395;12;473
396;1;440
397;11;1308
398;13;557
399;19;985
400;6;439
401;6;236
402;10;462
403;16;445
404;7;795
405;9;414
406;2;413
407;12;249
408;18;236
409;3;647
410;6;573
411;3;410
412;3;411
413;8;601
414;3;398
415;13;638
416;9;416
417;5;419
418;11;225
419;13;245
420;3;1178
421;7;593
422;17;841
423;0;618
424;0;960
425;6;818
426;4;246
427;8;421
428;16;247
429;17;602
430;3;593
431;14;422
432;9;232
433;7;244
434;18;437
435;15;955
436;0;254
437;13;459
438;6;240
439;11;1164
440;8;221
441;8;602
442;16;387
443;17;248
444;5;457
445;2;445
446;0;257
447;11;237
448;15;738
449;2;420
450;12;440
451;2;568
452;6;604
453;6;422
454;12;262
455;7;233
456;12;608
457;6;416
458;7;611
459;16;252
460;9;422
461;7;454
462;0;604
463;0;394
464;2;597
465;5;408
466;0;600
467;11;454
468;1;592
469;17;618
470;3;741
471;1;306
472;0;246
473;16;751
474;19;744
475;5;226
476;5;651
477;16;605
478;2;400
479;17;242
480;11;753
481;2;590
482;3;437
483;10;453
484;19;433
485;12;409
486;8;417
487;7;425
488;10;425
489;10;974
490;8;429
491;8;250
492;15;253
493;18;435
494;14;252
495;6;436
496;5;429
497;13;251
498;7;231
499;10;263
500;2;234
