ORDER;PRODUCT;QTY;STATION
ORD_1;PROD_28;8;5
ORD_1;PROD_3;7;4
ORD_1;PROD_24;2;2
ORD_1;PROD_28;8;5
ORD_1;PROD_3;7;1
ORD_1;PROD_24;3;3
ORD_1;PROD_44;2;3
ORD_1;PROD_42;9;5
ORD_2;PROD_19;3;5
ORD_2;PROD_5;3;3
ORD_2;PROD_2;2;5
ORD_2;PROD_25;6;2
ORD_2;PROD_15;7;5
ORD_2;PROD_28;4;4
ORD_2;PROD_3;5;4
ORD_2;PROD_24;2;2
ORD_2;PROD_16;2;5
ORD_2;PROD_25;6;1
ORD_2;PROD_1;5;5
ORD_2;PROD_9;7;2
ORD_2;PROD_18;8;2
ORD_2;PROD_6;3;3
ORD_2;PROD_40;5;2
ORD_3;PROD_28;5;2
ORD_3;PROD_3;7;1
ORD_3;PROD_24;9;2
ORD_3;PROD_8;2;1
ORD_3;PROD_9;6;2
ORD_3;PROD_47;2;5
ORD_3;PROD_41;9;1
ORD_3;PROD_12;8;2
ORD_3;PROD_45;3;5
ORD_3;PROD_11;8;5
ORD_3;PROD_27;9;3
ORD_3;PROD_18;6;4
ORD_3;PROD_39;6;2
ORD_4;PROD_17;6;4
ORD_4;PROD_4;5;1
ORD_4;PROD_11;9;3
ORD_4;PROD_9;7;2
ORD_4;PROD_43;8;5
ORD_5;PROD_24;5;2
ORD_5;PROD_41;6;4
ORD_5;PROD_33;9;5
ORD_5;PROD_35;8;1
ORD_5;PROD_31;4;3
ORD_5;PROD_19;7;1
ORD_6;PROD_9;8;5
ORD_6;PROD_11;2;1
ORD_6;PROD_3;1;2
ORD_6;PROD_18;7;3
ORD_6;PROD_25;9;2
ORD_6;PROD_11;8;5
ORD_7;PROD_35;1;5
ORD_7;PROD_31;3;2
ORD_7;PROD_24;1;5
ORD_7;PROD_41;3;1
ORD_7;PROD_33;3;2
ORD_7;PROD_44;2;4
ORD_7;PROD_42;5;3
ORD_7;PROD_10;2;1
ORD_8;PROD_26;2;1
ORD_8;PROD_29;1;4
ORD_8;PROD_18;9;4
ORD_8;PROD_37;4;2
ORD_8;PROD_10;3;5
ORD_8;PROD_24;9;1
ORD_8;PROD_1;8;3
ORD_8;PROD_25;4;5
ORD_8;PROD_38;3;1
ORD_9;PROD_19;7;2
ORD_9;PROD_5;4;3
ORD_9;PROD_2;9;5
ORD_9;PROD_25;8;5
ORD_9;PROD_15;3;1
ORD_9;PROD_22;2;3
ORD_9;PROD_13;2;4
ORD_10;PROD_10;8;4
ORD_10;PROD_23;9;5
ORD_10;PROD_6;9;3
ORD_10;PROD_48;1;1
ORD_10;PROD_4;1;1
ORD_10;PROD_10;3;2
ORD_10;PROD_23;5;2
ORD_10;PROD_6;4;5
ORD_10;PROD_48;2;1
ORD_10;PROD_4;9;2
ORD_10;PROD_22;5;4
ORD_10;PROD_47;8;4
ORD_10;PROD_4;7;2
ORD_11;PROD_35;2;1
ORD_11;PROD_31;4;5
ORD_11;PROD_10;7;2
ORD_11;PROD_23;6;5
ORD_11;PROD_6;6;4
ORD_11;PROD_48;8;1
ORD_11;PROD_4;6;4
ORD_11;PROD_10;4;2
ORD_11;PROD_11;2;3
ORD_11;PROD_32;4;5
ORD_12;PROD_35;7;5
ORD_12;PROD_31;5;3
ORD_12;PROD_24;6;1
ORD_12;PROD_41;3;2
ORD_12;PROD_33;5;3
ORD_12;PROD_39;6;2
