size_n,instance_seed,status,visits,model_obj,warm_start_visits,products_moved,improved_on_warm_start,time_s,budget_s,cap_broken,wl_broken,max_workload,workload_std_dev,num_skus,num_stations,num_orders,note
1000,1001,OK,225497,225497,286824,861,1,617.4,600,0,0,49733.0,5139.589,1000,10,45116,
1000,1002,OK,189332,189332,243615,881,1,619.2,600,0,0,42639.0,5624.38,1000,10,38741,
1000,1003,OK,194909,194909,239364,865,1,609.8,600,0,0,41329.0,3495.761,1000,10,37635,
1000,1004,OK,160477,160477,211110,857,1,609.0,600,0,0,36858.0,3510.842,1000,10,33481,
2000,1001,OK,410253,410253,533942,1822,1,1234.5,1200,0,0,37135.0,2777.566,2000,20,67637,
2000,1002,OK,566463,566463,748257,1841,1,1246.1,1200,0,0,52133.0,5217.724,2000,20,94705,
2000,1003,OK,466354,466354,581089,1827,1,1233.5,1200,0,0,40525.0,3364.198,2000,20,73753,
500,1001,OK,86251,86251,103510,374,1,746.3,300,0,0,52122.0,4540.504,500,5,24044,
500,1002,OK,74589,74589,90086,380,1,579.7,300,0,0,45713.0,4520.54,500,5,20913,
500,1003,OK,68336,68336,79777,388,1,539.2,300,0,0,40446.0,5127.193,500,5,18431,
500,1004,OK,84542,84542,104659,380,1,722.1,300,0,0,52364.0,5504.504,500,5,23792,
500,1005,OK,79949,79949,92476,378,1,589.8,300,0,0,46906.0,5098.521,500,5,21311,
500,1006,OK,61724,61724,71696,359,1,456.6,300,0,0,36335.0,2850.528,500,5,16524,
500,1007,OK,82854,82854,96102,367,1,643.9,300,0,0,49146.0,6367.585,500,5,22332,
500,1008,OK,91757,91757,107138,372,1,835.8,300,0,0,54665.0,7758.075,500,5,24865,
500,1009,OK,75441,75441,88672,373,1,544.7,300,0,0,44846.0,7184.356,500,5,20491,
500,1010,OK,57175,57175,67655,388,1,412.1,300,0,0,34199.0,2249.85,500,5,15621,
50,1001,OK,9108,9108,10697,43,1,120.2,120,0,0,5308.0,450.446,50,5,2482,
50,1002,OK,5891,5891,7502,37,1,128.8,120,0,0,3718.0,412.985,50,5,1697,
50,1003,OK,6540,6540,7763,41,1,121.5,120,0,0,3810.0,448.198,50,5,1768,
50,1004,OK,6957,6957,8289,35,1,125.5,120,0,0,4141.0,365.343,50,5,1930,
50,1005,OK,7131,7131,8241,41,1,125.6,120,0,0,4140.0,446.495,50,5,1880,
50,1006,OK,6867,6867,8033,40,1,120.5,120,0,0,3953.0,587.145,50,5,1814,
50,1007,OK,8814,8814,10569,38,1,119.4,120,0,0,5216.0,316.848,50,5,2421,
50,1008,OK,7947,7947,9070,42,1,124.2,120,0,0,4583.0,693.143,50,5,2109,
50,1009,OK,7706,7706,8966,43,1,119.8,120,0,0,4426.0,688.713,50,5,2033,
50,1010,OK,7931,7931,9218,40,1,119.8,120,0,0,4698.0,472.036,50,5,2158,
50,1011,OK,6301,6301,7147,42,1,119.8,120,0,0,3651.0,373.226,50,5,1661,
50,1012,OK,9527,9527,10792,40,1,130.3,120,0,0,5343.0,330.468,50,5,2478,
