size_n,instance_seed,status,visits,model_obj,warm_start_visits,products_moved,improved_on_warm_start,time_s,budget_s,cap_broken,wl_broken,max_workload,workload_std_dev,num_skus,num_stations,num_orders,note
1000,1001,OK,226143,226143,286824,854,1,623.4,600,0,0,49721.0,4212.82,1000,10,45116,
1000,1002,OK,189835,189835,243615,869,1,619.7,600,0,0,42532.0,4010.095,1000,10,38741,
1000,1003,OK,194977,194977,239364,864,1,618.8,600,0,0,41347.0,4019.484,1000,10,37635,
1000,1004,OK,160802,160802,211110,847,1,617.0,600,0,0,36579.0,3845.742,1000,10,33481,
2000,1001,OK,412969,412969,533942,1829,1,1268.3,1200,0,0,37175.0,3207.829,2000,20,67637,
2000,1002,OK,576006,576006,748257,1814,1,1298.4,1200,0,0,52168.0,4562.202,2000,20,94705,
2000,1003,OK,473097,473097,581089,1822,1,1276.0,1200,0,0,40532.0,3342.542,2000,20,73753,
500,1001,OK,85640,85640,103510,378,1,800.0,300,0,0,52980.0,5739.387,500,5,24044,
500,1002,OK,74652,74652,90086,379,1,597.1,300,0,0,45699.0,4545.94,500,5,20913,
500,1003,OK,68070,68070,79777,392,1,543.1,300,0,0,40329.0,5724.619,500,5,18431,
500,1004,OK,84320,84320,104659,367,1,753.1,300,0,0,52261.0,7700.199,500,5,23792,
500,1005,OK,79331,79331,92476,380,1,617.2,300,0,0,46739.0,5408.029,500,5,21311,
500,1006,OK,61154,61154,71696,368,1,462.2,300,0,0,36336.0,5375.338,500,5,16524,
500,1007,OK,82125,82125,96102,362,1,694.3,300,0,0,49105.0,7224.033,500,5,22332,
500,1008,OK,91871,91871,107138,381,1,867.0,300,0,0,53382.0,3894.538,500,5,24865,
500,1009,OK,75451,75451,88672,382,1,593.2,300,0,0,44659.0,4589.374,500,5,20491,
500,1010,OK,57142,57142,67655,375,1,417.4,300,0,0,34065.0,3661.755,500,5,15621,
50,1001,OK,9108,9108,10697,34,1,120.4,120,0,0,5308.0,454.537,50,5,2482,
50,1002,OK,5891,5891,7502,41,1,121.1,120,0,0,3718.0,397.917,50,5,1697,
50,1003,OK,6540,6540,7763,37,1,129.9,120,0,0,3810.0,448.198,50,5,1768,
50,1004,OK,6957,6957,8289,38,1,124.5,120,0,0,4141.0,365.343,50,5,1930,
50,1005,OK,7120,7120,8241,40,1,127.4,120,0,0,4163.0,599.745,50,5,1880,
50,1006,OK,6889,6889,8033,43,1,127.6,120,0,0,3941.0,344.151,50,5,1814,
50,1007,OK,8813,8813,10569,38,1,119.7,120,0,0,5216.0,360.93,50,5,2421,
50,1008,OK,7921,7921,9070,32,1,126.9,120,0,0,4579.0,753.665,50,5,2109,
50,1009,OK,7659,7659,8966,39,1,121.9,120,0,0,4427.0,711.596,50,5,2033,
50,1010,OK,7931,7931,9218,40,1,125.5,120,0,0,4698.0,743.844,50,5,2158,
50,1011,OK,6294,6294,7147,37,1,126.9,120,0,0,3653.0,622.968,50,5,1661,
50,1012,OK,9527,9527,10792,40,1,120.5,120,0,0,5343.0,330.468,50,5,2478,
