size_n,instance_seed,binary,b_wl,b_moved,b_time,setvar,s_wl,s_moved,s_time,gap
1000,1001,225497,0,861,617.4,225729,0,910,650.9,-0.10277811003459901
1000,1002,189332,0,881,619.2,189703,0,887,630.8,-0.19556886290675424
1000,1003,194909,0,865,609.8,194140,0,909,631.0,0.39610590295662923
1000,1004,160477,0,857,609.0,161182,0,864,626.9,-0.4373937536449479
2000,1001,410253,0,1822,1234.5,408026,0,1896,1297.7,0.5457985520530555
2000,1002,566463,0,1841,1246.1,563309,0,1891,1352.7,0.55990584208667
2000,1003,466354,0,1827,1233.5,463819,0,1908,1310.3,0.5465494082821101
500,1001,86251,0,374,746.3,85800,0,374,763.6,0.5256410256410257
500,1002,74589,0,380,579.7,74785,0,400,589.0,-0.2620846426422411
500,1003,68336,0,388,539.2,68341,0,416,546.8,-0.007316252322910112
500,1004,84542,0,380,722.1,84855,0,380,723.2,-0.3688645336161688
500,1005,79949,0,378,589.8,79878,0,407,611.4,0.0888855504644583
500,1006,61724,0,359,456.6,61501,0,402,462.1,0.36259573015072927
500,1007,82854,0,367,643.9,83108,0,396,667.2,-0.30562641382297734
500,1008,91757,0,372,835.8,92291,0,394,841.8,-0.5786046310041065
500,1009,75441,0,373,544.7,75655,0,409,565.3,-0.28286299649725727
500,1010,57175,0,388,412.1,57049,0,401,418.4,0.22086276709495345
50,1001,9108,0,43,120.2,9105,0,41,120.1,0.032948929159802305
50,1002,5891,0,37,128.8,5891,0,37,124.5,0.0
50,1003,6540,0,41,121.5,6540,0,46,130.8,0.0
50,1004,6957,0,35,125.5,6957,0,42,127.6,0.0
50,1005,7131,0,41,125.6,7129,0,34,130.2,0.028054425585636134
50,1006,6867,0,40,120.5,6875,0,42,123.3,-0.11636363636363636
50,1007,8814,0,38,119.4,8773,0,34,120.5,0.46734298415593295
50,1008,7947,0,42,124.2,7912,0,43,122.8,0.442366026289181
50,1009,7706,0,43,119.8,7674,0,40,847.7,0.41699244201198854
50,1010,7931,0,40,119.8,7994,0,43,120.3,-0.7880910683012259
50,1011,6301,0,42,119.8,6294,0,39,121.4,0.11121703209405784
50,1012,9527,0,40,130.3,9532,0,39,121.8,-0.05245488879563575
