size_n,instance_seed,binary,b_time,b_wl,products_moved,setvar,s_time,gap
1000,1001,226143,623.4,0,854,231578.0,641.6659100055695,-2.3469414193058062
1000,1002,189835,619.7,0,869,192767.0,635.2693381309509,-1.521007226340608
1000,1003,194977,618.8,0,864,199046.0,634.2116746902466,-2.0442510776403444
1000,1004,160802,617.0,0,847,162668.0,630.1412031650543,-1.1471217449037303
2000,1001,412969,1268.3,0,1829,429382.0,1332.37979722023,-3.822470434252018
2000,1002,576006,1298.4,0,1814,600525.0,1385.69339966774,-4.08292743849132
2000,1003,473097,1276.0,0,1822,490382.0,1339.587429523468,-3.5248031126754245
500,1001,85640,800.0,0,378,86253.0,311.1281490325928,-0.7106999176840226
500,1002,74652,597.1,0,379,74609.0,309.226199388504,0.057633797531128954
500,1003,68070,543.1,0,392,68630.0,308.2780590057373,-0.8159696925542765
500,1004,84320,753.1,0,367,84820.0,311.25735569000244,-0.5894836123555766
500,1005,79331,617.2,0,380,80122.0,310.00906252861023,-0.9872444522103792
500,1006,61154,462.2,0,368,61398.0,307.8510231971741,-0.3974070816638978
500,1007,82125,694.3,0,362,82724.0,310.3114821910858,-0.724094579565785
500,1008,91871,867.0,0,381,92417.0,311.21288776397705,-0.5908003938669293
500,1009,75451,593.2,0,382,75894.0,309.66583490371704,-0.5837088570901521
500,1010,57142,417.4,0,375,57201.0,306.94355726242065,-0.10314504991171483
50,1001,9108,120.4,0,34,9105.0,121.06931376457214,0.032948929159802305
50,1002,5891,121.1,0,41,5891.0,119.88446998596191,0.0
50,1003,6540,129.9,0,37,6540.0,120.52778053283691,0.0
50,1004,6957,124.5,0,38,6957.0,120.81374096870422,0.0
50,1005,7120,127.4,0,40,7126.0,120.3379111289978,-0.08419870895312939
50,1006,6889,127.6,0,43,6873.0,119.84753894805908,0.2327949949076095
50,1007,8813,119.7,0,38,8795.0,120.85134315490724,0.20466173962478681
50,1008,7921,126.9,0,32,7946.0,120.11477756500244,-0.31462371004278883
50,1009,7659,121.9,0,39,7670.0,120.1180317401886,-0.14341590612777053
50,1010,7931,125.5,0,40,7931.0,120.62618708610536,0.0
50,1011,6294,126.9,0,37,6306.0,120.10367059707642,-0.19029495718363462
50,1012,9527,120.5,0,40,9528.0,120.11834168434144,-0.010495382031905962
