size_n,instance_seed,method,status,visits,time_s,best_bound,max_workload,workload_std_dev,cap_broken,wl_broken,num_orders,num_skus,num_stations,budget_s
1000,1001,CG-SetPart,OK,226097,599.31,-976568.2,49747.0,5373.973063758322,0,0,45116,1000,10,600
1000,1002,CG-SetPart,OK,188185,599.6,-698204.1,42544.0,4575.860308182495,0,0,38741,1000,10,600
1000,1003,CG-SetPart,OK,194462,599.51,-590381.0,41294.0,3649.485909001431,0,0,37635,1000,10,600
1000,1004,CG-SetPart,OK,161064,599.07,-531459.0,36855.0,3506.0639811617816,0,0,33481,1000,10,600
2000,1001,CG-SetPart,OK,406962,1199.17,-2228652.6,37139.0,3316.211580629318,0,0,67637,2000,20,1200
2000,1002,CG-SetPart,OK,560599,1199.46,-3681185.1,52197.0,6209.728153470166,0,0,94705,2000,20,1200
2000,1003,CG-SetPart,OK,462516,1199.71,-2168997.8,40574.0,3338.9950505354154,0,0,73753,2000,20,1200
500,1001,CG-SetPart,OK,86641,259.06,-171312.2,52962.0,6560.235270171337,0,0,24044,500,5,300
500,1002,CG-SetPart,OK,75074,249.43,-140201.4,46023.0,3445.2172645567653,0,0,20913,500,5,300
500,1003,CG-SetPart,OK,68825,259.66,-111028.4,40465.0,3545.6270869903956,0,0,18431,500,5,300
500,1004,CG-SetPart,OK,84628,264.55,-167384.7,52362.0,5806.981260517378,0,0,23792,500,5,300
500,1005,CG-SetPart,OK,80609,255.81,-150272.4,46802.0,5386.480394469101,0,0,21311,500,5,300
500,1006,CG-SetPart,OK,61647,256.57,-94372.6,36348.0,3948.8879751140066,0,0,16524,500,5,300
500,1007,CG-SetPart,OK,82949,255.99,-163019.3,49042.0,5153.61960567522,0,0,22332,500,5,300
500,1008,CG-SetPart,OK,92873,245.25,-182963.1,54824.0,3669.9052521829494,0,0,24865,500,5,300
500,1009,CG-SetPart,OK,75910,286.28,-142749.2,44863.0,4614.675173834015,0,0,20491,500,5,300
500,1010,CG-SetPart,OK,57658,228.66,-87585.1,33997.0,2243.5325181507847,0,0,15621,500,5,300
50,1001,CG-SetPart,OK,9143,86.08,3946.5,5297.0,366.79770991651515,0,0,2482,50,5,120
50,1002,CG-SetPart,OK,5906,86.27,3507.1,3707.0,405.5945759006153,0,0,1697,50,5,120
50,1003,CG-SetPart,OK,6598,85.62,3492.9,3823.0,496.5040181106292,0,0,1768,50,5,120
50,1004,CG-SetPart,OK,6967,86.03,4225.0,4135.0,358.56302096005385,0,0,1930,50,5,120
50,1005,CG-SetPart,OK,7174,85.05,3055.8,4123.0,282.9138384738364,0,0,1880,50,5,120
50,1006,CG-SetPart,OK,6927,86.44,2772.2,3973.0,356.3012208791881,0,0,1814,50,5,120
50,1007,CG-SetPart,OK,8827,85.99,2587.3,5230.0,640.8015605474131,0,0,2421,50,5,120
50,1008,CG-SetPart,OK,8002,85.43,3169.3,4583.0,607.150261467456,0,0,2109,50,5,120
50,1009,CG-SetPart,OK,7732,88.86,2678.8,4435.0,536.6188964246414,0,0,2033,50,5,120
50,1010,CG-SetPart,OK,7971,85.11,3011.5,4698.0,637.5363205339755,0,0,2158,50,5,120
50,1011,CG-SetPart,OK,6286,85.24,2948.2,3652.0,551.9958695497638,0,0,1661,50,5,120
50,1012,CG-SetPart,OK,9545,85.26,4349.4,5432.0,340.0938693949069,0,0,2478,50,5,120
