size_n,instance_seed,method,status,visits,time_s,best_bound,max_workload,workload_std_dev,cap_broken,wl_broken,num_orders,num_skus,num_stations,budget_s
50,1001,CG-SetPart,OK,9143,87.03,3946.5,5297.0,366.79770991651515,0,0,2482,50,5,120
50,1002,CG-SetPart,OK,5906,85.38,3507.2,3707.0,405.5945759006153,0,0,1697,50,5,120
50,1003,CG-SetPart,OK,6598,85.19,3185.5,3823.0,496.5040181106292,0,0,1768,50,5,120
50,1004,CG-SetPart,OK,6967,85.44,4369.4,4135.0,358.56302096005385,0,0,1930,50,5,120
50,1005,CG-SetPart,OK,7207,85.38,2896.3,4162.0,588.2498108796976,0,0,1880,50,5,120
500,1001,CG-SetPart,OK,86600,500.61,-128602.7,52978.0,6306.072787401046,0,0,24044,500,5,600
50,1006,CG-SetPart,OK,6927,86.58,3325.4,3973.0,356.3012208791881,0,0,1814,50,5,120
50,1007,CG-SetPart,OK,8827,86.82,2211.6,5230.0,640.8015605474131,0,0,2421,50,5,120
1000,1001,CG-SetPart,OK,226333,599.31,-922649.8,49554.0,4714.588856941822,0,0,45116,1000,10,600
50,1008,CG-SetPart,OK,7979,85.35,2941.6,4583.0,780.4743685733696,0,0,2109,50,5,120
50,1009,CG-SetPart,OK,7743,86.02,2533.1,4427.0,414.90895386819506,0,0,2033,50,5,120
50,1010,CG-SetPart,OK,7971,86.62,2674.1,4698.0,637.5363205339755,0,0,2158,50,5,120
50,1011,CG-SetPart,OK,6286,85.29,3106.8,3652.0,551.9958695497638,0,0,1661,50,5,120
500,1002,CG-SetPart,OK,75024,459.4,-93984.4,45378.0,3218.0091360964157,0,0,20913,500,5,600
50,1012,CG-SetPart,OK,9545,85.34,4562.6,5432.0,340.0938693949069,0,0,2478,50,5,120
1000,1002,CG-SetPart,OK,188260,599.49,-761598.2,42596.0,4562.44758435645,0,0,38741,1000,10,600
2000,1001,CG-SetPart,OK,405554,1199.19,-2319893.7,37024.0,2906.1252807647506,0,0,67637,2000,20,1200
500,1003,CG-SetPart,OK,68470,489.45,-36178.3,40433.0,4339.252313475215,0,0,18431,500,5,600
1000,1003,CG-SetPart,OK,194425,599.41,-753164.1,41249.0,3531.9604188042654,0,0,37635,1000,10,600
500,1004,CG-SetPart,OK,84973,488.92,-128036.5,52347.0,5547.360287560202,0,0,23792,500,5,600
1000,1004,CG-SetPart,OK,160132,599.53,-554095.7,36848.0,3624.9174942334894,0,0,33481,1000,10,600
2000,1002,CG-SetPart,OK,558724,1199.85,-4582136.9,52105.0,5858.0087777332665,0,0,94705,2000,20,1200
500,1005,CG-SetPart,OK,80074,494.51,-96850.6,46878.0,5656.603242229386,0,0,21311,500,5,600
500,1006,CG-SetPart,OK,61703,465.76,-40428.8,36346.0,3723.091811921914,0,0,16524,500,5,600
500,1007,CG-SetPart,OK,82941,463.2,-92601.4,49144.0,5032.3330811861015,0,0,22332,500,5,600
2000,1003,CG-SetPart,OK,460826,1199.17,-2305528.3,40534.0,2937.5793516941803,0,0,73753,2000,20,1200
500,1008,CG-SetPart,OK,92890,468.18,-102965.4,54823.0,3656.6400643213437,0,0,24865,500,5,600
500,1009,CG-SetPart,OK,76015,482.47,-51042.9,44851.0,4331.390049395228,0,0,20491,500,5,600
500,1010,CG-SetPart,OK,57554,450.42,-44035.0,34292.0,2632.0131002713492,0,0,15621,500,5,600
