size,seed,visits,time_s,cap_broken,wl_broken
1000,1001,286824,0.008,0,0
1000,1002,243615,0.006,0,0
1000,1003,239364,0.002,0,0
1000,1004,211110,0.004,0,0
2000,1001,533942,0.021,0,0
2000,1002,748257,0.02,0,0
2000,1003,581089,0.019,0,0
500,1001,103510,0.002,0,0
500,1002,90086,0.008,0,0
500,1003,79777,0.002,0,0
500,1004,104659,0.002,0,0
500,1005,92476,0.002,0,0
500,1006,71696,0.0,0,0
500,1007,96102,0.0,0,0
500,1008,107138,0.002,0,0
500,1009,88672,0.002,0,0
500,1010,67655,0.002,0,0
50,1001,10697,0.0,0,0
50,1002,7502,0.001,0,0
50,1003,7763,0.0,0,0
50,1004,8289,0.0,0,0
50,1005,8241,0.0,0,0
50,1006,8033,0.0,0,0
50,1007,10569,0.0,0,0
50,1008,9070,0.0,0,0
50,1009,8966,0.0,0,0
50,1010,9218,0.001,0,0
50,1011,7147,0.0,0,0
50,1012,10792,0.0,0,0
