size_n,pair,n_shared,mean_diff_visits,diff_ci95_lo,diff_ci95_hi,wilcoxon_p,paired_t_p,significant,ci_overlap_diagnostic,note
50,Heuristic-SA-C,12,43.416666666666664,-157.37321580121966,244.20654913455297,0.38037109375,0.6434448083597883,False,True,
50,Heuristic-GA,12,-67.25,-253.9233255262539,119.4233255262539,0.85009765625,0.4445927207209607,False,True,
50,SA-C-GA,12,-110.66666666666667,-152.461097782212,-68.87223555112135,0.00048828125,0.00011451457185098658,True,True,
500,Heuristic-SA-C,10,-9717.3,-11520.112066615524,-7914.487933384475,0.001953125,6.719635768673192e-07,True,True,
500,Heuristic-GA,10,-5761.8,-6897.325074422529,-4626.274925577472,0.001953125,1.1232146634745956e-06,True,True,
500,SA-C-GA,10,3955.5,3156.7948932838485,4754.205106716152,0.001953125,1.3795308852851428e-06,True,True,
1000,Heuristic-SA-C,4,-45295.75,-56584.72317801618,-34006.77682198382,0.125,0.0010362677116410196,NA,True,
1000,Heuristic-GA,4,-36388.25,-46473.8691674116,-26302.630832588402,0.125,0.0014180059964755804,NA,True,
1000,SA-C-GA,4,8907.5,3985.8322125477134,13829.167787452287,0.125,0.010399866994301935,NA,True,
2000,Heuristic-SA-C,3,-130963.0,-222036.85822201875,-39889.14177798125,0.25,0.025141702975878095,NA,True,
2000,Heuristic-GA,3,-125138.0,-215757.90321635996,-34518.09678364005,0.25,0.02717725201116918,NA,True,
2000,SA-C-GA,3,5825.0,2211.462416934067,9438.537583065932,0.25,0.020160918770481786,NA,True,
