size_n,pair,n_shared,mean_diff_visits,diff_ci95_lo,diff_ci95_hi,wilcoxon_p,paired_t_p,significant,ci_overlap_diagnostic,note
50,Heuristic-SA-C,12,43.416666666666664,-157.37321580121966,244.20654913455297,0.38037109375,0.6434448083597883,False,True,
50,Heuristic-GA,12,-67.25,-253.9233255262539,119.4233255262539,0.85009765625,0.4445927207209607,False,True,
50,SA-C-GA,12,-110.66666666666667,-152.461097782212,-68.87223555112135,0.00048828125,0.00011451457185098658,True,True,
50,Hexaly-GA,12,-210.41666666666666,-269.78856098516883,-151.04477234816449,0.00048828125,8.299329155390291e-06,True,True,
50,Hexaly-SA-C,12,-99.75,-135.90179415668518,-63.59820584331481,0.00048828125,8.041169736899572e-05,True,True,
50,Hexaly-Heuristic,12,-143.16666666666666,-366.8343265652328,80.50099323189951,0.17626953125,0.18652285876729358,False,True,
500,Heuristic-SA-C,10,-9717.3,-11520.112066615524,-7914.487933384475,0.001953125,6.719635768673192e-07,True,True,
500,Heuristic-GA,10,-5761.8,-6897.325074422529,-4626.274925577472,0.001953125,1.1232146634745956e-06,True,True,
500,SA-C-GA,10,3955.5,3156.7948932838485,4754.205106716152,0.001953125,1.3795308852851428e-06,True,True,
500,Hexaly-GA,10,-8375.9,-9634.131004010302,-7117.6689959896985,0.001953125,1.0903325336194749e-07,True,True,
500,Hexaly-SA-C,10,-12331.4,-14136.801420805697,-10525.998579194302,0.001953125,8.718789457414691e-08,True,True,
500,Hexaly-Heuristic,10,-2614.1,-3082.3501946006318,-2145.849805399368,0.001953125,4.977372982505936e-07,True,True,
1000,Heuristic-SA-C,4,-45295.75,-56584.72317801618,-34006.77682198382,0.125,0.0010362677116410196,NA / descriptive,True,
1000,Heuristic-GA,4,-36388.25,-46473.8691674116,-26302.630832588402,0.125,0.0014180059964755804,NA / descriptive,True,
1000,SA-C-GA,4,8907.5,3985.8322125477134,13829.167787452287,0.125,0.010399866994301935,NA / descriptive,True,
1000,Hexaly-GA,4,-40213.0,-50635.24401316258,-29790.75598683742,0.125,0.0011633178648608276,NA / descriptive,True,
1000,Hexaly-SA-C,4,-49120.5,-59460.24980237373,-38780.75019762627,0.125,0.0006282480692149846,NA / descriptive,True,
1000,Hexaly-Heuristic,4,-3824.75,-6875.611678132484,-773.8883218675164,0.125,0.02819780844035718,NA / descriptive,True,
2000,Heuristic-SA-C,3,-130963.0,-222036.85822201875,-39889.14177798125,0.25,0.025141702975878095,NA / descriptive,True,
2000,Heuristic-GA,3,-125138.0,-215757.90321635996,-34518.09678364005,0.25,0.02717725201116918,NA / descriptive,True,
2000,SA-C-GA,3,5825.0,2211.462416934067,9438.537583065932,0.25,0.020160918770481786,NA / descriptive,True,
2000,Hexaly-GA,3,-121296.66666666667,-215645.40134630926,-26947.931987024087,0.25,0.03116192168826786,NA / descriptive,True,
2000,Hexaly-SA-C,3,-127121.66666666667,-222355.5941710048,-31887.739162328537,0.25,0.029003545087681798,NA / descriptive,True,
2000,Hexaly-Heuristic,3,3841.3333333333335,-8099.534572359651,15782.201239026319,0.5,0.3005308449971238,NA / descriptive,True,
