size_n,instance_seed,config_id,hash_seed,min_freq_preproc,min_freq,ratio_to_keep,mnoppc,visits,time_s,cap_broken,wl_broken,n_pstar,n_pairs_kept,n_corr_communities,n_assigned,community_size_max,status
50,1001,base,0,2,2,0.1,5,9504.0,1.2539103031158447,0.0,1.0,50.0,1012.0,10.0,50.0,5.0,OK
50,1001,corner_tight,0,4,4,0.2,10,9084.0,0.979987621307373,0.0,2.0,50.0,296.0,5.0,50.0,10.0,OK
50,1001,base,1,2,2,0.1,5,9504.0,1.1374802589416504,0.0,1.0,50.0,1012.0,10.0,50.0,5.0,OK
50,1002,base,0,2,2,0.1,5,5824.0,0.715447187423706,0.0,2.0,50.0,994.0,10.0,50.0,5.0,OK
50,1002,corner_tight,0,4,4,0.2,10,5800.0,0.6564877033233643,0.0,2.0,50.0,348.0,5.0,50.0,10.0,OK
50,1002,base,1,2,2,0.1,5,5824.0,0.812396764755249,0.0,2.0,50.0,994.0,10.0,50.0,5.0,OK
50,1003,base,0,2,2,0.1,5,6856.0,0.9662477970123291,0.0,2.0,50.0,1050.0,10.0,50.0,5.0,OK
50,1003,corner_tight,0,4,4,0.2,10,6638.0,0.9463446140289307,0.0,1.0,50.0,343.0,5.0,50.0,10.0,OK
50,1003,base,1,2,2,0.1,5,6856.0,0.9937832355499268,0.0,2.0,50.0,1050.0,10.0,50.0,5.0,OK
50,1004,base,0,2,2,0.1,5,6622.0,0.9869921207427979,0.0,3.0,50.0,975.0,10.0,50.0,5.0,OK
50,1004,corner_tight,0,4,4,0.2,10,6548.0,0.9427707195281982,0.0,2.0,50.0,379.0,3.0,50.0,10.0,OK
50,1004,base,1,2,2,0.1,5,6622.0,1.1447675228118896,0.0,3.0,50.0,975.0,10.0,50.0,5.0,OK
50,1005,base,0,2,2,0.1,5,7549.0,0.8603827953338623,0.0,2.0,50.0,1051.0,10.0,50.0,5.0,OK
50,1005,corner_tight,0,4,4,0.2,10,7314.0,0.9625399112701416,0.0,2.0,50.0,210.0,8.0,50.0,10.0,OK
50,1005,base,1,2,2,0.1,5,7549.0,0.9143106937408447,0.0,2.0,50.0,1051.0,10.0,50.0,5.0,OK
50,1006,base,0,2,2,0.1,5,7126.0,1.06516695022583,0.0,2.0,50.0,1068.0,10.0,50.0,5.0,OK
