size_n,instance_seed,status,visits,model_obj,warm_start_visits,products_moved,improved_on_warm_start,time_s,budget_s,cap_broken,wl_broken,max_workload,workload_std_dev,num_skus,num_stations,num_orders,note
50,1001,OK,9105,9105,10697,41,1,120.1,120,0,0,5308.0,460.68,50,5,2482,
50,1002,OK,5891,5891,7502,37,1,124.5,120,0,0,3718.0,397.917,50,5,1697,
1000,1001,OK,225729,225729,286824,910,1,650.9,600,0,0,49734.0,6199.178,1000,10,45116,
1000,1002,OK,189703,189703,243615,887,1,630.8,600,0,0,42648.0,4475.199,1000,10,38741,
1000,1003,OK,194140,194140,239364,909,1,631.0,600,0,0,41252.0,3480.485,1000,10,37635,
1000,1004,OK,161182,161182,211110,864,1,626.9,600,0,0,36827.0,4652.018,1000,10,33481,
2000,1001,OK,408026,408026,533942,1896,1,1297.7,1200,0,0,37185.0,3233.118,2000,20,67637,
2000,1002,OK,563309,563309,748257,1891,1,1352.7,1200,0,0,52103.0,5494.707,2000,20,94705,
2000,1003,OK,463819,463819,581089,1908,1,1310.3,1200,0,0,40562.0,3299.603,2000,20,73753,
500,1001,OK,85800,85800,103510,374,1,763.6,300,0,0,52917.0,5953.924,500,5,24044,
500,1002,OK,74785,74785,90086,400,1,589.0,300,0,0,45671.0,5869.39,500,5,20913,
500,1003,OK,68341,68341,79777,416,1,546.8,300,0,0,40463.0,3951.96,500,5,18431,
500,1004,OK,84855,84855,104659,380,1,723.2,300,0,0,52334.0,6098.991,500,5,23792,
500,1005,OK,79878,79878,92476,407,1,611.4,300,0,0,46910.0,5826.238,500,5,21311,
500,1006,OK,61501,61501,71696,402,1,462.1,300,0,0,36338.0,4384.556,500,5,16524,
500,1007,OK,83108,83108,96102,396,1,667.2,300,0,0,49030.0,6020.26,500,5,22332,
500,1008,OK,92291,92291,107138,394,1,841.8,300,0,0,54719.0,6006.277,500,5,24865,
500,1009,OK,75655,75655,88672,409,1,565.3,300,0,0,44872.0,4567.462,500,5,20491,
500,1010,OK,57049,57049,67655,401,1,418.4,300,0,0,34212.0,4393.295,500,5,15621,
50,1003,OK,6540,6540,7763,46,1,130.8,120,0,0,3810.0,448.198,50,5,1768,
50,1004,OK,6957,6957,8289,42,1,127.6,120,0,0,4141.0,365.343,50,5,1930,
50,1005,OK,7129,7129,8241,34,1,130.2,120,0,0,4160.0,661.115,50,5,1880,
50,1006,OK,6875,6875,8033,42,1,123.3,120,0,0,3930.0,343.434,50,5,1814,
50,1007,OK,8773,8773,10569,34,1,120.5,120,0,0,5231.0,653.983,50,5,2421,
50,1008,OK,7912,7912,9070,43,1,122.8,120,0,0,4571.0,741.337,50,5,2109,
50,1009,OK,7674,7674,8966,40,1,847.7,120,0,0,4414.0,688.481,50,5,2033,
50,1010,OK,7994,7994,9218,43,1,120.3,120,0,0,4698.0,680.567,50,5,2158,
50,1011,OK,6294,6294,7147,39,1,121.4,120,0,0,3634.0,473.804,50,5,1661,
50,1012,OK,9532,9532,10792,39,1,121.8,120,0,0,5370.0,312.622,50,5,2478,
