size_n,instance_seed,status,visits,model_obj,warm_start_visits,products_moved,improved_on_warm_start,time_s,budget_s,cap_broken,wl_broken,max_workload,workload_std_dev,num_skus,num_stations,num_orders,note
1000,1001,OK,224885,224885,286824,901,1,661.3,600,0,0,49723.0,4016.366,1000,10,45116,
1000,1002,OK,188357,188357,243615,855,1,653.7,600,0,0,42641.0,5558.633,1000,10,38741,
1000,1003,OK,194947,194947,239364,893,1,652.8,600,0,0,41302.0,3584.871,1000,10,37635,
1000,1004,OK,160913,160913,211110,850,1,646.0,600,0,0,36846.0,3196.099,1000,10,33481,
2000,1001,OK,412372,412372,533942,1905,1,1369.3,1200,0,0,37172.0,3225.268,2000,20,67637,
2000,1002,OK,571164,571164,748257,1896,1,1446.4,1200,0,0,52121.0,4287.967,2000,20,94705,
2000,1003,OK,470068,470068,581089,1895,1,1384.1,1200,0,0,40496.0,2352.147,2000,20,73753,
500,1001,OK,85671,85671,103510,380,1,831.9,300,0,0,52959.0,5962.58,500,5,24044,
500,1002,OK,74372,74372,90086,404,1,616.2,300,0,0,45900.0,4982.898,500,5,20913,
500,1003,OK,68345,68345,79777,417,1,584.2,300,0,0,40463.0,3977.419,500,5,18431,
500,1004,OK,84227,84227,104659,406,1,800.8,300,0,0,52137.0,8673.656,500,5,23792,
500,1005,OK,79953,79953,92476,401,1,677.0,300,0,0,46914.0,5603.441,500,5,21311,
500,1006,OK,61509,61509,71696,405,1,509.3,300,0,0,36369.0,4365.611,500,5,16524,
500,1007,OK,83188,83188,96102,418,1,743.1,300,0,0,49134.0,4771.186,500,5,22332,
500,1008,OK,92852,92852,107138,399,1,916.2,300,0,0,54812.0,5108.884,500,5,24865,
500,1009,OK,76027,76027,88672,403,1,625.4,300,0,0,44697.0,6476.68,500,5,20491,
500,1010,OK,57154,57154,67655,401,1,444.9,300,0,0,34177.0,5286.59,500,5,15621,
50,1001,OK,9105,9105,10697,41,1,121.2,120,0,0,5308.0,460.68,50,5,2482,
50,1002,OK,5891,5891,7502,37,1,123.9,120,0,0,3718.0,397.917,50,5,1697,
50,1003,OK,6540,6540,7763,46,1,126.6,120,0,0,3810.0,448.198,50,5,1768,
50,1004,OK,6957,6957,8289,34,1,128.4,120,0,0,4141.0,365.343,50,5,1930,
50,1005,OK,7129,7129,8241,34,1,143.8,120,0,0,4160.0,661.115,50,5,1880,
50,1006,OK,6870,6870,8033,42,1,126.9,120,0,0,3955.0,477.432,50,5,1814,
50,1007,OK,8773,8773,10569,45,1,120.7,120,0,0,5216.0,644.177,50,5,2421,
50,1008,OK,7964,7964,9070,37,1,120.8,120,0,0,4584.0,774.26,50,5,2109,
50,1009,OK,7679,7679,8966,45,1,126.3,120,0,0,4439.0,762.293,50,5,2033,
50,1010,OK,7937,7937,9218,40,1,122.5,120,0,0,4691.0,477.8,50,5,2158,
50,1011,OK,6288,6288,7147,42,1,136.6,120,0,0,3634.0,474.988,50,5,1661,
50,1012,OK,9527,9527,10792,44,1,121.1,120,0,0,5361.0,311.728,50,5,2478,
