size_n,instance_seed,binary,binary_t,binary_wl,setvar,setvar_t,setvar_wl,setvar_ms,setvar_ms_t,cg,heur,heur_t
1000,1001,226143,623.4,0,224885,661.3,0,231578.0,641.6659100055695,226097,226369.0,54.75316143035889
1000,1002,189835,619.7,0,188357,653.7,0,192767.0,635.2693381309509,188185,190602.0,57.8074996471405
1000,1003,194977,618.8,0,194947,652.8,0,199046.0,634.2116746902466,194462,199463.0,47.86033844947815
1000,1004,160802,617.0,0,160913,646.0,0,162668.0,630.1412031650543,161064,163099.0,55.46435832977295
2000,1001,412969,1268.3,0,412372,1369.3,0,429382.0,1332.37979722023,406962,408052.0,83.35521721839905
2000,1002,576006,1298.4,0,571164,1446.4,0,600525.0,1385.69339966774,560599,555991.0,162.16571044921875
2000,1003,473097,1276.0,0,470068,1384.1,0,490382.0,1339.587429523468,462516,468836.0,110.92632913589478
500,1001,85640,800.0,0,85671,831.9,0,86253.0,311.1281490325928,86641,87367.0,25.96449422836304
500,1002,74652,597.1,0,74372,616.2,0,74609.0,309.226199388504,75074,76628.0,27.88566017150879
500,1003,68070,543.1,0,68345,584.2,0,68630.0,308.2780590057373,68825,69954.0,22.04534673690796
500,1004,84320,753.1,0,84227,800.8,0,84820.0,311.25735569000244,84628,86967.0,31.77719497680664
500,1005,79331,617.2,0,79953,677.0,0,80122.0,310.00906252861023,80609,82050.0,28.47081732749939
500,1006,61154,462.2,0,61509,509.3,0,61398.0,307.8510231971741,61647,63138.0,20.128087282180783
500,1007,82125,694.3,0,83188,743.1,0,82724.0,310.3114821910858,82949,84153.0,24.416227102279663
500,1008,91871,867.0,0,92852,916.2,0,92417.0,311.21288776397705,92873,94281.0,27.654778003692627
500,1009,75451,593.2,0,76027,625.4,0,75894.0,309.66583490371704,75910,78987.0,26.94356393814087
500,1010,57142,417.4,0,57154,444.9,0,57201.0,306.94355726242065,57658,58447.0,16.172013759613037
50,1001,9108,120.4,0,9105,121.2,0,9105.0,121.06931376457214,9143,9881.0,5.854767084121704
50,1002,5891,121.1,0,5891,123.9,0,5891.0,119.88446998596191,5906,6178.0,3.9022915363311768
50,1003,6540,129.9,0,6540,126.6,0,6540.0,120.52778053283691,6598,7082.0,2.5185933113098145
50,1004,6957,124.5,0,6957,128.4,0,6957.0,120.81374096870422,6967,7485.0,3.080249547958374
50,1005,7120,127.4,0,7129,143.8,0,7126.0,120.3379111289978,7174,7688.0,2.1618101596832275
50,1006,6889,127.6,0,6870,126.9,0,6873.0,119.84753894805908,6927,7255.0,3.208195447921753
50,1007,8813,119.7,0,8773,120.7,0,8795.0,120.85134315490724,8827,9422.0,4.895698070526123
50,1008,7921,126.9,0,7964,120.8,0,7946.0,120.11477756500244,8002,8364.0,4.254650831222534
50,1009,7659,121.9,0,7679,126.3,0,7670.0,120.1180317401886,7732,8428.0,4.472727537155151
50,1010,7931,125.5,0,7937,122.5,0,7931.0,120.62618708610536,7971,8403.0,4.90694785118103
50,1011,6294,126.9,0,6288,136.6,0,6306.0,120.10367059707642,6286,6718.0,2.6182761192321777
50,1012,9527,120.5,0,9527,121.1,0,9528.0,120.11834168434144,9545,10797.0,3.801420211791992
