size_n,instance_seed,config_id,min_freq_preproc,min_freq,ratio_to_keep,mnoppc,visits,time_s,cap_broken,wl_broken,n_pstar,n_pairs_kept,n_corr_communities,n_assigned,community_size_max,status
50,1001,base,2,2,0.1,5,9504.0,2.71755313873291,0.0,1.0,50.0,1012.0,10.0,50.0,5.0,OK
50,1002,base,2,2,0.1,5,5824.0,1.8037126064300537,0.0,2.0,50.0,994.0,10.0,50.0,5.0,OK
50,1003,base,2,2,0.1,5,6856.0,1.7157535552978516,0.0,2.0,50.0,1050.0,10.0,50.0,5.0,OK
50,1004,base,2,2,0.1,5,6622.0,2.428168773651123,0.0,3.0,50.0,975.0,10.0,50.0,5.0,OK
50,1005,base,2,2,0.1,5,7549.0,3.033440589904785,0.0,2.0,50.0,1051.0,10.0,50.0,5.0,OK
50,1006,base,2,2,0.1,5,7126.0,3.969149589538574,0.0,2.0,50.0,1068.0,10.0,50.0,5.0,OK
50,1007,base,2,2,0.1,5,9336.0,2.7123804092407227,0.0,2.0,50.0,1084.0,10.0,50.0,5.0,OK
50,1008,base,2,2,0.1,5,8030.0,3.7300055027008057,0.0,3.0,50.0,1020.0,10.0,50.0,5.0,OK
50,1009,base,2,2,0.1,5,8164.0,2.9703896045684814,0.0,2.0,50.0,1049.0,10.0,50.0,5.0,OK
50,1010,base,2,2,0.1,5,7996.0,2.7503092288970947,0.0,2.0,50.0,980.0,10.0,50.0,5.0,OK
50,1011,base,2,2,0.1,5,6390.0,2.099928855895996,0.0,2.0,50.0,1029.0,10.0,50.0,5.0,OK
50,1012,base,2,2,0.1,5,8856.0,3.502885580062866,0.0,2.0,50.0,953.0,10.0,50.0,5.0,OK
500,1001,base,5,10,0.1,15,88421.0,32.39236927032471,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1002,base,5,10,0.1,15,77167.0,29.434130668640137,0.0,1.0,500.0,369.0,38.0,500.0,15.0,OK
500,1003,base,5,10,0.1,15,70851.0,38.301894664764404,0.0,0.0,500.0,837.0,49.0,500.0,15.0,OK
500,1004,base,5,10,0.1,15,85794.0,31.757120847702026,0.0,1.0,500.0,279.0,23.0,500.0,15.0,OK
500,1005,base,5,10,0.1,15,82337.0,28.705730676651,0.0,0.0,500.0,841.0,43.0,500.0,15.0,OK
500,1006,base,5,10,0.1,15,64054.0,22.49068570137024,0.0,1.0,500.0,1066.0,46.0,500.0,15.0,OK
500,1007,base,5,10,0.1,15,85494.0,30.78273892402649,0.0,2.0,500.0,806.0,40.0,500.0,15.0,OK
500,1008,base,5,10,0.1,15,95606.0,28.066127061843872,0.0,1.0,500.0,892.0,46.0,500.0,15.0,OK
500,1009,base,5,10,0.1,15,77946.0,22.52742338180542,0.0,1.0,500.0,913.0,41.0,500.0,15.0,OK
500,1010,base,5,10,0.1,15,58836.0,15.949463367462158,0.0,1.0,500.0,594.0,40.0,500.0,15.0,OK
1000,1001,base,10,20,0.1,15,230418.0,70.28162717819214,0.0,2.0,1000.0,1136.0,75.0,1000.0,15.0,OK
1000,1002,base,10,20,0.1,15,192032.0,42.21788716316223,0.0,3.0,1000.0,839.0,63.0,1000.0,15.0,OK
1000,1003,base,10,20,0.1,15,200321.0,41.17993354797363,0.0,3.0,1000.0,1664.0,81.0,1000.0,15.0,OK
1000,1004,base,10,20,0.1,15,162664.0,40.13869380950928,0.0,3.0,1000.0,574.0,62.0,1000.0,15.0,OK
2000,1001,base,20,40,0.1,15,411930.0,66.75329446792603,0.0,6.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1002,base,20,40,0.1,15,565218.0,90.20921015739441,0.0,6.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1003,base,20,40,0.1,15,472883.0,78.17948341369629,0.0,5.0,2000.0,3360.0,170.0,2000.0,15.0,OK
