instance,size_n,instance_seed,num_orders,num_skus,num_supports,multi_item_orders,linking_rows
syn_1000sku_seed1001,1000,1001,45116,1000,44223,45116,445187
syn_1000sku_seed1002,1000,1002,38741,1000,37739,38741,379986
syn_1000sku_seed1003,1000,1003,37635,1000,37095,37635,371363
syn_1000sku_seed1004,1000,1004,33481,1000,32743,33481,328837
syn_2000sku_seed1001,2000,1001,67637,2000,66425,67637,668141
syn_2000sku_seed1002,2000,1002,94705,2000,92738,94705,935721
syn_2000sku_seed1003,2000,1003,73753,2000,72711,73753,730589
syn_500sku_seed1001,500,1001,24044,500,23386,24044,234710
syn_500sku_seed1002,500,1002,20913,500,20311,20913,203396
syn_500sku_seed1003,500,1003,18431,500,18076,18431,180308
syn_500sku_seed1004,500,1004,23792,500,22857,23792,229105
syn_500sku_seed1005,500,1005,21311,500,20983,21311,209451
syn_500sku_seed1006,500,1006,16524,500,16268,16524,162313
syn_500sku_seed1007,500,1007,22332,500,21942,22332,218961
syn_500sku_seed1008,500,1008,24865,500,24393,24865,244311
syn_500sku_seed1009,500,1009,20491,500,20079,20491,199782
syn_500sku_seed1010,500,1010,15621,500,15371,15621,152873
syn_50sku_seed1001,50,1001,2482,50,2192,2482,20372
syn_50sku_seed1002,50,1002,1697,50,1398,1697,13161
syn_50sku_seed1003,50,1003,1768,50,1640,1768,15070
syn_50sku_seed1004,50,1004,1930,50,1557,1930,14685
syn_50sku_seed1005,50,1005,1880,50,1784,1880,16619
syn_50sku_seed1006,50,1006,1814,50,1727,1814,15953
syn_50sku_seed1007,50,1007,2421,50,2242,2421,20833
syn_50sku_seed1008,50,1008,2109,50,1976,2109,18012
syn_50sku_seed1009,50,1009,2033,50,1912,2033,17612
syn_50sku_seed1010,50,1010,2158,50,1948,2158,17962
syn_50sku_seed1011,50,1011,1661,50,1599,1661,14674
syn_50sku_seed1012,50,1012,2478,50,1982,2478,18526
industrial_solver(BERNER pruned),,,83183,15975,82224,83179,1055672
industrial_full(BERNER all orders),,,284862,21874,167056,178676,1344170
