size_n,instance_seed,status,converged,stop_reason,z_rmp_last,rc_lb_last,pricing_optimal_last,best_lb,visits,gap_to_lb_pct,n_stations,iterations,n_exact_pricing,cg_deadline_s,cg_loop_elapsed_s,total_elapsed_s,n_orders,n_supports,budget_s
500,1001,OK,False,deadline,86806.0,-51936.1,True,-171312.2,86641,297.7,5,36,36,210.0,216.7,258.3,24044,23386,300
500,1002,OK,False,deadline,75532.0,-44362.6,True,-144021.0,75264,291.4,5,39,39,210.0,214.9,238.5,20913,20311,300
500,1003,OK,False,deadline,69040.0,-35474.5,True,-108332.4,68751,257.6,5,42,42,210.0,214.3,295.6,18431,18076,300
500,1004,OK,False,deadline,85124.0,-54610.2,False,-168980.5,84605,299.7,5,36,36,210.0,215.4,272.3,23792,22857,300
500,1005,OK,False,deadline,80886.0,-49313.2,True,-153403.9,80621,290.3,5,36,36,210.0,212.8,252.0,21311,20983,300
500,1006,OK,False,deadline,61937.0,-37597.9,True,-108630.6,61699,276.1,5,43,43,210.0,211.2,257.9,16524,16268,300
500,1007,OK,False,deadline,83172.0,-52295.1,True,-170170.3,82987,305.1,5,37,37,210.0,213.9,258.3,22332,21942,300
500,1008,OK,False,deadline,92971.0,-91160.3,False,-178926.1,92737,292.9,5,35,35,210.0,212.2,245.9,24865,24393,300
500,1009,OK,False,deadline,76312.0,-41995.6,True,-131895.5,75999,273.5,5,39,39,210.0,210.4,264.7,20491,20079,300
500,1010,OK,False,deadline,57728.0,-33594.0,True,-85796.0,57663,248.8,5,45,45,210.0,214.6,246.6,15621,15371,300
50,1001,OK,False,deadline,9143.0,-1496.5,False,3946.5,9143,56.8,5,15,15,84.0,86.7,86.9,2482,2192,120
50,1002,OK,False,deadline,5906.0,-695.5,False,3507.2,5906,40.6,5,19,19,84.0,85.2,85.4,1697,1398,120
50,1003,OK,False,deadline,6598.0,-754.9,False,3492.9,6598,47.1,5,14,14,84.0,85.0,85.2,1768,1640,120
50,1004,OK,False,deadline,6967.0,-860.1,False,4008.1,6967,42.5,5,16,16,84.0,85.0,85.1,1930,1557,120
50,1005,OK,False,deadline,7207.0,-960.4,False,2896.3,7207,59.8,5,14,14,84.0,84.7,84.9,1880,1784,120
50,1006,OK,False,deadline,6927.0,-932.3,False,2752.8,6927,60.3,5,15,15,84.0,86.1,86.3,1814,1727,120
50,1007,OK,False,deadline,8827.0,-1248.6,False,2891.0,8827,67.2,5,16,16,84.0,85.1,85.3,2421,2242,120
50,1008,OK,False,deadline,8022.0,-1075.4,False,3133.0,8022,60.9,5,14,14,84.0,85.9,86.1,2109,1976,120
50,1009,OK,False,deadline,7743.0,-1095.8,False,2264.2,7743,70.8,5,15,15,84.0,85.6,85.8,2033,1912,120
50,1010,OK,False,deadline,7971.0,-1166.3,False,2674.1,7971,66.5,5,16,16,84.0,86.6,86.8,2158,1948,120
50,1011,OK,False,deadline,6286.0,-872.8,False,3430.4,6286,45.4,5,15,15,84.0,87.9,88.1,1661,1599,120
50,1012,OK,False,deadline,9545.0,-1181.8,False,4584.1,9545,52.0,5,16,16,84.0,85.2,85.4,2478,1982,120
1000,1001,OK,False,deadline,230303.0,-134436.0,True,-943625.2,226068,517.4,10,31,31,420.0,421.7,599.2,45116,44223,600
1000,1002,OK,False,deadline,189965.0,-185792.0,False,-654105.2,188230,447.5,10,38,38,420.0,422.5,599.1,38741,37739,600
1000,1003,OK,False,deadline,197844.0,-194926.9,False,-653373.4,194498,435.9,10,40,40,420.0,427.1,599.4,37635,37095,600
1000,1004,OK,False,deadline,163763.0,-74436.4,True,-490621.2,160370,405.9,10,41,41,420.0,421.9,599.3,33481,32743,600
2000,1001,OK,False,deadline,431060.0,-486931.8,False,-2273743.3,407029,658.6,20,40,40,840.0,849.2,1199.5,67637,66425,1200
2000,1002,OK,False,deadline,599955.0,-225947.3,False,-3860106.1,560561,788.6,20,24,24,840.0,842.6,1199.3,94705,92738,1200
2000,1003,OK,False,deadline,489499.0,-478897.9,False,-2186156.4,461085,574.1,20,37,37,840.0,842.7,1199.5,73753,72711,1200
