size_n,seed,N,phi,gamma,r,min_product_freq,n_pstar,n_products,D1_phi_inert,D1_margin,gamma_exact_bound,D2_gamma_inert_exact,D2_exact_margin,gamma_surrogate_bound,D2_surrogate_certifies,D2_surrogate_margin,n_pairs_kept_by_ratio,n_pairs_gamma_would_remove
500,1001,500,5,10,0.1,223.0,500,500,True,44.6,48.6,True,4.86,22.3,True,2.23,598,0
500,1002,500,5,10,0.1,185.0,500,500,True,37.0,52.900000000000006,True,5.290000000000001,18.5,True,1.85,363,0
500,1003,500,5,10,0.1,174.0,500,500,True,34.8,31.700000000000003,True,3.1700000000000004,17.400000000000002,True,1.7400000000000002,837,0
500,1004,500,5,10,0.1,225.0,500,500,True,45.0,72.8,True,7.279999999999999,22.5,True,2.25,273,0
500,1005,500,5,10,0.1,208.0,500,500,True,41.6,34.5,True,3.45,20.8,True,2.08,841,0
500,1006,500,5,10,0.1,150.0,500,500,True,30.0,26.8,True,2.68,15.0,True,1.5,1066,0
500,1007,500,5,10,0.1,210.0,500,500,True,42.0,40.800000000000004,True,4.08,21.0,True,2.1,806,0
500,1008,500,5,10,0.1,232.0,500,500,True,46.4,42.900000000000006,True,4.290000000000001,23.200000000000003,True,2.3200000000000003,892,0
500,1009,500,5,10,0.1,187.0,500,500,True,37.4,34.2,True,3.4200000000000004,18.7,True,1.8699999999999999,913,0
500,1010,500,5,10,0.1,145.0,500,500,True,29.0,30.700000000000003,True,3.0700000000000003,14.5,True,1.45,594,0
50,1001,50,2,2,0.1,241.0,50,50,True,120.5,24.400000000000002,True,12.200000000000001,24.1,True,12.05,702,0
50,1002,50,2,2,0.1,156.0,50,50,True,78.0,16.1,True,8.05,15.600000000000001,True,7.800000000000001,599,0
50,1003,50,2,2,0.1,168.0,50,50,True,84.0,18.3,True,9.15,16.8,True,8.4,817,0
50,1004,50,2,2,0.1,193.0,50,50,True,96.5,19.400000000000002,True,9.700000000000001,19.3,True,9.65,642,0
50,1005,50,2,2,0.1,186.0,50,50,True,93.0,19.5,True,9.75,18.6,True,9.3,916,0
50,1006,50,2,2,0.1,186.0,50,50,True,93.0,18.900000000000002,True,9.450000000000001,18.6,True,9.3,967,0
50,1007,50,2,2,0.1,225.0,50,50,True,112.5,25.0,True,12.5,22.5,True,11.25,902,0
50,1008,50,2,2,0.1,204.0,50,50,True,102.0,20.8,True,10.4,20.400000000000002,True,10.200000000000001,784,0
50,1009,50,2,2,0.1,199.0,50,50,True,99.5,20.400000000000002,True,10.200000000000001,19.900000000000002,True,9.950000000000001,850,0
50,1010,50,2,2,0.1,205.0,50,50,True,102.5,21.5,True,10.75,20.5,True,10.25,727,0
50,1011,50,2,2,0.1,167.0,50,50,True,83.5,16.900000000000002,True,8.450000000000001,16.7,True,8.35,898,0
50,1012,50,2,2,0.1,247.0,50,50,True,123.5,25.0,True,12.5,24.700000000000003,True,12.350000000000001,712,0
