size_n,seed,N,phi,gamma,r,min_product_freq,n_pstar,n_products,D1_phi_inert,D1_margin,gamma_exact_bound,D2_gamma_inert_exact,D2_exact_margin,gamma_surrogate_bound,D2_surrogate_certifies,D2_surrogate_margin,n_pairs_kept_by_ratio,n_pairs_gamma_would_remove
500,1001,500,5,10,0.1,223.0,500,500,True,44.6,48.6,True,4.86,22.3,True,2.23,598,0
500,1002,500,5,10,0.1,185.0,500,500,True,37.0,52.900000000000006,True,5.290000000000001,18.5,True,1.85,363,0
500,1003,500,5,10,0.1,174.0,500,500,True,34.8,31.700000000000003,True,3.1700000000000004,17.400000000000002,True,1.7400000000000002,837,0
500,1004,500,5,10,0.1,225.0,500,500,True,45.0,72.8,True,7.279999999999999,22.5,True,2.25,273,0
500,1005,500,5,10,0.1,208.0,500,500,True,41.6,34.5,True,3.45,20.8,True,2.08,841,0
500,1006,500,5,10,0.1,150.0,500,500,True,30.0,26.8,True,2.68,15.0,True,1.5,1066,0
500,1007,500,5,10,0.1,210.0,500,500,True,42.0,40.8,True,4.08,21.0,True,2.1,806,0
500,1008,500,5,10,0.1,232.0,500,500,True,46.4,42.900000000000006,True,4.290000000000001,23.200000000000003,True,2.3200000000000003,892,0
500,1009,500,5,10,0.1,187.0,500,500,True,37.4,34.2,True,3.4200000000000004,18.7,True,1.87,913,0
500,1010,500,5,10,0.1,145.0,500,500,True,29.0,30.700000000000003,True,3.0700000000000003,14.5,True,1.45,594,0
50,1001,50,2,2,0.1,241.0,50,50,True,120.5,24.4,True,12.2,24.1,True,12.05,702,0
50,1002,50,2,2,0.1,156.0,50,50,True,78.0,16.1,True,8.05,15.6,True,7.800000000000001,599,0
50,1003,50,2,2,0.1,168.0,50,50,True,84.0,18.3,True,9.15,16.8,True,8.4,817,0
50,1004,50,2,2,0.1,193.0,50,50,True,96.5,19.4,True,9.7,19.3,True,9.65,642,0
50,1005,50,2,2,0.1,186.0,50,50,True,93.0,19.5,True,9.75,18.6,True,9.3,916,0
50,1006,50,2,2,0.1,186.0,50,50,True,93.0,18.9,True,9.45,18.6,True,9.3,967,0
50,1007,50,2,2,0.1,225.0,50,50,True,112.5,25.0,True,12.5,22.5,True,11.25,902,0
50,1008,50,2,2,0.1,204.0,50,50,True,102.0,20.8,True,10.4,20.4,True,10.2,784,0
50,1009,50,2,2,0.1,199.0,50,50,True,99.5,20.4,True,10.2,19.9,True,9.95,850,0
50,1010,50,2,2,0.1,205.0,50,50,True,102.5,21.5,True,10.75,20.5,True,10.25,727,0
50,1011,50,2,2,0.1,167.0,50,50,True,83.5,16.900000000000002,True,8.450000000000001,16.7,True,8.35,898,0
50,1012,50,2,2,0.1,247.0,50,50,True,123.5,25.0,True,12.5,24.700000000000003,True,12.35,712,0
1000,1001,1000,10,20,0.1,202.0,1000,1000,True,20.2,46.900000000000006,True,2.345,20.200000000000003,True,1.0100000000000002,1136,0
1000,1002,1000,10,20,0.1,169.0,1000,1000,True,16.9,47.6,True,2.38,16.900000000000002,False,0.8450000000000001,839,0
1000,1003,1000,10,20,0.1,163.0,1000,1000,True,16.3,30.6,True,1.53,16.3,False,0.8150000000000001,1664,0
1000,1004,1000,10,20,0.1,148.0,1000,1000,True,14.8,50.1,True,2.505,14.8,False,0.74,574,0
2000,1001,2000,20,40,0.1,142.0,2000,2000,True,7.1,31.8,False,0.795,14.2,False,0.355,2341,0
2000,1002,2000,20,40,0.1,219.0,2000,2000,True,10.95,59.7,True,1.4925000000000002,21.9,False,0.5475000000000001,1565,0
2000,1003,2000,20,40,0.1,158.0,2000,2000,True,7.9,30.8,False,0.77,15.8,False,0.395,3360,0
