config_id,size_n,K,k_paired,mean_visits,mean_pct_delta_visits_vs_base,pct_delta_ci95_lo,pct_delta_ci95_hi,ci_informative,base_tiebreak_noise_pct,frac_instances_wl_broken,mean_n_pairs_kept,n_rows,n_ok,n_partial_assign,n_degenerate,n_timeout,n_error
base,500,50,50,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,50,50,0,0,0,0
corner_loose,500,10,10,78660.2,0.5933138881477236,-0.08004772709946106,1.2666755033949082,True,0.0,0.0,733.6,10,10,0,0,0,0
corner_tight,500,10,10,79576.0,1.7812831346602525,1.0198063348241446,2.5427599344963605,True,0.0,0.0,560.6,10,10,0,0,0,0
minfreq_x0.5,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
minfreq_x0.75,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
minfreq_x1.5,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
minfreq_x2,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
mnoppc_x0.5,500,10,10,78649.8,0.6256942000335476,-0.06641235098317633,1.3178007510502714,True,0.0,0.0,718.3,10,10,0,0,0,0
mnoppc_x0.75,500,10,10,78198.5,0.025582145769812048,-0.4634695551268904,0.5146338466665146,True,0.0,0.0,718.3,10,10,0,0,0,0
mnoppc_x1.5,500,10,10,77829.5,-0.4527858253323898,-1.201051891315599,0.2954802406508194,True,0.0,0.0,718.3,10,10,0,0,0,0
mnoppc_x2,500,10,10,79153.0,1.1882735298056466,0.24818582057200245,2.1283612390392905,True,0.0,0.0,718.3,10,10,0,0,0,0
preproc_x0.5,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
preproc_x0.75,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
preproc_x1.5,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
preproc_x2,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
ratio_x0.5,500,10,10,78313.6,0.15827178055777408,-0.09430806911691941,0.41085163023246757,True,0.0,0.0,732.6,10,10,0,0,0,0
ratio_x0.75,500,10,10,78197.2,0.0,0.0,0.0,True,0.0,0.0,718.4,10,10,0,0,0,0
ratio_x1.5,500,10,10,78256.3,0.0772109889472286,-0.27131944012828746,0.4257414180227447,True,0.0,0.0,698.5,10,10,0,0,0,0
ratio_x2,500,10,10,79051.8,1.0820442719607557,0.180284918351726,1.9838036255697853,True,0.0,0.0,560.6,10,10,0,0,0,0
base,1000,20,20,194883.25,0.0,0.0,0.0,True,0.0,0.0,1053.25,20,20,0,0,0,0
corner_loose,1000,4,4,196875.25,0.9713945907913426,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
corner_tight,1000,4,4,199964.75,2.5385293192827834,,,False,0.0,0.0,913.5,4,4,0,0,0,0
minfreq_x0.5,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
minfreq_x0.75,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
minfreq_x1.5,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
minfreq_x2,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
mnoppc_x0.5,1000,4,4,196875.25,0.9713945907913426,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
mnoppc_x0.75,1000,4,4,195653.75,0.3568869150176085,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
mnoppc_x1.5,1000,4,4,195093.5,0.11942076232358884,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
mnoppc_x2,1000,4,4,198586.5,1.837649553702272,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
preproc_x0.5,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
preproc_x0.75,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
preproc_x1.5,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
preproc_x2,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
ratio_x0.5,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
ratio_x0.75,1000,4,4,194883.25,0.0,,,False,0.0,0.0,1053.25,4,4,0,0,0,0
ratio_x1.5,1000,4,4,195010.25,0.06367095651825151,,,False,0.0,0.0,1037.25,4,4,0,0,0,0
ratio_x2,1000,4,4,196105.5,0.5594820009805462,,,False,0.0,0.0,913.5,4,4,0,0,0,0
base,2000,15,15,477626.3333333333,0.0,0.0,0.0,True,0.0,0.0,2422.0,15,15,0,0,0,0
corner_loose,2000,3,3,481554.6666666667,0.8627675112315649,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
corner_tight,2000,3,3,490324.0,2.658699856806145,,,False,0.0,0.0,2049.0,3,3,0,0,0,0
minfreq_x0.5,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
minfreq_x0.75,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
minfreq_x1.5,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
minfreq_x2,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
mnoppc_x0.5,2000,3,3,481554.6666666667,0.8627675112315649,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
mnoppc_x0.75,2000,3,3,479392.3333333333,0.2851808984709365,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
mnoppc_x1.5,2000,3,3,478926.6666666667,0.2990689784322107,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
mnoppc_x2,2000,3,3,488613.6666666667,2.2667801946858406,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
preproc_x0.5,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
preproc_x0.75,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
preproc_x1.5,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
preproc_x2,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
ratio_x0.5,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
ratio_x0.75,2000,3,3,477626.3333333333,0.0,,,False,0.0,0.0,2422.0,3,3,0,0,0,0
ratio_x1.5,2000,3,3,479577.0,0.39280615163307825,,,False,0.0,0.0,2368.6666666666665,3,3,0,0,0,0
ratio_x2,2000,3,3,479498.0,0.3694211250348678,,,False,0.0,0.0,2049.0,3,3,0,0,0,0
