size_n,config_id,zeta,beta,nominal_beta,K,mean_visits,nominal_visits,mean_pct_delta,ci95_lo,ci95_hi,wilcoxon_p,ci_informative,frac_wl_broken
50,alpha0.3,10,3,15,12,8177.583333333333,8141.75,0.7237674184701043,-1.4075346552916495,2.8550694922318582,0.30126953125,True,0.0
50,alpha0.4,10,4,15,12,8148.916666666667,8141.75,0.25129832605076036,-1.1900060556499281,1.692602707751449,0.90966796875,True,0.0
50,alpha0.6,10,6,15,12,8067.75,8141.75,-0.7199614157084288,-2.396906759893612,0.9569839284767546,0.38037109375,True,0.0
500,alpha0.3,100,30,15,10,78198.5,78803.6,-0.7239206392236077,-1.1124332873971592,-0.33540799105005625,0.001953125,True,0.0
500,alpha0.4,100,40,15,10,78197.2,78803.6,-0.7448747516401678,-1.3916713121027713,-0.09807819117756433,0.064453125,True,0.0
500,alpha0.5,100,50,15,10,78243.6,78803.6,-0.7000298665995661,-1.022049534399807,-0.3780101987993251,0.001953125,True,0.0
500,alpha0.6,100,60,15,10,77829.5,78803.6,-1.2014344425845223,-1.6062918771194763,-0.7965770080495683,0.001953125,True,0.0
1000,alpha0.3,100,30,15,4,195653.75,197145.75,-0.7531879933180103,-1.3490800867683281,-0.15729589986769255,0.125,False,0.0
1000,alpha0.4,100,40,15,4,194883.25,197145.75,-1.1050430767656456,-1.836087171245421,-0.37399898228587014,0.125,False,0.0
1000,alpha0.5,100,50,15,4,195341.5,197145.75,-0.8448900073548774,-2.412125454797957,0.7223454400882022,0.25,False,0.0
1000,alpha0.6,100,60,15,4,195093.5,197145.75,-0.9881973087077736,-2.571615543472316,0.5952209260567689,0.25,False,0.0
2000,alpha0.3,100,30,15,3,479392.3333333333,484398.0,-1.1420020445882095,-3.7913333694670586,1.5073292802906397,0.5,False,0.0
2000,alpha0.4,100,40,15,3,477626.3333333333,484398.0,-1.4241576905004394,-2.225389093319147,-0.6229262876817316,0.25,False,0.0
2000,alpha0.5,100,50,15,3,477619.6666666667,484398.0,-1.5302187960141076,-4.715740088280358,1.6553024962521432,0.25,False,0.0
2000,alpha0.6,100,60,15,3,478926.6666666667,484398.0,-1.1311109229634224,-3.1631368599076906,0.9009150139808455,0.25,False,0.0
