size_n,instance_seed,zeta,config_id,alpha,beta,visits,time_s,cap_broken,wl_broken,n_pstar,n_pairs_kept,n_corr_communities,n_assigned,community_size_max,status
50,1001,10,nominal,nan,5,9881.0,2.379709243774414,0.0,0.0,50.0,702.0,10.0,50.0,5.0,OK
50,1001,10,alpha0.3,0.3,3,9885.0,1.6536986827850342,0.0,0.0,50.0,702.0,17.0,50.0,3.0,OK
50,1001,10,alpha0.4,0.4,4,9799.0,2.86325740814209,0.0,0.0,50.0,702.0,13.0,50.0,4.0,OK
50,1001,10,alpha0.6,0.6,6,9845.0,2.3523483276367188,0.0,0.0,50.0,702.0,9.0,50.0,6.0,OK
50,1002,10,nominal,nan,5,6178.0,1.231307029724121,0.0,0.0,50.0,599.0,11.0,50.0,5.0,OK
50,1002,10,alpha0.3,0.3,3,6665.0,0.8981766700744629,0.0,0.0,50.0,599.0,17.0,50.0,3.0,OK
50,1002,10,alpha0.4,0.4,4,6541.0,0.9448392391204834,0.0,0.0,50.0,599.0,13.0,50.0,4.0,OK
50,1002,10,alpha0.6,0.6,6,6423.0,0.8042614459991455,0.0,0.0,50.0,599.0,9.0,50.0,6.0,OK
50,1003,10,nominal,nan,5,7082.0,0.7931418418884277,0.0,0.0,50.0,817.0,10.0,50.0,5.0,OK
50,1003,10,alpha0.3,0.3,3,7021.0,1.597520351409912,0.0,0.0,50.0,817.0,17.0,50.0,3.0,OK
50,1003,10,alpha0.4,0.4,4,7111.0,0.9510424137115479,0.0,0.0,50.0,817.0,13.0,50.0,4.0,OK
50,1003,10,alpha0.6,0.6,6,7157.0,0.9336137771606445,0.0,0.0,50.0,817.0,9.0,50.0,6.0,OK
50,1004,10,nominal,nan,5,7485.0,0.8524265289306641,0.0,0.0,50.0,642.0,11.0,50.0,5.0,OK
50,1004,10,alpha0.3,0.3,3,7511.0,1.33437180519104,0.0,0.0,50.0,642.0,17.0,50.0,3.0,OK
50,1004,10,alpha0.4,0.4,4,7283.0,0.9738266468048096,0.0,0.0,50.0,642.0,12.0,50.0,4.0,OK
50,1004,10,alpha0.6,0.6,6,7241.0,0.8621139526367188,0.0,0.0,50.0,642.0,9.0,50.0,6.0,OK
50,1005,10,nominal,nan,5,7688.0,0.7853710651397705,0.0,0.0,50.0,916.0,10.0,50.0,5.0,OK
50,1005,10,alpha0.3,0.3,3,7709.0,0.7047381401062012,0.0,0.0,50.0,916.0,17.0,50.0,3.0,OK
50,1005,10,alpha0.4,0.4,4,7607.0,0.9199228286743164,0.0,0.0,50.0,916.0,12.0,50.0,4.0,OK
50,1005,10,alpha0.6,0.6,6,7575.0,0.9478354454040527,0.0,0.0,50.0,916.0,8.0,50.0,6.0,OK
50,1006,10,nominal,nan,5,7255.0,0.8538327217102051,0.0,0.0,50.0,967.0,10.0,50.0,5.0,OK
50,1006,10,alpha0.3,0.3,3,7384.0,2.601245880126953,0.0,0.0,50.0,967.0,17.0,50.0,3.0,OK
50,1006,10,alpha0.4,0.4,4,7317.0,0.8533282279968262,0.0,0.0,50.0,967.0,12.0,50.0,4.0,OK
50,1006,10,alpha0.6,0.6,6,7077.0,1.1999099254608154,0.0,0.0,50.0,967.0,9.0,50.0,6.0,OK
