config_id,size_n,K,k_paired,mean_visits,mean_pct_delta_visits_vs_base,pct_delta_ci95_lo,pct_delta_ci95_hi,ci_informative,base_tiebreak_noise_pct,frac_instances_wl_broken,mean_n_pairs_kept,n_rows,n_ok,n_partial_assign,n_degenerate,n_timeout,n_error
base,50,60,60,7710.483333333334,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,60,60,0,0,0,0
corner_loose,50,12,12,8188.75,6.367658838607692,3.925537278658487,8.809780398556898,True,0.09034412610134489,1.0,1220.8333333333333,12,12,0,0,0,0
corner_tight,50,12,12,7454.0,-3.110778513508379,-4.63444546645302,-1.587111560563739,True,0.09034412610134489,1.0,90.66666666666667,12,12,0,0,0,0
minfreq_x0.5,50,12,12,7714.75,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
minfreq_x0.75,50,12,12,7714.75,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
minfreq_x1.5,50,12,12,7714.75,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
minfreq_x2,50,12,12,7714.75,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
mnoppc_x0.5,50,12,12,8184.5,6.307991260744902,4.003635724359006,8.612346797130797,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
mnoppc_x0.75,50,12,12,7900.5,2.6214120449211493,0.8959297468074676,4.3468943430348315,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
mnoppc_x1.5,50,12,12,7677.0,-0.5068568614361554,-1.8038617614518921,0.7901480385795813,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
mnoppc_x2,50,12,12,7497.916666666667,-2.6467885262776565,-3.9232235572786034,-1.3703534952767096,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
preproc_x0.5,50,12,12,7714.75,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
preproc_x0.75,50,12,12,7714.75,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
preproc_x1.5,50,12,12,7714.75,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
preproc_x2,50,12,12,7714.75,0.0,0.0,0.0,True,0.09034412610134489,1.0,793.0,12,12,0,0,0,0
ratio_x0.5,50,12,12,7701.083333333333,-0.16683225406757152,-0.619176244768882,0.2855117366337389,True,0.09034412610134489,1.0,1220.8333333333333,12,12,0,0,0,0
ratio_x0.75,50,12,12,7701.083333333333,-0.16683225406757152,-0.619176244768882,0.2855117366337389,True,0.09034412610134489,1.0,1058.0833333333333,12,12,0,0,0,0
ratio_x1.5,50,12,12,7744.083333333333,0.40215292692413507,-0.7250602728660076,1.5293661267142777,True,0.09034412610134489,1.0,258.3333333333333,12,12,0,0,0,0
ratio_x2,50,12,12,7729.333333333333,0.20379233324925328,-0.38434414095128244,0.791928807449789,True,0.09034412610134489,1.0,90.66666666666667,12,12,0,0,0,0
base,500,50,50,78729.9,0.0,0.0,0.0,True,0.05334073612878093,0.78,718.3,50,50,0,0,0,0
corner_loose,500,10,10,79837.3,1.3933798490527098,0.8651509932710298,1.92160870483439,True,0.05334073612878093,0.6,733.6,10,10,0,0,0,0
corner_tight,500,10,10,78447.5,-0.34238637482185086,-1.1015498209622636,0.4167770713185619,True,0.05334073612878093,0.8,560.6,10,10,0,0,0,0
minfreq_x0.5,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
minfreq_x0.75,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
minfreq_x1.5,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
minfreq_x2,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
mnoppc_x0.5,500,10,10,79699.7,1.2343487457466724,0.7567037824203056,1.7119937090730393,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
mnoppc_x0.75,500,10,10,79266.9,0.6800938298458006,0.2786452118316399,1.0815424478599613,True,0.05334073612878093,0.9,718.3,10,10,0,0,0,0
mnoppc_x1.5,500,10,10,78315.9,-0.5557916243082854,-1.0500328366001572,-0.06155041201641359,True,0.05334073612878093,0.9,718.3,10,10,0,0,0,0
mnoppc_x2,500,10,10,77639.7,-1.3918576106987992,-1.8529865553052332,-0.9307286660923653,True,0.05334073612878093,1.0,718.3,10,10,0,0,0,0
preproc_x0.5,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
preproc_x0.75,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
preproc_x1.5,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
preproc_x2,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.3,10,10,0,0,0,0
ratio_x0.5,500,10,10,78581.9,-0.1740527652305512,-0.37239439021083254,0.024288859749730135,True,0.05334073612878093,0.9,732.6,10,10,0,0,0,0
ratio_x0.75,500,10,10,78726.9,0.0,0.0,0.0,True,0.05334073612878093,0.7,718.4,10,10,0,0,0,0
ratio_x1.5,500,10,10,78575.1,-0.19734105508764332,-0.5033776995743727,0.10869558939908608,True,0.05334073612878093,0.6,698.5,10,10,0,0,0,0
ratio_x2,500,10,10,79030.1,0.39538464185441574,-0.045162632823016025,0.8359319165318475,True,0.05334073612878093,0.7,560.6,10,10,0,0,0,0
base,1000,20,20,196311.9,0.0,0.0,0.0,True,0.06725844583299433,1.0,1053.25,20,20,0,0,0,0
corner_loose,1000,4,4,200291.25,2.0045569879189276,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
corner_tight,1000,4,4,195065.25,-0.5927092949305749,,,False,0.06725844583299433,1.0,913.5,4,4,0,0,0,0
minfreq_x0.5,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
minfreq_x0.75,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
minfreq_x1.5,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
minfreq_x2,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
mnoppc_x0.5,1000,4,4,200291.25,2.0045569879189276,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
mnoppc_x0.75,1000,4,4,197496.75,0.6167170719298786,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
mnoppc_x1.5,1000,4,4,195370.5,-0.4765613950905996,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
mnoppc_x2,1000,4,4,194685.5,-0.780061890429767,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
preproc_x0.5,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
preproc_x0.75,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
preproc_x1.5,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
preproc_x2,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
ratio_x0.5,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
ratio_x0.75,1000,4,4,196341.25,0.0,,,False,0.06725844583299433,1.0,1053.25,4,4,0,0,0,0
ratio_x1.5,1000,4,4,196376.75,0.017729433856726196,,,False,0.06725844583299433,1.0,1037.25,4,4,0,0,0,0
ratio_x2,1000,4,4,196898.75,0.29032593495077164,,,False,0.06725844583299433,1.0,913.5,4,4,0,0,0,0
base,2000,15,15,483423.73333333334,0.0,0.0,0.0,True,0.05417641842088889,1.0,2422.0,15,15,0,0,0,0
corner_loose,2000,3,3,493882.0,2.2096655704802846,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
corner_tight,2000,3,3,478512.3333333333,-0.9762061049783762,,,False,0.05417641842088889,1.0,2049.0,3,3,0,0,0,0
minfreq_x0.5,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
minfreq_x0.75,2000,3,3,483326.0,0.0,,,False,0.05417641842088889,1.0,2422.0,3,3,0,0,0,0
