size_n,instance_seed,config_id,hash_seed,min_freq_preproc,min_freq,ratio_to_keep,mnoppc,visits,time_s,cap_broken,wl_broken,n_pstar,n_pairs_kept,n_corr_communities,n_assigned,community_size_max,status
500,1001,base,0,5,10,0.1,15,88421.0,23.93904185295105,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,preproc_x0.5,0,2,10,0.1,15,88421.0,23.817765951156616,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,preproc_x0.75,0,4,10,0.1,15,88421.0,18.626228094100952,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,preproc_x1.5,0,8,10,0.1,15,88421.0,18.12225580215454,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,preproc_x2,0,10,10,0.1,15,88421.0,22.483866930007935,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,minfreq_x0.5,0,5,5,0.1,15,88421.0,23.28502130508423,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,minfreq_x0.75,0,5,8,0.1,15,88421.0,22.32857871055603,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,minfreq_x1.5,0,5,15,0.1,15,88421.0,20.90945601463318,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,minfreq_x2,0,5,20,0.1,15,88421.0,21.49507212638855,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,ratio_x0.5,0,5,10,0.05,15,88026.0,20.836930513381958,0.0,2.0,500.0,602.0,41.0,500.0,15.0,OK
500,1001,ratio_x0.75,0,5,10,0.075,15,88421.0,20.889389514923096,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,ratio_x1.5,0,5,10,0.15,15,88421.0,23.17404055595398,0.0,0.0,500.0,595.0,38.0,500.0,15.0,OK
500,1001,ratio_x2,0,5,10,0.2,15,88113.0,22.994521617889404,0.0,1.0,500.0,572.0,38.0,500.0,15.0,OK
500,1001,mnoppc_x0.5,0,5,10,0.1,8,90028.0,19.426540851593018,0.0,1.0,500.0,598.0,49.0,500.0,8.0,OK
500,1001,mnoppc_x0.75,0,5,10,0.1,11,89270.0,17.314098358154297,0.0,1.0,500.0,598.0,44.0,500.0,11.0,OK
500,1001,mnoppc_x1.5,0,5,10,0.1,22,87874.0,18.06818699836731,0.0,1.0,500.0,598.0,38.0,500.0,22.0,OK
500,1001,mnoppc_x2,0,5,10,0.1,30,87462.0,16.322214126586914,0.0,1.0,500.0,598.0,33.0,500.0,30.0,OK
500,1001,corner_loose,0,2,5,0.05,8,90523.0,16.59407901763916,0.0,1.0,500.0,602.0,52.0,500.0,8.0,OK
500,1001,corner_tight,0,10,20,0.2,30,88420.0,16.057298183441162,0.0,1.0,500.0,572.0,32.0,500.0,30.0,OK
500,1001,base,1,5,10,0.1,15,88671.0,18.20582342147827,0.0,1.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,base,2,5,10,0.1,15,88671.0,16.122222423553467,0.0,1.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,base,3,5,10,0.1,15,88421.0,19.500144958496094,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1001,base,4,5,10,0.1,15,88421.0,17.005418062210083,0.0,0.0,500.0,598.0,38.0,500.0,15.0,OK
500,1002,base,0,5,10,0.1,15,77499.0,13.348775625228882,0.0,0.0,500.0,363.0,38.0,500.0,15.0,OK
500,1002,preproc_x0.5,0,2,10,0.1,15,77499.0,14.068512201309204,0.0,0.0,500.0,363.0,38.0,500.0,15.0,OK
500,1002,preproc_x0.75,0,4,10,0.1,15,77499.0,13.928080558776855,0.0,0.0,500.0,363.0,38.0,500.0,15.0,OK
500,1002,preproc_x1.5,0,8,10,0.1,15,77499.0,13.54432201385498,0.0,0.0,500.0,363.0,38.0,500.0,15.0,OK
500,1002,preproc_x2,0,10,10,0.1,15,77499.0,12.426323413848877,0.0,0.0,500.0,363.0,38.0,500.0,15.0,OK
500,1002,minfreq_x0.5,0,5,5,0.1,15,77499.0,13.512417316436768,0.0,0.0,500.0,363.0,38.0,500.0,15.0,OK
